inspect_model_name,accuracy,stderr,total_tokens,input_tokens,output_tokens,task,dataset_samples,completed_samples,run_id,created,start_time,end_time,filename,estimated_cost,epoch_model_name,biggest_in_class,cost_per_M_tokens,input_cost_per_M_tokens,output_cost_per_M_tokens,cost_source,api_source,last_updated
openai/gpt-4o,0.8436763550667714,0.010182553945306212,171338,167343,3995,benchmarks/wmdp,1273,1273,FZ6qhMy2iZjfYutLYawyqN,2024-10-02T23:33:02-04:00,2024-10-02T23:33:02-04:00,2024-10-02T23:33:57-04:00,2024-10-02T23-33-02-04-00_benchmarks-wmdp_4Pb2osmUbJ8qxmjEjAY5me.json,0.9,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.8413197172034564,0.010244681495157714,171254,167343,3911,benchmarks/wmdp,1273,1273,gHHPfFXNkZXs9y62gTskb8,2024-10-02T23:32:06-04:00,2024-10-02T23:32:06-04:00,2024-10-02T23:33:01-04:00,2024-10-02T23-32-06-04-00_benchmarks-wmdp_YYBXLE6uhzaegMMudxLKKw.json,0.9,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.8546739984289081,0.009881624632424603,171295,167343,3952,benchmarks/wmdp,1273,1273,Za3dMGTrwNn9rgTj9AXCHi,2024-10-02T23:37:42-04:00,2024-10-02T23:37:42-04:00,2024-10-02T23:38:38-04:00,2024-10-02T23-37-42-04-00_benchmarks-wmdp_P3NjEZxMsHoJMzJZmzmY2J.json,0.9,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.8507462686567164,0.009991232596230241,171336,167343,3993,benchmarks/wmdp,1273,1273,GubXUogvmbZEnaKoAGa27U,2024-10-02T23:38:39-04:00,2024-10-02T23:38:39-04:00,2024-10-02T23:39:33-04:00,2024-10-02T23-38-39-04-00_benchmarks-wmdp_NMejtHzQe8LvMdHizVRzpm.json,0.9,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.842890809112333,0.010203352707184477,171319,167343,3976,benchmarks/wmdp,1273,1273,kGGbnovSJiJpStEmVHNWpT,2024-10-02T23:34:01-04:00,2024-10-02T23:34:01-04:00,2024-10-02T23:34:55-04:00,2024-10-02T23-34-01-04-00_benchmarks-wmdp_KhSQCLaAXy6CA2GZfZ4LoW.json,0.9,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.8499607227022781,0.010012864860212738,171378,167343,4035,benchmarks/wmdp,1273,1273,etTjVJFWdHLQyjrFfB2jLx,2024-10-02T23:35:52-04:00,2024-10-02T23:35:52-04:00,2024-10-02T23:36:46-04:00,2024-10-02T23-35-52-04-00_benchmarks-wmdp_9EZC7dG4DsJeZJNa6VQ2bz.json,0.9,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.8476040848389631,0.010077194199135824,171327,167343,3984,benchmarks/wmdp,1273,1273,QFbbfNGWsCdZ2fZ2DvZF89,2024-10-02T23:34:56-04:00,2024-10-02T23:34:56-04:00,2024-10-02T23:35:51-04:00,2024-10-02T23-34-56-04-00_benchmarks-wmdp_djmJH6AE4GSu5ukiEiaSCx.json,0.9,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.8476040848389631,0.010077194199135824,171350,167343,4007,benchmarks/wmdp,1273,1273,n3KsGELPh9Qi6iys5FmLRh,2024-10-02T23:39:34-04:00,2024-10-02T23:39:34-04:00,2024-10-02T23:40:28-04:00,2024-10-02T23-39-34-04-00_benchmarks-wmdp_Mjj2epJVxxYCd6f36gt8U2.json,0.9,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.8507462686567164,0.009991232596230241,171176,167342,3834,benchmarks/run,1273,1273,4LTACGu85zTvahRLPJzEbR,2024-09-11T15:47:52-04:00,2024-09-11T15:47:52-04:00,2024-09-11T15:48:53-04:00,2024-09-11T15-47-52-04-00_benchmarks-run_iBGwWq9tbL8VUZd9eVVgr2.json,0.89,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.845247446975648,0.010140684929852551,171287,167343,3944,benchmarks/wmdp,1273,1273,GpsXGo9tokM6TBpsR6TjRz,2024-10-02T23:36:47-04:00,2024-10-02T23:36:47-04:00,2024-10-02T23:37:41-04:00,2024-10-02T23-36-47-04-00_benchmarks-wmdp_dsyhq2M7SvLgUAt5bMrQVh.json,0.9,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
google/gemini-1.5-pro,0.798114689709348,0.011254895223560143,168293,164447,3846,benchmarks/wmdp,1273,1273,B5kfiefXZyqVoGBip3FrX4,2024-10-02T23:26:24-04:00,2024-10-02T23:26:24-04:00,2024-10-02T23:27:49-04:00,2024-10-02T23-26-24-04-00_benchmarks-wmdp_F7iLYtkmTxR8h8UTUtQnpM.json,0.62,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.7949725058915946,0.011319794705564528,168284,164447,3837,benchmarks/run,1273,1273,geCbnHEAg4ShxabJbNTnjR,2024-09-17T09:25:12-04:00,2024-09-17T09:25:12-04:00,2024-09-17T09:29:51-04:00,2024-09-17T09-25-12-04-00_benchmarks-run_5kJwaaQ4ttuXKArioEG5SU.json,0.62,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.7996857816182247,0.011222045362561925,168318,164447,3871,benchmarks/wmdp,1273,1273,jLMiHNQb9h3DkAwLUNPm7p,2024-10-02T23:22:04-04:00,2024-10-02T23:22:04-04:00,2024-10-02T23:23:25-04:00,2024-10-02T23-22-04-04-00_benchmarks-wmdp_MoSbqNDHWuzdrFeeBR6u2M.json,0.62,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.805184603299293,0.011104929705539739,168300,164447,3853,benchmarks/wmdp,1273,1273,PLFXeGZwgcePvdueJxK5aM,2024-10-02T23:24:54-04:00,2024-10-02T23:24:54-04:00,2024-10-02T23:26:20-04:00,2024-10-02T23-24-54-04-00_benchmarks-wmdp_Pp4e39Y2krCRVVrQqecSyC.json,0.62,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.7949725058915946,0.011319794705564526,168304,164447,3857,benchmarks/wmdp,1273,1273,biLkt2TNu8Wnum4bVVreuT,2024-10-02T23:20:42-04:00,2024-10-02T23:20:42-04:00,2024-10-02T23:22:03-04:00,2024-10-02T23-20-42-04-00_benchmarks-wmdp_cEDP9B5oLaFHwQ4mjsVD4H.json,0.62,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.8012568735271013,0.011188925628665244,168307,164447,3860,benchmarks/wmdp,1273,1273,DDyR3YtdWYsNkeGLjomSc5,2024-10-02T23:23:29-04:00,2024-10-02T23:23:29-04:00,2024-10-02T23:24:51-04:00,2024-10-02T23-23-29-04-00_benchmarks-wmdp_NKuTSKq9EiNyRQn9HFLZfA.json,0.62,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
