inspect_model_name,accuracy,stderr,total_tokens,input_tokens,output_tokens,task,dataset_samples,completed_samples,run_id,created,start_time,end_time,filename,estimated_cost
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0.6410256410256411,0.054666850347592416,32822,26347,6475,benchmarks/run,78,78,6ffq3S4McZbnDRdwDhqHgQ,2024-09-10T12:49:32-04:00,2024-09-10T12:49:32-04:00,2024-09-10T13:30:18-04:00,2024-09-10T12-49-32-04-00_benchmarks-run_ndP7MFnYoL6KXdZpp5ty6q.json,0.16
together/meta-llama/Llama-2-13b-chat-hf,0.24358974358974358,0.04891734088296383,29309,25624,3685,benchmarks/run,78,78,GMwVa7qKH6MuUbYdHutL6V,2024-09-10T13:37:00-04:00,2024-09-10T13:37:00-04:00,2024-09-10T13:38:33-04:00,2024-09-10T13-37-00-04-00_benchmarks-run_Pf58nSxBtQxUh9RrVx9QDW.json,0.01
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,0.6282051282051282,0.05507532564433873,24788,24398,390,benchmarks/run,78,78,BnmMBLRZjqnGvjCZzAZBrH,2024-09-10T13:33:42-04:00,2024-09-10T13:33:42-04:00,2024-09-10T13:35:19-04:00,2024-09-10T13-33-42-04-00_benchmarks-run_fXnKEZnCveAcysPbDF5jGm.json,0.02
openai/gpt-4,0.6153846153846154,0.05544230539664977,24698,24104,594,benchmarks/run,78,78,gMmYgciz2X2c7MyD5ickju,2024-09-10T11:27:51-04:00,2024-09-10T11:27:51-04:00,2024-09-10T11:29:11-04:00,2024-09-10T11-27-51-04-00_benchmarks-run_2FZaXVSwzbfweGWvVVuy4h.json,0.76
anthropic/claude-2.1,0.3974358974358974,0.055768608782381685,32320,23825,8495,benchmarks/run,78,78,5UWrtAytEgsHNh746s3zcq,2024-09-10T12:01:23-04:00,2024-09-10T12:01:23-04:00,2024-09-10T12:03:30-04:00,2024-09-10T12-01-23-04-00_benchmarks-run_ijTKCCSusmENwnwezyd9mz.json,0.39
openai/gpt-4-turbo,0.6794871794871795,0.05318240510717429,24417,24105,312,benchmarks/run,78,78,cPjFeJ55upbazfBP66M5jF,2024-09-10T11:29:11-04:00,2024-09-10T11:29:11-04:00,2024-09-10T11:29:18-04:00,2024-09-10T11-29-11-04-00_benchmarks-run_UxzCAF9qiohE388n6od9FU.json,0.25
anthropic/claude-instant-1.2,0.3717948717948718,0.05507532564433872,24453,23829,624,benchmarks/run,78,78,kAfkFhFcjQgcS6TPaHBs4d,2024-09-10T12:04:10-04:00,2024-09-10T12:04:10-04:00,2024-09-10T12:04:42-04:00,2024-09-10T12-04-10-04-00_benchmarks-run_L47yUnj9vwAtZh2Fu63TvE.json,0.02
anthropic/claude-3-opus-20240229,0.6153846153846154,0.055442305396649766,27785,27271,514,benchmarks/run,78,78,AdUzcMdtcXFpPeohhMoNZB,2024-09-10T11:30:06-04:00,2024-09-10T11:30:06-04:00,2024-09-10T11:30:58-04:00,2024-09-10T11-30-06-04-00_benchmarks-run_e2cByFvJRgKcQiYZdipTFh.json,0.45
together/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,0.6025641025641025,0.055768608782381685,26734,26344,390,benchmarks/run,78,78,RUWTJjpEiqPZNUYkNP42kE,2024-09-10T13:30:29-04:00,2024-09-10T13:30:29-04:00,2024-09-10T13:32:06-04:00,2024-09-10T13-30-29-04-00_benchmarks-run_KWPZVMh8BuhByZW9Y4hCop.json,0.02
together/meta-llama/Llama-2-70b-hf,0.0,0.0,183997,26301,157696,benchmarks/run,78,78,khxpf9Y9KsUQVFt5bsndxJ,2024-09-10T13:38:34-04:00,2024-09-10T13:38:34-04:00,2024-09-10T14:00:59-04:00,2024-09-10T13-38-34-04-00_benchmarks-run_CSS257ePgzVLU3cFbSc6PG.json,0.17
