inspect_model_name,accuracy,stderr,total_tokens,input_tokens,output_tokens,task,dataset_samples,completed_samples,run_id,created,start_time,end_time,filename,estimated_cost,epoch_model_name,biggest_in_class,cost_per_M_tokens,input_cost_per_M_tokens,output_cost_per_M_tokens,cost_source,api_source,last_updated
openai/gpt-4o,0.6282051282051282,0.05507532564433873,62438,25030,37408,benchmarks/gpqa,78,78,QJnj7nYrVsctmQ4n7FhmX7,2024-09-25T15:34:10-04:00,2024-09-25T15:34:10-04:00,2024-09-25T15:35:18-04:00,2024-09-25T15-34-10-04-00_benchmarks-gpqa_VWBkyZbY97wVBJVVkfceCu.json,0.69,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.6538461538461539,0.05421594160377286,62611,25029,37582,benchmarks/gpqa,78,78,ZcMY3ihcbAu5p2aBaz7G8y,2024-09-25T15:36:37-04:00,2024-09-25T15:36:37-04:00,2024-09-25T15:38:03-04:00,2024-09-25T15-36-37-04-00_benchmarks-gpqa_VoPcWNbPJq4RwgVaAWVWhK.json,0.69,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.6538461538461539,0.05421594160377286,60765,25030,35735,benchmarks/gpqa,78,78,K99ue2gxHGFapd7vH6q8ey,2024-09-25T15:29:27-04:00,2024-09-25T15:29:27-04:00,2024-09-25T15:30:35-04:00,2024-09-25T15-29-27-04-00_benchmarks-gpqa_Yq5QnBNX2zGJeZhRkoyaaV.json,0.66,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.6923076923076923,0.05259718913521752,61711,25029,36682,benchmarks/gpqa,78,78,CTbuahCVdXig3wzHDzaB5U,2024-09-25T15:31:44-04:00,2024-09-25T15:31:44-04:00,2024-09-25T15:32:52-04:00,2024-09-25T15-31-44-04-00_benchmarks-gpqa_d3QdPbgD2RfcqLXgxZ5gMd.json,0.68,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.6794871794871795,0.05318240510717429,61928,25027,36901,benchmarks/gpqa,78,78,GGbHaNWmDCwabLEQsmZojP,2024-09-25T15:25:39-04:00,2024-09-25T15:25:39-04:00,2024-09-25T15:26:52-04:00,2024-09-25T15-25-39-04-00_benchmarks-gpqa_EWSG9nvv8Fjysoci6wAPaw.json,0.68,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5897435897435898,0.05605494615384831,62770,25029,37741,benchmarks/gpqa,78,78,V5dDrj7RgQvF85MNHvwpeG,2024-09-25T15:30:36-04:00,2024-09-25T15:30:36-04:00,2024-09-25T15:31:43-04:00,2024-09-25T15-30-36-04-00_benchmarks-gpqa_5Cnycr7LrpcU9x75QTVLaQ.json,0.69,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.6794871794871795,0.053182405107174285,61976,25027,36949,benchmarks/gpqa,78,78,3Qy4M4vSs7pr5V55jfoQdv,2024-09-25T15:32:53-04:00,2024-09-25T15:32:53-04:00,2024-09-25T15:34:09-04:00,2024-09-25T15-32-53-04-00_benchmarks-gpqa_UhptnP4q9ifQ8NMqtdB5Vr.json,0.68,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.6794871794871795,0.05318240510717429,62778,25030,37748,benchmarks/gpqa,78,78,54fftN5m2x3WqnX3wM5JXC,2024-09-25T15:35:19-04:00,2024-09-25T15:35:19-04:00,2024-09-25T15:36:36-04:00,2024-09-25T15-35-19-04-00_benchmarks-gpqa_HknbRFJawkkcGaRBMDF5X6.json,0.69,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.6410256410256411,0.05466685034759242,64538,25028,39510,benchmarks/gpqa,78,78,3Pi82LrGUES8Y7s9N8tUhd,2024-09-25T15:28:12-04:00,2024-09-25T15:28:12-04:00,2024-09-25T15:29:26-04:00,2024-09-25T15-28-12-04-00_benchmarks-gpqa_cgSPRtzbbiZhfZNkqy2uqA.json,0.72,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.6282051282051282,0.05507532564433873,61968,25027,36941,benchmarks/gpqa,78,78,aBUyDyV8PT7EhNFBLpGT7i,2024-09-25T15:26:54-04:00,2024-09-25T15:26:54-04:00,2024-09-25T15:28:10-04:00,2024-09-25T15-26-54-04-00_benchmarks-gpqa_no28cMZwGQVEUHXsjhitMB.json,0.68,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
google/gemini-1.5-pro,0.5897435897435898,0.05605494615384831,49581,24219,25362,benchmarks/gpqa,78,78,HRgii8wXaxFLLTPHC4mwvo,2024-10-01T21:31:21-04:00,2024-10-01T21:31:21-04:00,2024-10-01T21:32:15-04:00,2024-10-01T21-31-21-04-00_benchmarks-gpqa_6pKDMzmhieMNxDVVV55ZBi.json,0.35,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.5512820512820513,0.05667979681019965,51159,24218,26941,benchmarks/gpqa,78,78,Zr7JguX4un5ugaSjWCcDog,2024-10-01T21:32:19-04:00,2024-10-01T21:32:19-04:00,2024-10-01T21:33:17-04:00,2024-10-01T21-32-19-04-00_benchmarks-gpqa_AnypGdUHkmntRUfbYPs8dU.json,0.37,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.5256410256410257,0.056905314133886616,50036,24219,25817,benchmarks/gpqa,78,78,mKMqjP4xZSjAqSLTgLSg9N,2024-10-01T21:29:28-04:00,2024-10-01T21:29:28-04:00,2024-10-01T21:30:24-04:00,2024-10-01T21-29-28-04-00_benchmarks-gpqa_ECSVnBGRzxSkK6QpFHpgzE.json,0.36,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.5512820512820513,0.05667979681019965,50346,24218,26128,benchmarks/gpqa,78,78,AKEWWoH7HXdXBXiMdxqWMa,2024-10-01T21:27:32-04:00,2024-10-01T21:27:32-04:00,2024-10-01T21:28:28-04:00,2024-10-01T21-27-32-04-00_benchmarks-gpqa_Z8jC48bPCWnDRG5gV9DTrM.json,0.36,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.6282051282051282,0.05507532564433873,49474,24219,25255,benchmarks/gpqa,78,78,ecNk88Zf7ruMDXCahG4RnF,2024-10-01T21:30:25-04:00,2024-10-01T21:30:25-04:00,2024-10-01T21:31:20-04:00,2024-10-01T21-30-25-04-00_benchmarks-gpqa_F2wboiQtBaxCdawwSJV78V.json,0.35,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.5128205128205128,0.056961553957331726,50376,24216,26160,benchmarks/gpqa,78,78,ZKQKw3hyVC8VsN7589TfHh,2024-10-01T21:33:18-04:00,2024-10-01T21:33:18-04:00,2024-10-01T21:34:14-04:00,2024-10-01T21-33-18-04-00_benchmarks-gpqa_WSaep5XsEDMEsLcrMr4FUo.json,0.36,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.5512820512820513,0.05667979681019966,49259,24217,25042,benchmarks/gpqa,78,78,oGH2PQ4V7UgBXG6kp85xtb,2024-10-01T21:36:07-04:00,2024-10-01T21:36:07-04:00,2024-10-01T21:37:04-04:00,2024-10-01T21-36-07-04-00_benchmarks-gpqa_5NGphYZknQwUJzor8ZPrzZ.json,0.35,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.5769230769230769,0.05630192728549229,51359,24219,27140,benchmarks/gpqa,78,78,CAuDUGFthYN7irfgiswRyH,2024-10-01T21:28:29-04:00,2024-10-01T21:28:29-04:00,2024-10-01T21:29:28-04:00,2024-10-01T21-28-29-04-00_benchmarks-gpqa_WGJvvofmsNxmLdjyj2peN3.json,0.37,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.5256410256410257,0.056905314133886616,49096,24219,24877,benchmarks/gpqa,78,78,cErtBioybnJJvfmBwHUr2s,2024-10-01T21:34:15-04:00,2024-10-01T21:34:15-04:00,2024-10-01T21:35:09-04:00,2024-10-01T21-34-15-04-00_benchmarks-gpqa_kM3tfzdEH57RtdgZjKaZKz.json,0.35,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.5384615384615384,0.05681145737507664,50175,24217,25958,benchmarks/gpqa,78,78,iqq9BzAAAc567HkgZmqM9u,2024-10-01T21:35:10-04:00,2024-10-01T21:35:10-04:00,2024-10-01T21:36:06-04:00,2024-10-01T21-35-10-04-00_benchmarks-gpqa_8An2jHJpENzk5yCMeUBAfR.json,0.36,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.6410256410256411,0.054666850347592416,61179,28831,32348,benchmarks/gpqa,78,78,YPaLULaDZF9nkHXpViumaS,2024-09-25T15:55:19-04:00,2024-09-25T15:55:19-04:00,2024-09-25T15:59:48-04:00,2024-09-25T15-55-19-04-00_benchmarks-gpqa_m8d8YYmdSqveLPm8c69qtx.json,0.57,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.6538461538461539,0.05421594160377286,60494,28831,31663,benchmarks/gpqa,78,78,9KKUi94VhBi8ZzZrWaZKnA,2024-09-25T16:15:43-04:00,2024-09-25T16:15:43-04:00,2024-09-25T16:19:39-04:00,2024-09-25T16-15-43-04-00_benchmarks-gpqa_3KgVsSkyxcTx77LtJq7jhA.json,0.56,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
