inspect_model_name,accuracy,stderr,total_tokens,input_tokens,output_tokens,task,dataset_samples,completed_samples,run_id,created,start_time,end_time,filename,estimated_cost,epoch_model_name,biggest_in_class,cost_per_M_tokens,input_cost_per_M_tokens,output_cost_per_M_tokens,cost_source,api_source,last_updated
openai/gpt-4o,0.5277777777777778,0.04826217294139892,244218,199607,44611,benchmarks/lab_bench,108,108,Rw29HUSK44eMdZEqubW5LR,2024-09-26T16:47:57-04:00,2024-09-26T16:47:57-04:00,2024-09-26T16:49:22-04:00,2024-09-26T16-47-57-04-00_benchmarks-lab-bench_JGQfpDK6ZM7AQgXBd6vPe7.json,1.67,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5555555555555556,0.04803752235190188,243659,199610,44049,benchmarks/lab_bench,108,108,oKc8RoDXtYFX8FVu5zBjgk,2024-09-26T16:52:43-04:00,2024-09-26T16:52:43-04:00,2024-09-26T16:54:12-04:00,2024-09-26T16-52-43-04-00_benchmarks-lab-bench_XLANsia6reMAGJQo5FrD35.json,1.66,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5370370370370371,0.04820403072760628,245496,199617,45879,benchmarks/lab_bench,108,108,AB9G7GqRHPhb76QQjBLYTd,2024-09-26T16:44:28-04:00,2024-09-26T16:44:28-04:00,2024-09-26T16:46:19-04:00,2024-09-26T16-44-28-04-00_benchmarks-lab-bench_EF5Ce4WtsmE6WeG4L2n5g5.json,1.69,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5370370370370371,0.04820403072760628,244646,199606,45040,benchmarks/lab_bench,108,108,Q3w8aUq9qDzqqDySjDBvD2,2024-09-26T16:55:40-04:00,2024-09-26T16:55:40-04:00,2024-09-26T16:57:04-04:00,2024-09-26T16-55-40-04-00_benchmarks-lab-bench_VfuHJpdRrZ7Jwec2wRnRgR.json,1.67,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5555555555555556,0.04803752235190188,245002,199611,45391,benchmarks/lab_bench,108,108,grcXbYYLWJpyqomvD62xHs,2024-09-26T16:57:05-04:00,2024-09-26T16:57:05-04:00,2024-09-26T16:58:30-04:00,2024-09-26T16-57-05-04-00_benchmarks-lab-bench_cdD8sQpRipkuuc3GV6osou.json,1.68,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5,0.04833682445228318,244683,199608,45075,benchmarks/lab_bench,108,108,Y5PVs67BdX2Byjng7q8FQn,2024-09-26T16:49:23-04:00,2024-09-26T16:49:23-04:00,2024-09-26T16:51:00-04:00,2024-09-26T16-49-23-04-00_benchmarks-lab-bench_VQoPAEnPKar2YaHxjtE8VN.json,1.67,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5370370370370371,0.04820403072760628,246062,199613,46449,benchmarks/lab_bench,108,108,QG5pyD6tYC2zo42RVPukXF,2024-09-26T16:51:01-04:00,2024-09-26T16:51:01-04:00,2024-09-26T16:52:42-04:00,2024-09-26T16-51-01-04-00_benchmarks-lab-bench_YpEbQMnwxjpHyijETgZpXq.json,1.69,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5277777777777778,0.04826217294139894,244073,199606,44467,benchmarks/lab_bench,108,108,WzZ6yhPzMcqRgvcTRhGpfQ,2024-09-26T16:46:20-04:00,2024-09-26T16:46:20-04:00,2024-09-26T16:47:56-04:00,2024-09-26T16-46-20-04-00_benchmarks-lab-bench_2hYiXULQdZYGao8dtCX977.json,1.67,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5648148148148148,0.04792898170907059,245373,199611,45762,benchmarks/lab_bench,108,108,3SzJZLN2WBNqybdJ2VT4Pc,2024-09-26T16:58:31-04:00,2024-09-26T16:58:31-04:00,2024-09-26T16:59:49-04:00,2024-09-26T16-58-31-04-00_benchmarks-lab-bench_B4vhJUD5tL97F6ZYZtjYh7.json,1.68,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5,0.04833682445228318,243954,199613,44341,benchmarks/lab_bench,108,108,mEiJTMa3XYd7r4QjcwSi7t,2024-09-26T16:54:13-04:00,2024-09-26T16:54:13-04:00,2024-09-26T16:55:38-04:00,2024-09-26T16-54-13-04-00_benchmarks-lab-bench_8dZYA5f4jcDjW6bj5rYPh3.json,1.66,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
google/gemini-1.5-pro,0.46296296296296297,0.04820403072760628,242605,213732,28873,benchmarks/lab_bench,108,108,ZrkeQcd2Bt3cXQKFTC5JWG,2024-10-01T21:53:05-04:00,2024-10-01T21:53:05-04:00,2024-10-01T21:54:09-04:00,2024-10-01T21-53-05-04-00_benchmarks-lab-bench_Z8iQQqF2AHnKirmanahGPT.json,1.05,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.4166666666666667,0.04766075165356461,243900,213732,30168,benchmarks/lab_bench,108,108,Bci2Csy7vEsL8xrMxTbSDA,2024-10-01T21:50:54-04:00,2024-10-01T21:50:54-04:00,2024-10-01T21:52:00-04:00,2024-10-01T21-50-54-04-00_benchmarks-lab-bench_VxHYWLQQYFDaDcG4FqM76S.json,1.06,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
