inspect_model_name,accuracy,stderr,total_tokens,input_tokens,output_tokens,task,dataset_samples,completed_samples,run_id,created,start_time,end_time,filename,estimated_cost,epoch_model_name,biggest_in_class,cost_per_M_tokens,input_cost_per_M_tokens,output_cost_per_M_tokens,cost_source,api_source,last_updated
openai/gpt-4o,0.744,0.019536923574747664,368616,196952,171664,benchmarks/pubmedqa,500,500,G3rdhrxEqD9LdKeN6pETho,2024-10-02T09:33:44-04:00,2024-10-02T09:33:44-04:00,2024-10-02T09:37:46-04:00,2024-10-02T09-33-44-04-00_benchmarks-pubmedqa_bTeBsGXgfRCRZiHQgsTBsj.json,3.56,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.764,0.01900869962208476,368506,196952,171554,benchmarks/pubmedqa,500,500,QxWC7CHtoqouuYXsSxX6AF,2024-10-02T09:37:48-04:00,2024-10-02T09:37:48-04:00,2024-10-02T09:42:05-04:00,2024-10-02T09-37-48-04-00_benchmarks-pubmedqa_SoFYJ2iivsqnvxVSWmkujX.json,3.56,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.756,0.01922673489361464,371710,196952,174758,benchmarks/pubmedqa,500,500,k7uFyQA8AZPYvBkxqZMNVb,2024-10-01T22:44:59-04:00,2024-10-01T22:44:59-04:00,2024-10-01T22:48:12-04:00,2024-10-01T22-44-59-04-00_benchmarks-pubmedqa_eo7Fwr6o9LWuoRcxPHcFzc.json,3.61,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.766,0.018952741564893755,370159,196952,173207,benchmarks/pubmedqa,500,500,nacP6Pni5m3T2GhpM7uSpv,2024-10-02T09:29:31-04:00,2024-10-02T09:29:31-04:00,2024-10-02T09:33:42-04:00,2024-10-02T09-29-31-04-00_benchmarks-pubmedqa_5oKNDQJWaJeVtmQtbB84DG.json,3.58,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.758,0.019173085678337164,372892,196952,175940,benchmarks/pubmedqa,500,500,VPCYnjQvXw9AAm8TL4F6MX,2024-10-01T22:48:13-04:00,2024-10-01T22:48:13-04:00,2024-10-02T09:25:09-04:00,2024-10-01T22-48-13-04-00_benchmarks-pubmedqa_9z2DqJGe6qpcRjZdbr2hHA.json,3.62,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.766,0.018952741564893752,367556,196952,170604,benchmarks/pubmedqa,500,500,eTL5BTK3P8b7ZveyPQtykM,2024-10-02T09:25:30-04:00,2024-10-02T09:25:30-04:00,2024-10-02T09:29:30-04:00,2024-10-02T09-25-30-04-00_benchmarks-pubmedqa_GEbbwUrjFyi7oQbooZhFQ2.json,3.54,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.756,0.01922673489361464,367500,196952,170548,benchmarks/pubmedqa,500,500,HtWUWzCNMnmwN8nYJVhNUS,2024-10-01T22:41:45-04:00,2024-10-01T22:41:45-04:00,2024-10-01T22:44:57-04:00,2024-10-01T22-41-45-04-00_benchmarks-pubmedqa_9Xs5rgDkQTq6zfpmrgAcwm.json,3.54,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.752,0.01933234282123912,369534,196952,172582,benchmarks/pubmedqa,500,500,YRc8rjMXjUpW8CZyvPcSyP,2024-10-02T09:46:24-04:00,2024-10-02T09:46:24-04:00,2024-10-02T09:51:05-04:00,2024-10-02T09-46-24-04-00_benchmarks-pubmedqa_4beJVM4ALY9RZBwSQcqxyo.json,3.57,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.762,0.019064072958198387,370206,196952,173254,benchmarks/pubmedqa,500,500,e7tRzrqZFHWR8pbuB5kUuk,2024-10-02T09:42:06-04:00,2024-10-02T09:42:06-04:00,2024-10-02T09:46:23-04:00,2024-10-02T09-42-06-04-00_benchmarks-pubmedqa_UhkKn7VGqiotUmkvv5o9tf.json,3.58,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.746,0.01948659680164342,368074,196952,171122,benchmarks/pubmedqa,500,500,cncaV5sZkLmE9SGWSAVzNp,2024-10-01T22:38:28-04:00,2024-10-01T22:38:28-04:00,2024-10-01T22:41:44-04:00,2024-10-01T22-38-28-04-00_benchmarks-pubmedqa_eGdgxTa5jQkKgTrfmUvRCC.json,3.55,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
google/gemini-1.5-pro,0.67,0.02104961216613478,251152,201597,49555,benchmarks/pubmedqa,500,500,cSfBBtdwYcJ2NjhPT8kmhL,2024-10-01T22:28:33-04:00,2024-10-01T22:28:33-04:00,2024-10-01T22:30:35-04:00,2024-10-01T22-28-33-04-00_benchmarks-pubmedqa_SUTLSazv9RLgE3mzk6Xkc3.json,1.23,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.68,0.02088234048876172,250094,201597,48497,benchmarks/pubmedqa,500,500,hMZhZ8PsP7AaZ9PQGSGpQR,2024-10-01T22:24:28-04:00,2024-10-01T22:24:28-04:00,2024-10-01T22:26:28-04:00,2024-10-01T22-24-28-04-00_benchmarks-pubmedqa_NoFCkZffiDQk3DknSbFCeG.json,1.21,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.678,0.020916668330019865,249914,201597,48317,benchmarks/pubmedqa,500,500,dRsi54Qqt5Ycatk3QSX9TR,2024-10-01T22:26:33-04:00,2024-10-01T22:26:33-04:00,2024-10-01T22:28:31-04:00,2024-10-01T22-26-33-04-00_benchmarks-pubmedqa_aacVt52oEMEJgyxwJgxQGJ.json,1.21,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.656,0.021265758037978793,249576,201597,47979,benchmarks/pubmedqa,500,500,mzbKEip7Wa8W9hyHeDMdQC,2024-10-01T22:20:31-04:00,2024-10-01T22:20:31-04:00,2024-10-01T22:22:28-04:00,2024-10-01T22-20-31-04-00_benchmarks-pubmedqa_N7qa6wVtiPs3C2xdQovcZ9.json,1.21,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.684,0.020812359515855822,249097,201597,47500,benchmarks/pubmedqa,500,500,mnXwvkNPKWgnBWyrxrF2xo,2024-10-01T22:36:30-04:00,2024-10-01T22:36:30-04:00,2024-10-01T22:38:27-04:00,2024-10-01T22-36-30-04-00_benchmarks-pubmedqa_PuGT99b6dX83fRkXaJZqmh.json,1.2,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.654,0.021294951277234693,249200,201597,47603,benchmarks/pubmedqa,500,500,dhb2aptEx9cmbf6bd9uZnY,2024-10-01T22:34:31-04:00,2024-10-01T22:34:31-04:00,2024-10-01T22:36:29-04:00,2024-10-01T22-34-31-04-00_benchmarks-pubmedqa_bej9KRQRgPSCaAbE9ewg4i.json,1.21,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.686,0.020776701920308976,249460,201597,47863,benchmarks/pubmedqa,500,500,iap5QwqDcksohPtUSwzLyy,2024-10-01T22:18:32-04:00,2024-10-01T22:18:32-04:00,2024-10-01T22:20:30-04:00,2024-10-01T22-18-32-04-00_benchmarks-pubmedqa_UaeBSed2Sq2Ra6vT3oo8nR.json,1.21,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.662,0.021175665695209452,248918,201597,47321,benchmarks/pubmedqa,500,500,Ns5ZS84TSVBiDWzq9Ho44p,2024-10-01T22:30:36-04:00,2024-10-01T22:30:36-04:00,2024-10-01T22:32:32-04:00,2024-10-01T22-30-36-04-00_benchmarks-pubmedqa_9xfPhZQuwPeaYQUDBc42sg.json,1.2,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.672,0.021017027165175464,249341,201597,47744,benchmarks/pubmedqa,500,500,X5PP2mU9pBCfDeG3KUTMqv,2024-10-01T22:22:29-04:00,2024-10-01T22:22:29-04:00,2024-10-01T22:24:27-04:00,2024-10-01T22-22-29-04-00_benchmarks-pubmedqa_RMdfn9eaDgvf27VyyCeixN.json,1.21,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.692,0.020667032987466052,249230,201597,47633,benchmarks/pubmedqa,500,500,4q8oTpHiizfjGjVPvo4EXV,2024-10-01T22:32:33-04:00,2024-10-01T22:32:33-04:00,2024-10-01T22:34:30-04:00,2024-10-01T22-32-33-04-00_benchmarks-pubmedqa_gxEHEgHqAojU6SMfd4rHbt.json,1.21,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.606,0.02187429930168918,402735,223336,179399,benchmarks/pubmedqa,500,500,FDmfWsfKzkfXJ5UpwRScqi,2024-10-02T09:51:07-04:00,2024-10-02T09:51:07-04:00,2024-10-02T10:16:36-04:00,2024-10-02T09-51-07-04-00_benchmarks-pubmedqa_dtPWgqoKtLBxGLpfmhc76S.json,3.36,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.608,0.02185468495561119,402756,223336,179420,benchmarks/pubmedqa,500,500,SyuWsbrdZtT7GnotKk5BpC,2024-10-02T12:27:31-04:00,2024-10-02T12:27:31-04:00,2024-10-02T12:50:15-04:00,2024-10-02T12-27-31-04-00_benchmarks-pubmedqa_cyws4RbhXLLCHKQnviDNHR.json,3.36,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.614,0.021793529219281193,403880,223336,180544,benchmarks/pubmedqa,500,500,VGTqPkJqwN7PNPgWVxSz9U,2024-10-02T13:13:12-04:00,2024-10-02T13:13:12-04:00,2024-10-02T13:36:29-04:00,2024-10-02T13-13-12-04-00_benchmarks-pubmedqa_WjA4s55brA2YkWugdoZhvf.json,3.38,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
anthropic/claude-3-5-sonnet-20240620,0.616,0.02177236946554712,403793,223336,180457,benchmarks/pubmedqa,500,500,oFmTBBhWXCjGgiHUam9cqf,2024-10-02T13:36:31-04:00,2024-10-02T13:36:31-04:00,2024-10-02T14:02:38-04:00,2024-10-02T13-36-31-04-00_benchmarks-pubmedqa_kLGjzKP5C79JDRRcKLY7UP.json,3.38,Claude 3.5 Sonnet,1,,$3.00,$15.00,https://www.anthropic.com/pricing#anthropic-api,"https://docs.anthropic.com/en/docs/about-claude/models, https://github.com/anthropics/anthropic-sdk-python/blob/9255609357e71e1f34e71750370e548bb31b6eb6/src/anthropic/types/model.py#L13",2024-09-03
