inspect_model_name,epoch_model_name,epoch_model_publication_date,epoch_organization,epoch_parameters,epoch_training_compute_flop,benchmark,benchmark_publication_date,task_args,prompt_schema,total_samples,accuracy,stderr,baselines,total_tokens,input_tokens,output_tokens,est_cost,cost_source_date,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4242424242424242,0.0873678984444757,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1146516,1146417,99,2.87,2025-02-28,3c5NTdoAeTtwbznZamiqN8,2024-11-06T13:13:50-05:00,2024-11-06T13:13:50-05:00,2025-03-05T11:30:41,2024-11-06T13-13-00-05-00_lab-bench_Y6xxPvHMhn44DudJxzeNVG.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3636363636363636,0.0850376678812259,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1244519,1244420,99,3.11,2025-02-28,5k3ZDwzAqi7hdkXRwte3Z5,2024-11-06T13:14:47-05:00,2024-11-06T13:14:47-05:00,2025-03-05T11:30:41,2024-11-06T13-13-51-05-00_lab-bench_6q52h2hB9DnVnn2mG5C5qp.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4848484848484848,0.0883477559825045,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1125725,1125626,99,2.82,2025-02-28,Tda3g7Tdq574TGRXLUtomf,2024-11-06T13:15:37-05:00,2024-11-06T13:15:37-05:00,2025-03-05T11:30:41,2024-11-06T13-14-48-05-00_lab-bench_74PUtbfkj6Y3BzLcjE3yM4.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.086376926143874,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1228194,1228095,99,3.07,2025-02-28,8tWtrZFyBhb2yPuA5kxiWt,2024-11-06T13:09:15-05:00,2024-11-06T13:09:15-05:00,2025-03-05T11:30:41,2024-11-06T13-08-56-05-00_lab-bench_k3zaicchTttyF6VuD8zDCL.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.303030303030303,0.0812409492027546,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1299538,1299439,99,3.25,2025-02-28,5mdiqaSTpzxA5RgRMiwNTw,2024-11-06T13:11:14-05:00,2024-11-06T13:11:14-05:00,2025-03-05T11:30:41,2024-11-06T13-10-14-05-00_lab-bench_YrTqqgBghq7ZjeyoTZ9ujW.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.5151515151515151,0.0883477559825045,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1097479,1097380,99,2.74,2025-02-28,JCUtFEczxJuufAy4S8KGmV,2024-11-06T13:17:24-05:00,2024-11-06T13:17:24-05:00,2025-03-05T11:30:41,2024-11-06T13-16-37-05-00_lab-bench_U2GDeTQD6e5Yp8rD2VRj5k.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3636363636363636,0.0850376678812259,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1115094,1114995,99,2.79,2025-02-28,csDeA8n3SPXHtNtZWt8oZS,2024-11-06T13:12:59-05:00,2024-11-06T13:12:59-05:00,2025-03-05T11:30:41,2024-11-06T13-12-08-05-00_lab-bench_LWJJp4KYYXSi8wyG5JRtFR.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4242424242424242,0.0873678984444757,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1201708,1201601,107,3.01,2025-02-28,28ghKJgpdCQF5ym3CYk8jH,2024-11-06T13:10:13-05:00,2024-11-06T13:10:13-05:00,2025-03-05T11:30:41,2024-11-06T13-09-16-05-00_lab-bench_fHTFvfHQjkF2U6W8iSomnP.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4545454545454545,0.0880223487774412,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1200676,1200577,99,3.0,2025-02-28,KuYNC6JY2Pjpmu5sQxggVX,2024-11-06T13:12:07-05:00,2024-11-06T13:12:07-05:00,2025-03-05T11:30:41,2024-11-06T13-11-15-05-00_lab-bench_5uRFpNsu6mjMeuUpeBcBdo.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.303030303030303,0.0812409492027546,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1246835,1246736,99,3.12,2025-02-28,nBVhzweWnGskZjXzqCY9Le,2024-11-06T13:16:36-05:00,2024-11-06T13:16:36-05:00,2025-03-05T11:30:41,2024-11-06T13-15-38-05-00_lab-bench_RpEAXSMsBeoKrUcnSXE4pE.json,False
