inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
google/gemini-1.5-pro,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.3974358974358974,0.05576860878238168,119817,117945,1872,nveobSnBAetcd32FTraRVX,2024-11-05T11:15:12-05:00,2024-11-05T11:15:12-05:00,2025-01-28T12:15:30,2024-11-05T11-15-03-05-00_gpqa_js6pM5c5GfufKdyqoBH7a6.json,False
google/gemini-1.5-pro,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.47435897435897434,0.056905314133886616,119740,117889,1851,HeeGyXoDQuSYDWUjKmzrAE,2024-11-05T11:14:18-05:00,2024-11-05T11:14:18-05:00,2025-01-28T12:15:30,2024-11-05T11-14-09-05-00_gpqa_4AqrsFaFkWZ9uUwtTDUPw9.json,False
google/gemini-1.5-pro,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.46153846153846156,0.056811457375076646,121877,120093,1784,Jc7KRFog9xXwyETR5Z9pxq,2024-11-05T11:13:29-05:00,2024-11-05T11:13:29-05:00,2025-01-28T12:15:30,2024-11-05T11-13-18-05-00_gpqa_B72JdDEsbKduQeDTQrtAmr.json,False
google/gemini-1.5-pro,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.48717948717948717,0.056961553957331726,123177,121405,1772,MFBCoP3cSN2BeMhsra2Tm3,2024-11-05T11:14:08-05:00,2024-11-05T11:14:08-05:00,2025-01-28T12:15:30,2024-11-05T11-13-54-05-00_gpqa_cwbgm5wkQo9gBz4gU4iJ79.json,False
google/gemini-1.5-pro,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.5512820512820513,0.05667979681019965,129003,127215,1788,AsgrEDuXDnz3bZq9ToKpS7,2024-11-05T11:15:02-05:00,2024-11-05T11:15:02-05:00,2025-01-28T12:15:30,2024-11-05T11-14-53-05-00_gpqa_EfAA8Dbjiz8pqsofwfTJ3B.json,False
google/gemini-1.5-pro,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.44871794871794873,0.05667979681019965,126539,124720,1819,hRpTeacj5U8EC9DyvPXWJz,2024-11-05T11:13:52-05:00,2024-11-05T11:13:52-05:00,2025-01-28T12:15:30,2024-11-05T11-13-40-05-00_gpqa_E37cXeeuVyV7dADXQsxUTG.json,False
google/gemini-1.5-pro,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.41025641025641024,0.05605494615384831,119535,117723,1812,LacZvAQz4XaEGAZhsuvBHk,2024-11-05T11:14:38-05:00,2024-11-05T11:14:38-05:00,2025-01-28T12:15:30,2024-11-05T11-14-28-05-00_gpqa_G5hQycPDXQpjDQPzApM68T.json,False
google/gemini-1.5-pro,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.5256410256410257,0.056905314133886616,113468,111649,1819,QE5yS5iUd5gVPPNYYh3BeF,2024-11-05T11:14:28-05:00,2024-11-05T11:14:28-05:00,2025-01-28T12:15:30,2024-11-05T11-14-18-05-00_gpqa_3ibtSSpxHh7KgiDzVm8XH6.json,False
google/gemini-1.5-pro,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.5256410256410257,0.056905314133886616,118927,117055,1872,CWQi8Mgj3JmwnwFg4zECLx,2024-11-05T11:14:51-05:00,2024-11-05T11:14:51-05:00,2025-01-28T12:15:30,2024-11-05T11-14-39-05-00_gpqa_YgU73B9nzdnN5scXsyfe6P.json,False
google/gemini-1.5-pro,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.5128205128205128,0.056961553957331726,120696,118916,1780,JHcwcqYCqDukjZ6g5BkqNP,2024-11-05T11:13:39-05:00,2024-11-05T11:13:39-05:00,2025-01-28T12:15:30,2024-11-05T11-13-29-05-00_gpqa_8c7adsLxsG3gdJViayUc33.json,False
