inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6666666666666666,0.05372153093502534,125062,124786,276,EyftdS3JG6uZ6ugPCWdN4B,2024-11-05T11:06:44-05:00,2024-11-05T11:06:44-05:00,2025-01-28T12:15:29,2024-11-05T11-06-38-05-00_gpqa_SDWHraahUZ7iZ7jQ78GmME.json,False
openai/gpt-4o,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.717948717948718,0.05128205128205127,137319,137033,286,QRbEnGJnW8wzohTwrLw73k,2024-11-05T11:06:19-05:00,2024-11-05T11:06:19-05:00,2025-01-28T12:15:29,2024-11-05T11-06-14-05-00_gpqa_cTjFcFQoCbbUt9RPMxQqW7.json,False
openai/gpt-4o,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6666666666666666,0.053721530935025345,121894,121660,234,5sxKZhzj8fdYDtqxkm6Kpm,2024-11-05T11:06:32-05:00,2024-11-05T11:06:32-05:00,2025-01-28T12:15:29,2024-11-05T11-06-25-05-00_gpqa_iBY88CfDcgsyv32NC6gy6j.json,False
openai/gpt-4o,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6923076923076923,0.05259718913521751,118926,118692,234,WYncLyNETBMGTneb6Cd2gb,2024-11-05T11:06:04-05:00,2024-11-05T11:06:04-05:00,2025-01-28T12:15:29,2024-11-05T11-05-58-05-00_gpqa_VEAA7qpFP2zrywAgHmCPG3.json,False
openai/gpt-4o,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6923076923076923,0.05259718913521751,127694,127460,234,8p5q6s3LdHVWuE8PNGTcqh,2024-11-05T11:06:38-05:00,2024-11-05T11:06:38-05:00,2025-01-28T12:15:29,2024-11-05T11-06-33-05-00_gpqa_XzFqJ6ncmTYFKj4ncAqmgs.json,False
openai/gpt-4o,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6794871794871795,0.053182405107174285,131640,131406,234,YfxVUNnDmfRid4y8q8iXoK,2024-11-05T11:06:13-05:00,2024-11-05T11:06:13-05:00,2025-01-28T12:15:29,2024-11-05T11-06-04-05-00_gpqa_npa9EvrYAMqaYcBGb7SVhH.json,False
openai/gpt-4o,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.7435897435897436,0.0497609919747403,131009,130775,234,VxDBB3QTmhybjnJrsVSRJ5,2024-11-05T11:06:25-05:00,2024-11-05T11:06:25-05:00,2025-01-28T12:15:29,2024-11-05T11-06-19-05-00_gpqa_BpGVyr6NJYiY8NTCxMFhVg.json,False
openai/gpt-4o,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6794871794871795,0.05318240510717429,120723,120489,234,2FoewFXZgTbjRPAv6SFwLc,2024-11-05T11:05:58-05:00,2024-11-05T11:05:58-05:00,2025-01-28T12:15:29,2024-11-05T11-05-51-05-00_gpqa_am3MvH4hv5takPkbcTA5jB.json,False
openai/gpt-4o,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6666666666666666,0.053721530935025345,128122,127888,234,XGHVMvb7KSU3k4iHjwsHq6,2024-11-05T11:05:49-05:00,2024-11-05T11:05:49-05:00,2025-01-28T12:15:29,2024-11-05T11-05-42-05-00_gpqa_CidwpYpawFSpxGDCUDfSDm.json,False
openai/gpt-4o,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6666666666666666,0.05372153093502534,128157,127923,234,7MnoNtXiAVWPBmdn9EoXAz,2024-11-05T11:06:55-05:00,2024-11-05T11:06:55-05:00,2025-01-28T12:15:29,2024-11-05T11-06-46-05-00_gpqa_XrmYKwJKL4tQsfYgRbEHnK.json,False
