inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6538461538461539,0.05421594160377286,131260,129371,1889,fsCtbqcTjmJ3q8agkS3vVk,2024-11-05T11:17:25-05:00,2024-11-05T11:17:25-05:00,2025-01-28T12:15:30,2024-11-05T11-17-03-05-00_gpqa_92nYaBop3tgcEExH3932ug.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6025641025641025,0.055768608782381685,139978,136809,3169,6f8c47nwvzi5opryFFmoej,2024-11-05T11:19:13-05:00,2024-11-05T11:19:13-05:00,2025-01-28T12:15:30,2024-11-05T11-18-29-05-00_gpqa_9dGE9RWWforvXjMYVqzKUU.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6282051282051282,0.05507532564433873,131535,125107,6428,gRrM927JeGV5ntTYbJQju8,2024-11-05T11:20:04-05:00,2024-11-05T11:20:04-05:00,2025-01-28T12:15:30,2024-11-05T11-19-14-05-00_gpqa_L2eoSgfQH5FceAvwDXXEjV.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6410256410256411,0.054666850347592416,135842,131878,3964,BvrJft5Y5HzihWwbhPNA8q,2024-11-05T11:18:05-05:00,2024-11-05T11:18:05-05:00,2025-01-28T12:15:30,2024-11-05T11-17-26-05-00_gpqa_9Gmb9oChuQp9SQPuWCvXVb.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.7051282051282052,0.051964325857549835,134619,130535,4084,PcxKMiJrRPYJpkrWYTkRoa,2024-11-05T11:16:17-05:00,2024-11-05T11:16:17-05:00,2025-01-28T12:15:30,2024-11-05T11-15-32-05-00_gpqa_CVY4hUaVMtHWE6BzfRo4Q3.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6282051282051282,0.05507532564433873,136140,132380,3760,Ggobkr2TcfLcCWQzwfrxwA,2024-11-05T11:17:01-05:00,2024-11-05T11:17:01-05:00,2025-01-28T12:15:30,2024-11-05T11-16-18-05-00_gpqa_F5BsYMythdxYAbCTLseJEY.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6923076923076923,0.052597189135217506,138287,134706,3581,XLw5sta7XSFn7hQpmjQTqi,2024-11-05T11:20:51-05:00,2024-11-05T11:20:51-05:00,2025-01-28T12:15:30,2024-11-05T11-20-06-05-00_gpqa_WA65HDZkzEg7Fcr3euVVDs.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6666666666666666,0.05372153093502534,132359,128465,3894,Cj9bXpRbFCYWrKcnjcqQy5,2024-11-05T11:15:30-05:00,2024-11-05T11:15:30-05:00,2025-01-28T12:15:30,2024-11-05T11-14-41-05-00_gpqa_fr9peLFqL6yZmjigFSi4K5.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6538461538461539,0.05421594160377286,137154,134790,2364,Q8p8SXDLV6tDkpjeb8GQQn,2024-11-05T11:21:16-05:00,2024-11-05T11:21:16-05:00,2025-01-28T12:15:30,2024-11-05T11-20-52-05-00_gpqa_PrtCH9sbQNnaAw3yAJ2zdp.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.5897435897435898,0.05605494615384831,140410,137946,2464,e9Q2o8xVZa2Wpg42ggHGAt,2024-11-05T11:18:28-05:00,2024-11-05T11:18:28-05:00,2025-01-28T12:15:30,2024-11-05T11-18-06-05-00_gpqa_Jt9MGGs3fZ4wwynjRLMTmU.json,False
