inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.3869346733668342,0.03461302901134309,100161,97393,2768,fWcBxWvLzzS6j6CQZm6Rte,2024-11-06T08:27:05-05:00,2024-11-06T08:27:05-05:00,2025-01-28T12:15:15,2024-11-06T08-25-17-05-00_lab-bench_WndgVZFrh7yb9fENJjKt5R.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.39195979899497485,0.03469399527170516,100988,98210,2778,YVqDTFhb8EJR4jPD8h86nu,2024-11-06T08:21:35-05:00,2024-11-06T08:21:35-05:00,2025-01-28T12:15:15,2024-11-06T08-19-55-05-00_lab-bench_VgvDgW7AWYa2XQUE6BXVfy.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.36683417085427134,0.034250035902652465,100710,97964,2746,ZZqmKbngfP3sNKi7p3dxZT,2024-11-06T08:19:54-05:00,2024-11-06T08:19:54-05:00,2025-01-28T12:15:15,2024-11-06T08-18-05-05-00_lab-bench_GwierfXzVHuW9jmp3xZEzQ.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.36180904522613067,0.03414934964098814,100132,97348,2784,77to6Vn2DPq7MYtPw8CA6K,2024-11-06T08:25:16-05:00,2024-11-06T08:25:16-05:00,2025-01-28T12:15:15,2024-11-06T08-23-30-05-00_lab-bench_R5hULxDRVHmAfGubYXbKbS.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.3768844221105528,0.03443941793177597,102084,99254,2830,cY44Lyq9NQSyFEbSXzuTeE,2024-11-06T08:18:04-05:00,2024-11-06T08:18:04-05:00,2025-01-28T12:15:15,2024-11-06T08-16-19-05-00_lab-bench_CjQ4FvrZ96KqrVRw2EZH2J.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.34673366834170855,0.033822877290110485,101521,98660,2861,QiB6U9nWnRuu5YKiNcAtYn,2024-11-06T08:28:47-05:00,2024-11-06T08:28:47-05:00,2025-01-28T12:15:15,2024-11-06T08-27-06-05-00_lab-bench_LzR7gfDr8jM774sEnbBhZn.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.39195979899497485,0.03469399527170516,101222,98347,2875,mzJxUGt9RGr93Uz5nnpv7G,2024-11-06T08:14:39-05:00,2024-11-06T08:14:39-05:00,2025-01-28T12:15:15,2024-11-06T08-12-50-05-00_lab-bench_ZVyh37zG3n8CfFAooG3WAC.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.4120603015075377,0.03497954737400379,99905,97166,2739,aLEJhWuwqKndutSrErrUGQ,2024-11-06T08:23:29-05:00,2024-11-06T08:23:29-05:00,2025-01-28T12:15:15,2024-11-06T08-21-37-05-00_lab-bench_4uMEE65bCvye2u9SXURsuN.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.36683417085427134,0.03425003590265246,99372,96566,2806,Mrsebb8wk8hxheKdYChUoV,2024-11-06T08:12:49-05:00,2024-11-06T08:12:49-05:00,2025-01-28T12:15:15,2024-11-06T08-11-03-05-00_lab-bench_7KyHNKFV8FGaNoA6kKvbnz.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.3869346733668342,0.03461302901134309,100811,98023,2788,duSqiZkZeuT96DPazjex4F,2024-11-06T08:16:18-05:00,2024-11-06T08:16:18-05:00,2025-01-28T12:15:15,2024-11-06T08-14-40-05-00_lab-bench_ENyuhqYJLSHGQ8QJ9QDgVb.json,False
