inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.38190954773869346,0.034528179465409925,84762,84165,597,kZBNqGLntuyL7mRyFGijR8,2024-11-06T08:09:48-05:00,2024-11-06T08:09:48-05:00,2025-01-28T12:15:14,2024-11-06T08-09-36-05-00_lab-bench_UW2GcYbmhNsUx4yn4bcJiR.json,False
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.4020100502512563,0.034844384918443314,83945,83348,597,YajL6LdeEBWXXyPQG64baW,2024-11-06T08:10:48-05:00,2024-11-06T08:10:48-05:00,2025-01-28T12:15:14,2024-11-06T08-10-36-05-00_lab-bench_fhWBxvXsXfin5kvQU6LCo4.json,False
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.40703517587939697,0.03491385802519048,83335,82738,597,aYmMZoirSSH87chxFamsTg,2024-11-06T08:11:02-05:00,2024-11-06T08:11:02-05:00,2025-01-28T12:15:14,2024-11-06T08-10-48-05-00_lab-bench_753f9smjtsGaGgCTnfCBau.json,False
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.41708542713567837,0.035041474244182316,84317,83720,597,6oppeZF9Kei3antdxWb2bR,2024-11-06T08:09:58-05:00,2024-11-06T08:09:58-05:00,2025-01-28T12:15:14,2024-11-06T08-09-49-05-00_lab-bench_Fqw9QVPRjRPPWHtDjHT7va.json,False
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.39195979899497485,0.034693995271705164,84655,84023,632,VXqigzPao37HM8qpUJAkX4,2024-11-06T08:10:26-05:00,2024-11-06T08:10:26-05:00,2025-01-28T12:15:14,2024-11-06T08-10-16-05-00_lab-bench_WdJK7y9PwJcu7Csq6xSi3s.json,False
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.47738693467336685,0.03549709401084567,83549,82952,597,E2RsagJ8rVVWNSSqwLtqUc,2024-11-06T08:09:10-05:00,2024-11-06T08:09:10-05:00,2025-01-28T12:15:14,2024-11-06T08-08-59-05-00_lab-bench_UtFwgWCiKEiuePXahYUo25.json,False
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.4371859296482412,0.03525193544123144,84256,83659,597,GeiCnB3dghstTaazPZU3yy,2024-11-06T08:09:35-05:00,2024-11-06T08:09:35-05:00,2025-01-28T12:15:14,2024-11-06T08-09-23-05-00_lab-bench_2m7bpfyURiLJrKwvELfeKg.json,False
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.3969849246231156,0.03477110537378155,83959,83362,597,UfvkxAtMNonduYZjiBoMYj,2024-11-06T08:10:15-05:00,2024-11-06T08:10:15-05:00,2025-01-28T12:15:14,2024-11-06T08-09-59-05-00_lab-bench_AsdUA6jkhbJyPr6Hkev4VE.json,False
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.3869346733668342,0.03461302901134309,84372,83775,597,iHY2vatXqtX9hmud4wtBGo,2024-11-06T08:10:36-05:00,2024-11-06T08:10:36-05:00,2025-01-28T12:15:14,2024-11-06T08-10-27-05-00_lab-bench_RtRvXAGacoXstiMtahGzTt.json,False
openai/gpt-4o,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.4472361809045226,0.035335047084973176,84351,83754,597,GZ3WZYdz5LdaDvtnNLDEne,2024-11-06T08:09:22-05:00,2024-11-06T08:09:22-05:00,2025-01-28T12:15:14,2024-11-06T08-09-11-05-00_lab-bench_UR6cya4WfjcvdvGTW4q7St.json,False
