inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.33668341708542715,0.033584485185533364,93508,92406,1102,BykqjzcjwEWcBzQYhoftKH,2024-11-06T09:04:43-05:00,2024-11-06T09:04:43-05:00,2025-01-28T12:15:14,2024-11-06T08-36-37-05-00_lab-bench_G2fdGV5ACoCd9jbN9hvdFE.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.40703517587939697,0.03491385802519048,92478,91445,1033,B2cK3QdtTys54icUG4QSJZ,2024-11-06T08:35:53-05:00,2024-11-06T08:35:53-05:00,2025-01-28T12:15:14,2024-11-06T08-35-32-05-00_lab-bench_d2WRCA4tfoeNosUMvFJW5Q.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.39195979899497485,0.03469399527170516,92450,91420,1030,TPSTHC9sUMTmJLTmR4RNZG,2024-11-06T09:07:36-05:00,2024-11-06T09:07:36-05:00,2025-01-28T12:15:14,2024-11-06T09-07-10-05-00_lab-bench_Uw4h4ynwbs3abeiLshxJpx.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.41708542713567837,0.03504147424418231,91807,90789,1018,FtgRjCXe55JMwsmxUhGJda,2024-11-06T08:36:14-05:00,2024-11-06T08:36:14-05:00,2025-01-28T12:15:14,2024-11-06T08-35-53-05-00_lab-bench_nQq7jjNBxTNi4D5J7YxtSC.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.4472361809045226,0.035335047084973176,92789,91747,1042,4TnSwERSqSu5jDe5uSJvaC,2024-11-06T08:35:31-05:00,2024-11-06T08:35:31-05:00,2025-01-28T12:15:14,2024-11-06T08-35-10-05-00_lab-bench_8Nd2DMdy35Zy9LDyovcAnw.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.34673366834170855,0.033822877290110485,92067,90974,1093,CQi2WoqwU2vZkKVP2Ui7ot,2024-11-06T09:07:09-05:00,2024-11-06T09:07:09-05:00,2025-01-28T12:15:14,2024-11-06T09-06-38-05-00_lab-bench_DoBtPDVcgJ2qdqiGnL3Bfr.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.3768844221105528,0.03443941793177597,91771,90741,1030,bu3jTDvxNqfoG4sin3xVPa,2024-11-06T08:36:36-05:00,2024-11-06T08:36:36-05:00,2025-01-28T12:15:14,2024-11-06T08-36-15-05-00_lab-bench_SQ2CuN6FLFFi8WDkoHkoRu.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.33668341708542715,0.033584485185533364,93404,92155,1249,gWxCQLhgs9KVzeanbFAKbU,2024-11-06T08:34:48-05:00,2024-11-06T08:34:48-05:00,2025-01-28T12:15:14,2024-11-06T08-34-28-05-00_lab-bench_8L95HSm5q5qytnDJ2Djo8h.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.3768844221105528,0.03443941793177597,92684,91658,1026,XFuHHyNhrAF5TrrTRS3m2P,2024-11-06T08:34:27-05:00,2024-11-06T08:34:27-05:00,2025-01-28T12:15:15,2024-11-06T08-34-06-05-00_lab-bench_EMorLt2hXUyfsRubaYarMB.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.3768844221105528,0.03443941793177597,93134,92080,1054,8yHoqhuAEQ3i4veK79nmJ2,2024-11-06T08:35:09-05:00,2024-11-06T08:35:09-05:00,2025-01-28T12:15:15,2024-11-06T08-34-49-05-00_lab-bench_dicZGxYvwxSvVCGSU3MYUg.json,False
