inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.5555555555555556,0.04803752235190188,1165512,1165188,324,JG5277J2aikNyxypkPEnsw,2024-11-06T09:18:35-05:00,2024-11-06T09:18:35-05:00,2025-01-28T12:15:21,2024-11-06T09-18-02-05-00_lab-bench_drhmUY5sxPCKwTWZrJ555z.json,False
openai/gpt-4o,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6574074074074074,0.04587904741301814,1188783,1188459,324,Vj3XTBnM48oSqGpgtfsa6A,2024-11-06T09:21:54-05:00,2024-11-06T09:21:54-05:00,2025-01-28T12:15:21,2024-11-06T09-20-11-05-00_lab-bench_7BiB2xQmbvmTcvUBvP6oVu.json,False
openai/gpt-4o,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6296296296296297,0.046684080330249296,1117612,1117288,324,kogGrdGLCVUazK99xWUzGq,2024-11-06T09:24:20-05:00,2024-11-06T09:24:20-05:00,2025-01-28T12:15:21,2024-11-06T09-23-05-05-00_lab-bench_fCCuDeabCFHt4hDHu63hox.json,False
openai/gpt-4o,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6481481481481481,0.04616631111801715,1146033,1145709,324,S9Pf8SobkidxhFAZ3FXCgg,2024-11-06T09:31:33-05:00,2024-11-06T09:31:33-05:00,2025-01-28T12:15:21,2024-11-06T09-30-34-05-00_lab-bench_k8uxkiQdMEt6tAhwgvpo8o.json,False
openai/gpt-4o,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6018518518518519,0.047323326159788126,1140971,1140647,324,Ag4qxgDNodV2Fy5zU9kcUJ,2024-11-06T09:23:04-05:00,2024-11-06T09:23:04-05:00,2025-01-28T12:15:21,2024-11-06T09-21-55-05-00_lab-bench_dBnsDwTitGZkxDhuCUTi8y.json,False
openai/gpt-4o,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6018518518518519,0.047323326159788126,1196120,1195796,324,MVBZFy9kdyvHXGnRvsSxcB,2024-11-06T09:27:25-05:00,2024-11-06T09:27:25-05:00,2025-01-28T12:15:21,2024-11-06T09-26-11-05-00_lab-bench_Trqk46EbEeEYxf34zxeU7s.json,False
openai/gpt-4o,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6296296296296297,0.046684080330249296,1206310,1205986,324,LptwA8Dg4JngAvKfa9naW5,2024-11-06T09:20:10-05:00,2024-11-06T09:20:10-05:00,2025-01-28T12:15:21,2024-11-06T09-18-36-05-00_lab-bench_Q4Ek8X9UjmJiWp2BhkXgJw.json,False
openai/gpt-4o,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6296296296296297,0.046684080330249296,1138361,1138037,324,kk8EqA7HAhNd2AdxEjdL68,2024-11-06T09:30:33-05:00,2024-11-06T09:30:33-05:00,2025-01-28T12:15:21,2024-11-06T09-28-42-05-00_lab-bench_3UUrDbiEV5rnhjKQhXhh5n.json,False
openai/gpt-4o,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6388888888888888,0.0464345460890627,1143671,1143347,324,M4JVjGnaDDVAnAmkKTCfYN,2024-11-06T09:28:41-05:00,2024-11-06T09:28:41-05:00,2025-01-28T12:15:21,2024-11-06T09-27-26-05-00_lab-bench_aV6drfxRFwPVq3zDcuYU9t.json,False
openai/gpt-4o,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.5648148148148148,0.04792898170907059,1188995,1188671,324,Xrqynswg3LZehp6iCs9pyd,2024-11-06T09:26:10-05:00,2024-11-06T09:26:10-05:00,2025-01-28T12:15:21,2024-11-06T09-24-21-05-00_lab-bench_9bjjm9vnDLzmJuiQ8RPU4t.json,False
