inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6111111111111112,0.04712821257426773,1184820,1184280,540,hfLyqJoZrmKfZkvqq4jrdQ,2024-11-06T11:00:53-05:00,2024-11-06T11:00:53-05:00,2025-01-28T12:15:22,2024-11-06T10-56-43-05-00_lab-bench_oPzDeLX6Q7svpCSqHshQVa.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6018518518518519,0.047323326159788126,1156515,1155975,540,gnytzcaGHB4wK8PUZER6K7,2024-11-06T10:46:51-05:00,2024-11-06T10:46:51-05:00,2025-01-28T12:15:22,2024-11-06T10-44-12-05-00_lab-bench_arYyvbqvg4RfGpJini6BpJ.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.5833333333333334,0.04766075165356461,1143536,1142996,540,H4VZ6RiACZUuKMiiN4cnA7,2024-11-06T10:56:42-05:00,2024-11-06T10:56:42-05:00,2025-01-28T12:15:22,2024-11-06T10-53-30-05-00_lab-bench_T4WGcHNRF73bmuVFKUVRnb.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6111111111111112,0.04712821257426773,1195872,1195332,540,GcpJQwwGeVTHpQKg68cUYA,2024-11-06T10:48:24-05:00,2024-11-06T10:48:24-05:00,2025-01-28T12:15:22,2024-11-06T10-46-52-05-00_lab-bench_4KPccyikGPU5Von7onhEbB.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.5925925925925926,0.04750077341199984,1199196,1198656,540,NhvN455mWU5YzdPokvi3Nk,2024-11-06T10:44:11-05:00,2024-11-06T10:44:11-05:00,2025-01-28T12:15:22,2024-11-06T10-41-26-05-00_lab-bench_WDThg2pSRTRnUaaczsDe8M.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6388888888888888,0.0464345460890627,1179979,1179439,540,dvxnJdvLBkpfrd3k2DYka5,2024-11-06T10:34:35-05:00,2024-11-06T10:34:35-05:00,2025-01-28T12:15:22,2024-11-06T10-30-54-05-00_lab-bench_atphKWLZ97ukb7oMaLLJgh.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6203703703703703,0.04691521224077745,1136604,1136064,540,eDqKmgG6MUXUzswcqexNnS,2024-11-06T10:50:45-05:00,2024-11-06T10:50:45-05:00,2025-01-28T12:15:22,2024-11-06T10-48-26-05-00_lab-bench_icVDgEa3rz5Ke6EwaQPGxc.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.5833333333333334,0.04766075165356461,1155118,1154578,540,Sn23GQEM5UhWzj4wsZLy3r,2024-11-06T10:53:28-05:00,2024-11-06T10:53:28-05:00,2025-01-28T12:15:22,2024-11-06T10-50-46-05-00_lab-bench_X8h5dzoUxvFNjVzWppUmmh.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6018518518518519,0.047323326159788126,1191023,1190483,540,EYZqNu3CKALNznooqWBHmq,2024-11-06T10:41:25-05:00,2024-11-06T10:41:25-05:00,2025-01-28T12:15:22,2024-11-06T10-38-07-05-00_lab-bench_ka79ToQYD4Zf6Y2otgX7Hg.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.5740740740740741,0.04780343626936791,1204313,1203773,540,6E6bkTE9qhfwRhpM59a2uL,2024-11-06T10:38:06-05:00,2024-11-06T10:38:06-05:00,2025-01-28T12:15:22,2024-11-06T10-34-36-05-00_lab-bench_4yEMRBkfYWRuGgEruc4QTQ.json,False
