inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8592307692307692,0.009649486515947613,946691,927742,18949,mnKXYE9E9SgUTvJ2mYmzip,2024-11-05T14:20:03-05:00,2024-11-05T14:20:03-05:00,2025-01-28T12:15:28,2024-11-05T14-09-11-05-00_mmlu_f6wpWnH8zTHcvjXoF5QBJW.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8692307692307693,0.009354396077996143,948508,928584,19924,hufP3Xf4Pxk4iRKMxHuPD8,2024-11-05T15:01:26-05:00,2024-11-05T15:01:26-05:00,2025-01-28T12:15:28,2024-11-05T14-39-16-05-00_mmlu_5ogeTZER5C5DQ4fhZNHQhr.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8661538461538462,0.009447042987417633,948310,930292,18018,S5wnbDdqfgiW6hWWDRENJF,2024-11-05T12:51:18-05:00,2024-11-05T12:51:18-05:00,2025-01-28T12:15:28,2024-11-05T12-40-03-05-00_mmlu_k6FFcj39mqzeSYTN6UxtVu.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8684615384615385,0.009377716477861243,948384,931067,17317,YUgFC3h8hfzeXJtY23WuYu,2024-11-05T13:02:57-05:00,2024-11-05T13:02:57-05:00,2025-01-28T12:15:28,2024-11-05T12-51-56-05-00_mmlu_396F2batrvTsGZVJcqwauL.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8692307692307693,0.009354396077996142,937288,918490,18798,icVuHYvfPcXJQ965LiBwDd,2024-11-05T14:39:06-05:00,2024-11-05T14:39:06-05:00,2025-01-28T12:15:29,2024-11-05T14-20-16-05-00_mmlu_gc2PrFnfvEBrBUKGg7CcWK.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8661538461538462,0.009447042987417633,956333,937256,19077,68kCZcUeS4oUJA6iXbA9gZ,2024-11-05T14:08:57-05:00,2024-11-05T14:08:57-05:00,2025-01-28T12:15:29,2024-11-05T13-15-17-05-00_mmlu_4V3qvPDayqSUy7bRZAGx2S.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8730769230769231,0.009236171214980642,959476,941721,17755,AWb3o2Y6M7DJNyhpb4SGrf,2024-11-05T12:28:54-05:00,2024-11-05T12:28:54-05:00,2025-01-28T12:15:29,2024-11-05T11-54-06-05-00_mmlu_2gXXpWvXqZ7hmfxwbGDjJb.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8792307692307693,0.009041177874506154,949008,931549,17459,RRLLGAGsnQaC9EqzCzo3G4,2024-11-05T12:39:46-05:00,2024-11-05T12:39:46-05:00,2025-01-28T12:15:29,2024-11-05T12-29-09-05-00_mmlu_4aicaTEsZsbnXVQksxMho7.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8707692307692307,0.009307433167882023,954328,934449,19879,R6VMnyZguTbeeP9rowao8B,2024-11-05T15:35:36-05:00,2024-11-05T15:35:36-05:00,2025-01-28T12:15:29,2024-11-05T15-01-59-05-00_mmlu_W7Cavmcu9RUstWxRS2AhSK.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8723076923076923,0.009260035325682477,955898,938297,17601,Xc4DGNnmGwofDZUmVyqdVS,2024-11-05T13:14:59-05:00,2024-11-05T13:14:59-05:00,2025-01-28T12:15:29,2024-11-05T13-03-21-05-00_mmlu_XNYWHDFZbT4pRvyLyh2oye.json,False
