inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-2.0,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology']}",zero_shot,78,0.47435897435897434,0.056905314133886616,24750,23761,989,NuxwkAnDPp2Yu3R2PqPar6,2024-10-30T21:14:54-04:00,2024-10-30T21:14:54-04:00,2025-01-28T12:07:20,2024-10-30T21-14-17-04-00_gpqa_DGJgkwmdrnDhSe6kGMQF5q.json,False
anthropic/claude-2.0,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology']}",zero_shot,78,0.5128205128205128,0.056961553957331726,25538,23760,1778,VTici5uWDgY8no8xxik3nZ,2024-10-30T21:10:31-04:00,2024-10-30T21:10:31-04:00,2025-01-28T12:07:20,2024-10-30T21-09-44-04-00_gpqa_Aw6RPFjVr9EDTBqBswUN3g.json,False
anthropic/claude-2.0,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology']}",zero_shot,78,0.5128205128205128,0.056961553957331726,25015,23759,1256,MdSeoUTUdKowT29pFNBdRa,2024-10-30T21:11:55-04:00,2024-10-30T21:11:55-04:00,2025-01-28T12:07:20,2024-10-30T21-11-12-04-00_gpqa_9pYnSMyNCRi6sWq8CeZfuC.json,False
anthropic/claude-2.0,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology']}",zero_shot,78,0.5,0.05698028822981897,24722,23760,962,fbGra7noat4CtsQ33fNiUt,2024-10-30T21:15:28-04:00,2024-10-30T21:15:28-04:00,2025-01-28T12:07:20,2024-10-30T21-14-55-04-00_gpqa_e79SJtac2L34hHES6dGRtd.json,False
anthropic/claude-2.0,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology']}",zero_shot,78,0.46153846153846156,0.056811457375076646,24982,23758,1224,c2eknqLZrNdSDGa7cPuxTM,2024-10-30T21:09:43-04:00,2024-10-30T21:09:43-04:00,2025-01-28T12:07:20,2024-10-30T21-08-59-04-00_gpqa_2h2Ci5ByE3Vf3aPLDBJZSg.json,False
anthropic/claude-2.0,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology']}",zero_shot,78,0.48717948717948717,0.056961553957331726,25056,23763,1293,FSjUrkDn5W9DVrG3zRUTJ9,2024-10-30T21:13:27-04:00,2024-10-30T21:13:27-04:00,2025-01-28T12:07:20,2024-10-30T21-12-44-04-00_gpqa_YcMgGrXVNBJwrvT4DscDmj.json,False
anthropic/claude-2.0,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology']}",zero_shot,78,0.5256410256410257,0.056905314133886616,24853,23761,1092,QWsSgeX7UUfvr5tRe3wBEt,2024-10-30T21:08:58-04:00,2024-10-30T21:08:58-04:00,2025-01-28T12:07:20,2024-10-30T21-08-20-04-00_gpqa_NvhivvHT372SAT59BXxGSa.json,False
anthropic/claude-2.0,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology']}",zero_shot,78,0.5256410256410257,0.056905314133886616,25382,23760,1622,bAGymtdGWtM3SHq7ecF5NQ,2024-10-30T21:14:16-04:00,2024-10-30T21:14:16-04:00,2025-01-28T12:07:20,2024-10-30T21-13-27-04-00_gpqa_K6S6i6AB99MXDVvxfaY9H4.json,False
anthropic/claude-2.0,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology']}",zero_shot,78,0.5256410256410257,0.056905314133886616,24874,23762,1112,Nfawyf6Buqyr6LAdNeQPY9,2024-10-30T21:11:12-04:00,2024-10-30T21:11:12-04:00,2025-01-28T12:07:20,2024-10-30T21-10-32-04-00_gpqa_P4d98poe59w94CK2V2Do5r.json,False
anthropic/claude-2.0,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology']}",zero_shot,78,0.5641025641025641,0.05651006820711177,25156,23757,1399,RDZareMSgiUvTcAEuczmLj,2024-10-30T21:12:43-04:00,2024-10-30T21:12:43-04:00,2025-01-28T12:07:20,2024-10-30T21-11-55-04-00_gpqa_NXFaXprKP6XDDe4YRogzFs.json,False
