inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
google/gemini-2.0-flash-exp,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6025641025641025,0.055768608782381685,23047,22735,312,jEPxsc37jhC43PKmj394YN,2025-02-01T20:06:22-05:00,2025-02-01T20:06:22-05:00,2025-02-09T16:08:56,2025-02-01T19-34-01-05-00_gpqa_REzoDN2qMsHdJAU25S36xD.json,False
google/gemini-2.0-flash-exp,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6282051282051282,0.05507532564433873,23048,22736,312,5xgmzoyhs4KN9b4Kf2PkXB,2025-02-02T12:43:04-05:00,2025-02-02T12:43:04-05:00,2025-02-09T16:08:56,2025-02-02T12-25-33-05-00_gpqa_Xj7g8khcFs39gMEkm49ev9.json,False
google/gemini-2.0-flash-exp,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6153846153846154,0.055442305396649766,23049,22737,312,h9p343KAgaZfbj4dbSmQfB,2025-02-01T16:30:38-05:00,2025-02-01T16:30:38-05:00,2025-02-09T16:08:56,2025-02-01T16-20-51-05-00_gpqa_ELTrjh36xTwfLzP2r6J6Gg.json,False
google/gemini-2.0-flash-exp,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6410256410256411,0.054666850347592416,23048,22736,312,QhyrZxAyfHqXFiduSGJjo6,2025-02-01T16:11:41-05:00,2025-02-01T16:11:41-05:00,2025-02-09T16:08:56,2025-02-01T16-02-36-05-00_gpqa_mVzFtLWQTTk5nmHEUowTwA.json,False
google/gemini-2.0-flash-exp,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6410256410256411,0.05466685034759242,23049,22737,312,bg3W5jRSdBqB39kdygUVP2,2025-02-01T18:23:44-05:00,2025-02-01T18:23:44-05:00,2025-02-09T16:08:56,2025-02-01T18-17-42-05-00_gpqa_KSpjvh5bPezQCe2GhXDMFw.json,False
google/gemini-2.0-flash-exp,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7051282051282052,0.051964325857549835,23050,22738,312,9YjCG7fkjy3vTQv9gWqjhc,2025-02-01T16:20:50-05:00,2025-02-01T16:20:50-05:00,2025-02-09T16:08:56,2025-02-01T16-11-51-05-00_gpqa_9aS4RprYUkAau2RYpFsjYR.json,False
google/gemini-2.0-flash-exp,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6794871794871795,0.05318240510717429,23048,22736,312,QGNjaderstAgrV86JyTq8G,2025-02-01T18:32:45-05:00,2025-02-01T18:32:45-05:00,2025-02-09T16:08:56,2025-02-01T18-23-45-05-00_gpqa_ZEDZWmPybtBCogeMwUtVtD.json,False
google/gemini-2.0-flash-exp,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6923076923076923,0.052597189135217506,23050,22738,312,45xV35vf76vpzt63Mbvtxw,2025-02-01T18:41:47-05:00,2025-02-01T18:41:47-05:00,2025-02-09T16:08:56,2025-02-01T18-32-46-05-00_gpqa_DGzSyMAuxaMeGtvURXbC9j.json,False
google/gemini-2.0-flash-exp,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6923076923076923,0.05259718913521751,23048,22736,312,ko5Bbu25VdYyiGHBT83jNg,2025-02-01T19:34:00-05:00,2025-02-01T19:34:00-05:00,2025-02-09T16:08:56,2025-02-01T18-41-48-05-00_gpqa_9xXGJKb6cvzLwQwegaMywg.json,False
google/gemini-2.0-flash-exp,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6025641025641025,0.055768608782381685,23049,22737,312,QxWarb5vcs3zwmLVbAgqcV,2025-02-01T16:02:35-05:00,2025-02-01T16:02:35-05:00,2025-02-09T16:08:56,2025-02-01T15-53-32-05-00_gpqa_dndkWtXeExVJR9y5TWfvm8.json,False
