inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-3.5-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.358974358974359,0.05466685034759241,24432,24106,326,GiqvSfJGRrkMXq3broiH7z,2024-11-07T18:43:11-05:00,2024-11-07T18:43:11-05:00,2025-01-28T12:07:24,2024-11-07T18-43-07-05-00_gpqa_7fnNKCwn7HYzLWVp9UBNGE.json,False
openai/gpt-3.5-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.358974358974359,0.0546668503475924,24446,24106,340,MWVUUp39a8B9EwEDGbdo9b,2024-11-07T18:43:06-05:00,2024-11-07T18:43:06-05:00,2025-01-28T12:07:24,2024-11-07T18-43-03-05-00_gpqa_Bn5Mxm8bkCbmZWzshqkx2C.json,False
openai/gpt-3.5-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.41025641025641024,0.05605494615384831,24465,24105,360,oR9w9R6jTtewJvTWMWsZ7A,2024-11-07T18:42:58-05:00,2024-11-07T18:42:58-05:00,2025-01-28T12:07:24,2024-11-07T18-42-54-05-00_gpqa_fzjkzYccsy2uAibUiiaeBv.json,False
openai/gpt-3.5-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.48717948717948717,0.056961553957331726,24422,24103,319,QWF24wAFjdAAmfb7Q4a6yL,2024-11-07T18:42:50-05:00,2024-11-07T18:42:50-05:00,2025-01-28T12:07:24,2024-11-07T18-42-46-05-00_gpqa_cMvXU3pcQC34sKM6oRyK8f.json,False
openai/gpt-3.5-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.3974358974358974,0.055768608782381685,24427,24105,322,5XpE6G38Jb6dqyqzUpYniS,2024-11-07T18:42:54-05:00,2024-11-07T18:42:54-05:00,2025-01-28T12:07:24,2024-11-07T18-42-50-05-00_gpqa_Cnscgptn76zRRA8JdjeEFk.json,False
openai/gpt-3.5-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.46153846153846156,0.05681145737507664,24440,24108,332,RNFg5ZM8BZ8eguCqxrZcdg,2024-11-07T18:42:46-05:00,2024-11-07T18:42:46-05:00,2025-01-28T12:07:24,2024-11-07T18-42-43-05-00_gpqa_jkVYGmtTmyx2MVqwKNGMVV.json,False
openai/gpt-3.5-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.3974358974358974,0.055768608782381685,24435,24106,329,4aKorxemfnYWbpziVqZC5i,2024-11-07T18:43:02-05:00,2024-11-07T18:43:02-05:00,2025-01-28T12:07:24,2024-11-07T18-42-59-05-00_gpqa_brKgxg6gkHBZ35wkaVRyXy.json,False
openai/gpt-3.5-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.48717948717948717,0.056961553957331726,24427,24107,320,eMWLGBw5tUxoZXGn5tbV33,2024-11-07T18:42:42-05:00,2024-11-07T18:42:42-05:00,2025-01-28T12:07:24,2024-11-07T18-42-39-05-00_gpqa_SLj9yt8MYdRt6xhc7UDBki.json,False
openai/gpt-3.5-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.41025641025641024,0.05605494615384831,24450,24104,346,69m3jHRThCK8kqAUZpQADC,2024-11-07T18:42:38-05:00,2024-11-07T18:42:38-05:00,2025-01-28T12:07:24,2024-11-07T18-42-34-05-00_gpqa_SDW8RNZBAce3XgH9JavTtN.json,False
openai/gpt-3.5-turbo,benchmarks/run,"{'cls': 'GPQABenchmark', 'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.3974358974358974,0.055768608782381685,24447,24109,338,cNuuDcetunqmPomqPSyChU,2024-09-10T11:29:28-04:00,2024-09-10T11:29:28-04:00,2025-01-28T12:07:24,2024-09-10T11-29-24-04-00_benchmarks-run_TNtUWecpoynJo42T526sSZ.json,False
