inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6410256410256411,0.054666850347592416,24416,24104,312,HNNunzp7gx86Quwi83hEXR,2024-11-07T18:41:53-05:00,2024-11-07T18:41:53-05:00,2025-01-28T12:07:23,2024-11-07T18-41-48-05-00_gpqa_TAVpoxsGj3fvipVbaFV6QV.json,False
openai/gpt-4-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6538461538461539,0.05421594160377286,24417,24105,312,jzCDDiYGwqGZGUnUvesrCA,2024-11-07T18:42:21-05:00,2024-11-07T18:42:21-05:00,2025-01-28T12:07:23,2024-11-07T18-42-16-05-00_gpqa_JgVwYEU3UhMehf3hPfwHoC.json,False
openai/gpt-4-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5769230769230769,0.05630192728549229,24416,24104,312,ZBnZFrZz62EnfwvHhJhXv6,2024-11-07T18:42:15-05:00,2024-11-07T18:42:15-05:00,2025-01-28T12:07:23,2024-11-07T18-42-10-05-00_gpqa_BqnniPJKdskzGyZC2S8AJU.json,False
openai/gpt-4-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6666666666666666,0.05372153093502534,24417,24105,312,KYbmaGiZVBN66ExwSMCrzN,2024-11-07T18:42:34-05:00,2024-11-07T18:42:34-05:00,2025-01-28T12:07:23,2024-11-07T18-42-27-05-00_gpqa_mC9Dct9GDVhepB4QJ3XyRQ.json,False
openai/gpt-4-turbo,benchmarks/run,"{'cls': 'GPQABenchmark', 'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6794871794871795,0.05318240510717429,24417,24105,312,cPjFeJ55upbazfBP66M5jF,2024-09-10T11:29:18-04:00,2024-09-10T11:29:18-04:00,2025-01-28T12:07:23,2024-09-10T11-29-11-04-00_benchmarks-run_UxzCAF9qiohE388n6od9FU.json,False
openai/gpt-4-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.717948717948718,0.05128205128205127,24421,24109,312,ArFxBN3skf8ANvos6oabW9,2024-11-07T18:41:48-05:00,2024-11-07T18:41:48-05:00,2025-01-28T12:07:23,2024-11-07T18-41-42-05-00_gpqa_AqEqELCkrePeCG967L4qLA.json,False
openai/gpt-4-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7051282051282052,0.051964325857549835,24416,24104,312,c7JaZkFN9Aqg9ZtDLoh8Dn,2024-11-07T18:42:04-05:00,2024-11-07T18:42:04-05:00,2025-01-28T12:07:23,2024-11-07T18-41-54-05-00_gpqa_VLeDdJb9zFrcRXEKsVoaTL.json,False
openai/gpt-4-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6410256410256411,0.054666850347592416,24420,24108,312,28EcDvmwMULpTZdwx7XLYV,2024-11-07T18:41:41-05:00,2024-11-07T18:41:41-05:00,2025-01-28T12:07:23,2024-11-07T18-41-35-05-00_gpqa_iUoQRUCYxu3TDdT2yknKt7.json,False
openai/gpt-4-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6666666666666666,0.05372153093502534,24419,24107,312,bWbJBG8CbVojCzFHweDxf5,2024-11-07T18:42:26-05:00,2024-11-07T18:42:26-05:00,2025-01-28T12:07:23,2024-11-07T18-42-22-05-00_gpqa_ggT8ajqzj4dDnh5YASpwuA.json,False
openai/gpt-4-turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.717948717948718,0.051282051282051266,24423,24111,312,3tH2ribFychWhSMJFYM3Cx,2024-11-07T18:42:09-05:00,2024-11-07T18:42:09-05:00,2025-01-28T12:07:24,2024-11-07T18-42-04-05-00_gpqa_N5VhvTbsnKCZKDyfBMYoEN.json,False
