inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5769230769230769,0.05630192728549229,24695,24104,591,aB77L8wdDPc5BGKTvNypvf,2024-11-07T18:40:48-05:00,2024-11-07T18:40:48-05:00,2025-01-28T12:07:23,2024-11-07T18-40-41-05-00_gpqa_JFMjUx3t2FEZ2Yc7GaWGGw.json,False
openai/gpt-4,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5769230769230769,0.05630192728549229,24712,24102,610,7sNAuM4uowK2ihLnyATvLd,2024-11-07T18:41:35-05:00,2024-11-07T18:41:35-05:00,2025-01-28T12:07:23,2024-11-07T18-41-28-05-00_gpqa_5uUe6CVhUtbCN9yvHUJGgn.json,False
openai/gpt-4,benchmarks/run,"{'cls': 'GPQABenchmark', 'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6153846153846154,0.05544230539664977,24698,24104,594,gMmYgciz2X2c7MyD5ickju,2024-09-10T11:29:11-04:00,2024-09-10T11:29:11-04:00,2025-01-28T12:07:23,2024-09-10T11-27-51-04-00_benchmarks-run_2FZaXVSwzbfweGWvVVuy4h.json,False
openai/gpt-4,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6282051282051282,0.05507532564433873,24815,24109,706,8E7DPFrfYeKEuwznKrus8a,2024-11-07T18:41:03-05:00,2024-11-07T18:41:03-05:00,2025-01-28T12:07:23,2024-11-07T18-40-56-05-00_gpqa_iKZ8i6UrCmgbtcU8ULfYZY.json,False
openai/gpt-4,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5512820512820513,0.05667979681019965,24744,24103,641,nK4uRWBCBdzJqXTSFPix8F,2024-11-07T18:41:27-05:00,2024-11-07T18:41:27-05:00,2025-01-28T12:07:23,2024-11-07T18-41-20-05-00_gpqa_Gq9LQfwPigoSYVxtMAWyUi.json,False
openai/gpt-4,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5512820512820513,0.05667979681019965,24718,24108,610,k8KbEKQWEVG28MkjMzJnB7,2024-11-07T18:41:20-05:00,2024-11-07T18:41:20-05:00,2025-01-28T12:07:23,2024-11-07T18-41-12-05-00_gpqa_5DTDWVediQrx4xuns3xFYT.json,False
openai/gpt-4,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5256410256410257,0.056905314133886616,24803,24105,698,CWD7CjykZwRtwBhBA4zCwf,2024-11-07T18:41:12-05:00,2024-11-07T18:41:12-05:00,2025-01-28T12:07:23,2024-11-07T18-41-03-05-00_gpqa_aYBwkPK9CDHkfhD3mLYgte.json,False
openai/gpt-4,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5641025641025641,0.05651006820711177,24721,24104,617,55TaNdGtJMNhPkpEFcpzwu,2024-11-07T18:40:56-05:00,2024-11-07T18:40:56-05:00,2025-01-28T12:07:23,2024-11-07T18-40-49-05-00_gpqa_fmTX75wr3awaepKU92nBTe.json,False
openai/gpt-4,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6025641025641025,0.055768608782381685,24790,24103,687,ZN8ivwvEA5V6mKUqxWUTnN,2024-11-07T18:40:40-05:00,2024-11-07T18:40:40-05:00,2025-01-28T12:07:23,2024-11-07T18-40-34-05-00_gpqa_5sg2ns7G8PsT8WL8VPeYgF.json,False
openai/gpt-4,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5384615384615384,0.05681145737507664,24735,24105,630,coW6UkrR4SPPAEzmYAaBbu,2024-11-07T18:40:33-05:00,2024-11-07T18:40:33-05:00,2025-01-28T12:07:23,2024-11-07T18-40-25-05-00_gpqa_FNckWgs5Jscdcm4YGkoAsw.json,False
