inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6923076923076923,0.05259718913521751,23937,23703,234,D9UwfzcALm7VRqePLcXjhz,2024-09-26T21:40:05-04:00,2024-09-26T21:40:05-04:00,2025-01-28T12:07:21,2024-09-26T21-40-00-04-00_benchmarks-gpqa_Rxumk9z5bpu3vtjbM8QKQz.json,False
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6666666666666666,0.05372153093502534,23952,23703,249,FrUnyrhMJpy3UJsNVbsx2X,2024-09-26T21:39:35-04:00,2024-09-26T21:39:35-04:00,2025-01-28T12:07:21,2024-09-26T21-39-31-04-00_benchmarks-gpqa_eRtirAPrGY3BtTvAr6rV2K.json,False
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6794871794871795,0.05318240510717429,23945,23704,241,JLdadQVNkKh65AdCqgW68h,2024-09-26T21:40:10-04:00,2024-09-26T21:40:10-04:00,2025-01-28T12:07:21,2024-09-26T21-40-06-04-00_benchmarks-gpqa_TVAtqYkU2GjsqWVykGhxS5.json,False
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6410256410256411,0.05466685034759241,23938,23704,234,TUdYkEQCzEfXmEtCZWr3qg,2024-09-26T21:39:40-04:00,2024-09-26T21:39:40-04:00,2025-01-28T12:07:21,2024-09-26T21-39-36-04-00_benchmarks-gpqa_3DVSu9S5oWRwqJeYHx3kMT.json,False
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6666666666666666,0.053721530935025345,23935,23701,234,3izALw6Z5t2aEJukc5qp5w,2024-09-26T21:39:59-04:00,2024-09-26T21:39:59-04:00,2025-01-28T12:07:21,2024-09-26T21-39-55-04-00_benchmarks-gpqa_56arzttGy9T9JkuMzkG8z2.json,False
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.717948717948718,0.051282051282051266,23930,23696,234,KwCGLJnHE5d8BZGwsuzMoW,2024-09-26T21:39:45-04:00,2024-09-26T21:39:45-04:00,2025-01-28T12:07:21,2024-09-26T21-39-41-04-00_benchmarks-gpqa_oKRhUzZ3RZhBjiCrhvpUdw.json,False
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6666666666666666,0.05372153093502534,23935,23701,234,enJUnCrL4jGwdvymUgW9Uc,2024-09-26T21:39:55-04:00,2024-09-26T21:39:55-04:00,2025-01-28T12:07:21,2024-09-26T21-39-50-04-00_benchmarks-gpqa_7xJqtxCYjG7m6rrV8pkUkg.json,False
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.7435897435897436,0.0497609919747403,23937,23703,234,YtDKeU3Px6cBb4QcH9BvdX,2024-09-26T21:39:49-04:00,2024-09-26T21:39:49-04:00,2025-01-28T12:07:21,2024-09-26T21-39-45-04-00_benchmarks-gpqa_2VMbYd3XdxrTjw79djKUhX.json,False
openai/gpt-4o,benchmarks/run,"{'cls': 'GPQABenchmark', 'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.717948717948718,0.051282051282051266,23938,23704,234,LjYFZszEoebyECDVVE6tTM,2024-09-10T11:29:23-04:00,2024-09-10T11:29:23-04:00,2025-01-28T12:07:21,2024-09-10T11-29-19-04-00_benchmarks-run_KFzxonGh5wXkFBKkCNDNb8.json,False
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.7307692307692307,0.05054836466713621,23939,23705,234,3jvfSfE3Lae5Hgd7PA5ycE,2024-09-26T21:40:15-04:00,2024-09-26T21:40:15-04:00,2025-01-28T12:07:21,2024-09-26T21-40-11-04-00_benchmarks-gpqa_cT76SSDBk2Uo2wFjjoaFvA.json,False
