inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
mistral/mistral-large-2407,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6025641025641025,0.055768608782381685,27925,27535,390,2e5huCWfMwL4wRQZuwT7MW,2024-11-07T19:31:01-05:00,2024-11-07T19:31:01-05:00,2025-01-28T12:07:22,2024-11-07T19-29-34-05-00_gpqa_QXPFVPQUtGagAKwQKpQrJC.json,False
mistral/mistral-large-2407,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6025641025641025,0.055768608782381685,27925,27535,390,8gkSN8eHpDp2BFkngyHPG8,2024-11-07T19:34:11-05:00,2024-11-07T19:34:11-05:00,2025-01-28T12:07:22,2024-11-07T19-32-36-05-00_gpqa_aAZtb7QrvturGz3V8T2Noy.json,False
mistral/mistral-large-2407,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5512820512820513,0.05667979681019965,27931,27541,390,H2aDRdz57KCw6TL9vzSnkW,2024-11-07T19:28:16-05:00,2024-11-07T19:28:16-05:00,2025-01-28T12:07:22,2024-11-07T19-26-49-05-00_gpqa_ThsAPWcp8ruRBiLhWHQH6G.json,False
mistral/mistral-large-2407,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5769230769230769,0.05630192728549229,27925,27535,390,4F4zJRhCsE42hHD8FrJShH,2024-11-07T19:26:48-05:00,2024-11-07T19:26:48-05:00,2025-01-28T12:07:22,2024-11-07T19-25-56-05-00_gpqa_oXqvPPfjibtZjRMtUXih4V.json,False
mistral/mistral-large-2407,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5641025641025641,0.05651006820711177,27934,27544,390,XF4ppdQ35bpqXDtmS3s4gN,2024-11-07T19:37:03-05:00,2024-11-07T19:37:03-05:00,2025-01-28T12:07:22,2024-11-07T19-35-46-05-00_gpqa_nif3cV9SbzJorcjjDqvpzP.json,False
mistral/mistral-large-2407,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5641025641025641,0.05651006820711177,27927,27537,390,QYbVyQsGPkfbhbaBigNGc6,2024-11-07T19:25:55-05:00,2024-11-07T19:25:55-05:00,2025-01-28T12:07:23,2024-11-07T19-24-22-05-00_gpqa_KjxBZGZ6VbqmTHQjqK3XaL.json,False
mistral/mistral-large-2407,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5128205128205128,0.056961553957331726,27927,27537,390,8QXcfDqa7DXnqt4CLpZepg,2024-11-07T19:32:35-05:00,2024-11-07T19:32:35-05:00,2025-01-28T12:07:23,2024-11-07T19-31-02-05-00_gpqa_PLPbJaSuorezB88QrywW3v.json,False
mistral/mistral-large-2407,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5897435897435898,0.05605494615384831,27929,27539,390,gTjRKQjfDRd5kgUFQA8EuN,2024-11-07T19:29:33-05:00,2024-11-07T19:29:33-05:00,2025-01-28T12:07:23,2024-11-07T19-28-17-05-00_gpqa_cihgG7uiqtHHghtH4dueSW.json,False
mistral/mistral-large-2407,benchmarks/run,"{'cls': 'GPQABenchmark', 'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.5897435897435898,0.05605494615384831,28027,27637,390,7yidxEhEBEmdNZTuStZzot,2024-09-10T12:22:12-04:00,2024-09-10T12:22:12-04:00,2025-01-28T12:07:23,2024-09-10T12-04-43-04-00_benchmarks-run_8GSXHRLAc2Eej9YoBg9Xhr.json,False
mistral/mistral-large-2407,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6153846153846154,0.05544230539664977,27926,27536,390,g5nhMYhf8pZFM9r6M9nmj8,2024-11-07T19:35:45-05:00,2024-11-07T19:35:45-05:00,2025-01-28T12:07:23,2024-11-07T19-34-11-05-00_gpqa_iLF8ZiDg49xZexmHTuyE3r.json,False
