inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3333333333333333,0.08333333333333333,215347,215079,268,WTUdNFeznmfASZRqbXoUWf,2024-11-07T19:56:38-05:00,2024-11-07T19:56:38-05:00,2025-01-28T12:06:43,2024-11-07T19-55-17-05-00_lab-bench_kvV9JwnAFvj9nTvYrR6Shy.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.42424242424242425,0.08736789844447572,215345,215079,266,5CvtCjVU9HwDT7MnAbHRLf,2024-11-07T20:02:02-05:00,2024-11-07T20:02:02-05:00,2025-01-28T12:06:43,2024-11-07T20-00-43-05-00_lab-bench_GXf6fmtYqhTJnRPTT5K8NZ.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3939393939393939,0.08637692614387409,215347,215079,268,atCrdZ2hpagR2bjBhWaSUb,2024-11-07T19:55:16-05:00,2024-11-07T19:55:16-05:00,2025-01-28T12:06:43,2024-11-07T19-53-56-05-00_lab-bench_7UiLGqsUJSt3DakdWHRmCS.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.36363636363636365,0.08503766788122595,215343,215079,264,THoHE5cR8rLRrXuyfpgsrc,2024-11-07T19:57:57-05:00,2024-11-07T19:57:57-05:00,2025-01-28T12:06:43,2024-11-07T19-56-39-05-00_lab-bench_NPnmpC2TFhCzsAGt7pEuLJ.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3333333333333333,0.08333333333333333,215352,215079,273,AwHqZdJLvB7RLQo5giHEQ3,2024-11-07T20:00:42-05:00,2024-11-07T20:00:42-05:00,2025-01-28T12:06:43,2024-11-07T19-59-21-05-00_lab-bench_ZWA9bJ5HuqXQEJs4KCrYRe.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.45454545454545453,0.08802234877744129,215349,215079,270,7oAMEjmv2crf5rs26Jsexm,2024-11-07T20:03:19-05:00,2024-11-07T20:03:19-05:00,2025-01-28T12:06:43,2024-11-07T20-02-03-05-00_lab-bench_avA3qMK6ipgW475PKaPWVD.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3939393939393939,0.08637692614387409,215348,215079,269,H79RHD2233YUBgJgageAZX,2024-11-07T19:53:55-05:00,2024-11-07T19:53:55-05:00,2025-01-28T12:06:43,2024-11-07T19-52-33-05-00_lab-bench_2VrrV2sdRbkaKFairYHw3X.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.42424242424242425,0.08736789844447572,215342,215079,263,UN4mzML83vGFdjd7sT7Qfm,2024-11-07T19:59:20-05:00,2024-11-07T19:59:20-05:00,2025-01-28T12:06:43,2024-11-07T19-57-58-05-00_lab-bench_cGXdv6Kd9n9NqVWwJ54ZyZ.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.48484848484848486,0.08834775598250455,215347,215079,268,5kjEPZyKiC5ktzAmZGWKsf,2024-11-07T20:04:42-05:00,2024-11-07T20:04:42-05:00,2025-01-28T12:06:43,2024-11-07T20-03-19-05-00_lab-bench_eCBgzWRCVpHXZdHZxVKHgD.json,False
anthropic/claude-3-opus-20240229,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.2727272727272727,0.0787295821622217,215279,215079,200,C5W7GZuL4iVR4kWS6QkKDD,2024-09-20T12:29:34-04:00,2024-09-20T12:29:34-04:00,2025-01-28T12:06:43,2024-09-20T12-28-38-04-00_benchmarks-lab-bench_3PtgwsVyWo4VkW86c2FnQc.json,False
