inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
google/gemini-1.0-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.15151515151515152,0.06338333534349057,161465,161264,201,DrbdMWUypiSCnCxrFkPM9D,2024-11-07T19:29:29-05:00,2024-11-07T19:29:29-05:00,2025-01-28T12:06:42,2024-11-07T19-29-01-05-00_lab-bench_35CEwjHa2RWYvVi6CNEo8a.json,False
google/gemini-1.0-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.09090909090909091,0.050819726761358854,163439,161264,2175,Rwz5gaLcECg7fQkNr6jcZA,2024-11-07T19:28:01-05:00,2024-11-07T19:28:01-05:00,2025-01-28T12:06:42,2024-11-07T19-26-15-05-00_lab-bench_KovZCjm8imnDLKXaTpekPm.json,False
google/gemini-1.0-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.12121212121212122,0.057695250801999304,163506,161264,2242,QNCEJ8wVskM6YAHSxRiyRL,2024-11-07T19:29:00-05:00,2024-11-07T19:29:00-05:00,2025-01-28T12:06:42,2024-11-07T19-28-02-05-00_lab-bench_KRACtLCnFsUwP3RCXb6dTd.json,False
google/gemini-1.0-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.18181818181818182,0.06818181818181818,163450,161264,2186,U9ymabqqcwynByq4qxcuZg,2024-11-07T19:38:00-05:00,2024-11-07T19:38:00-05:00,2025-01-28T12:06:42,2024-11-07T19-35-23-05-00_lab-bench_hhJzGfoyW3CwbhXAYW382z.json,False
google/gemini-1.0-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.21212121212121213,0.07226812131946558,163497,161264,2233,mGmbyWojh9JPmFLXMmoynz,2024-11-07T19:35:13-05:00,2024-11-07T19:35:13-05:00,2025-01-28T12:06:42,2024-11-07T19-33-20-05-00_lab-bench_UzkrPocdE7HwnouTfJjkts.json,False
google/gemini-1.0-pro,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.24242424242424243,0.07575757575757575,161391,161264,127,5SyaUYuRYZWiR4qZfYo7mi,2024-09-20T12:26:05-04:00,2024-09-20T12:26:05-04:00,2025-01-28T12:06:42,2024-09-20T12-24-37-04-00_benchmarks-lab-bench_K8u5pzDoMJ6iZNTgyYyeDb.json,False
google/gemini-1.0-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.12121212121212122,0.057695250801999304,163520,161264,2256,FRkjcGVprqxDDZrwshjKxK,2024-11-07T19:38:54-05:00,2024-11-07T19:38:54-05:00,2025-01-28T12:06:42,2024-11-07T19-38-00-05-00_lab-bench_ihtnCHp7mhG3YLTxKxb5o3.json,False
google/gemini-1.0-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.09090909090909091,0.050819726761358854,163448,161264,2184,aFqysyjnUE2LHMYmsbUGva,2024-11-07T19:30:53-05:00,2024-11-07T19:30:53-05:00,2025-01-28T12:06:42,2024-11-07T19-29-30-05-00_lab-bench_U4UEJE7Sh5nf4HNAc7xBuf.json,False
google/gemini-1.0-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.15151515151515152,0.06338333534349057,161424,161264,160,EsQNdqFETmzbLKd25VyRxe,2024-11-07T19:33:19-05:00,2024-11-07T19:33:19-05:00,2025-01-28T12:06:42,2024-11-07T19-30-53-05-00_lab-bench_EEPxBwUFwkuJsnoJhEDb7Q.json,False
google/gemini-1.0-pro,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.18181818181818182,0.06818181818181818,161441,161264,177,iPpzPCkBYKjHpFMorf86ep,2024-11-07T19:35:23-05:00,2024-11-07T19:35:23-05:00,2025-01-28T12:06:42,2024-11-07T19-35-14-05-00_lab-bench_i48r9XNJGNRepygzLXftEb.json,False
