inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.45454545454545453,0.08802234877744129,202328,197703,4625,PeYHWg24vcWuNmN4qu6XcB,2024-10-03T09:21:40-04:00,2024-10-03T09:21:40-04:00,2025-01-28T12:06:43,2024-10-03T09-20-33-04-00_benchmarks-lab-bench_TE9SaMKB9ubUgUmaHo4A23.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.42424242424242425,0.08736789844447572,200795,197703,3092,goTKKcAk65BcFW6HPe584h,2024-10-03T09:24:31-04:00,2024-10-03T09:24:31-04:00,2025-01-28T12:06:43,2024-10-03T09-23-58-04-00_benchmarks-lab-bench_R8szyfZRfVfAfNe3mEWacM.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.5151515151515151,0.08834775598250455,200183,197704,2479,jhF2BY7YnjG6sSTGkJmbFi,2024-10-07T13:46:54-04:00,2024-10-07T13:46:54-04:00,2025-01-28T12:06:43,2024-10-07T13-46-20-04-00_benchmarks-lab-bench_6rGGnZqez8b8ZwG75aZBgm.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.3333333333333333,0.08333333333333333,200410,197703,2707,Lst4MVSBWABhjKGuetWJar,2024-10-03T09:22:54-04:00,2024-10-03T09:22:54-04:00,2025-01-28T12:06:43,2024-10-03T09-21-41-04-00_benchmarks-lab-bench_nreqDR6BcSYLRJa6qcNw8N.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.3333333333333333,0.08333333333333333,204123,197704,6419,deWUUoKGFeAGx5GK4rGNPd,2024-10-03T09:20:06-04:00,2024-10-03T09:20:06-04:00,2025-01-28T12:06:43,2024-10-03T09-19-06-04-00_benchmarks-lab-bench_52wmAV7x5AQSHpKMWiqVMq.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.42424242424242425,0.08736789844447572,202725,197703,5022,2q8y22NXwVbZ4uu4S7NBk5,2024-10-03T09:23:27-04:00,2024-10-03T09:23:27-04:00,2025-01-28T12:06:43,2024-10-03T09-22-58-04-00_benchmarks-lab-bench_MtSpVZGd7NcduGLjshVTRq.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.45454545454545453,0.08802234877744129,200765,197704,3061,oUpUn63f6aMYth7NAGj6mT,2024-10-03T09:24:53-04:00,2024-10-03T09:24:53-04:00,2025-01-28T12:06:43,2024-10-03T09-24-33-04-00_benchmarks-lab-bench_f2AzN9kwHr8iNurgr7zduD.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.42424242424242425,0.08736789844447572,202645,197702,4943,HyCZdtqwiJywtsNsHHcNQT,2024-10-03T09:19:03-04:00,2024-10-03T09:19:03-04:00,2025-01-28T12:06:43,2024-10-03T09-18-27-04-00_benchmarks-lab-bench_5esKkNJkTocuVa8RzTyqqG.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.42424242424242425,0.08736789844447572,200006,197703,2303,5q9U6KBPcPYgkSRXMJTtPY,2024-10-03T09:23:54-04:00,2024-10-03T09:23:54-04:00,2025-01-28T12:06:43,2024-10-03T09-23-28-04-00_benchmarks-lab-bench_WYJwq2zYjJErgMns25dRZi.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.36363636363636365,0.08503766788122595,200452,197703,2749,dWZkik7H2QKFkBy44ZVBCL,2024-10-03T09:20:32-04:00,2024-10-03T09:20:32-04:00,2025-01-28T12:06:43,2024-10-03T09-20-07-04-00_benchmarks-lab-bench_4dM9CEBgYtutysdX7UANAE.json,False
