inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.45454545454545453,0.08802234877744129,314397,197420,116977,YZtedpKEhRQPjjsRkD9Jjn,2025-01-31T20:14:58-05:00,2025-01-31T20:14:58-05:00,2025-02-09T16:07:55,2025-01-31T20-09-53-05-00_lab-bench_gUz276mSebKBWWqyszxvt4.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.2727272727272727,0.0787295821622217,337448,197419,140029,mjAMjjxBq5u8V86k2YrTbz,2025-01-31T19:27:58-05:00,2025-01-31T19:27:58-05:00,2025-02-09T16:07:55,2025-01-31T19-25-34-05-00_lab-bench_QEyYDt8sUrbULDumXGeN3M.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3333333333333333,0.08333333333333333,323362,197420,125942,FioN7idbT6Sw7noSeJQanN,2025-01-31T19:21:51-05:00,2025-01-31T19:21:51-05:00,2025-02-09T16:07:55,2025-01-31T19-19-21-05-00_lab-bench_3NRqUUbGxtJHGRXzU7vGJM.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.30303030303030304,0.08124094920275461,320430,197419,123011,HCVdoRdKvEEtCDQiusZzK9,2025-01-31T19:49:29-05:00,2025-01-31T19:49:29-05:00,2025-02-09T16:07:55,2025-01-31T19-37-31-05-00_lab-bench_khb6DhY2B2rP6Y9cdD2sZj.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.48484848484848486,0.08834775598250455,348717,197420,151297,P2mjSBm37PXjhgio3UaU97,2025-01-31T19:35:30-05:00,2025-01-31T19:35:30-05:00,2025-02-09T16:07:55,2025-01-31T19-27-59-05-00_lab-bench_fE3SdGQ8fnRo6ZHs7RB5U8.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.48484848484848486,0.08834775598250455,308964,197418,111546,Y9fFa9HVp2JqHtvcTz2MFa,2025-01-31T19:37:30-05:00,2025-01-31T19:37:30-05:00,2025-02-09T16:07:55,2025-01-31T19-35-31-05-00_lab-bench_6i9iDAuEkjW9yiUMk2wfbc.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.5151515151515151,0.08834775598250455,299370,197418,101952,7NSwicd94RM56Z9weKxMuw,2025-01-31T19:19:19-05:00,2025-01-31T19:19:19-05:00,2025-02-09T16:07:55,2025-01-31T18-07-15-05-00_lab-bench_Y8xQEsHiw6dsyxitAnTQYQ.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.45454545454545453,0.08802234877744129,315562,197420,118142,8KBLLjZTSVSKF97zAJz7Gs,2025-01-31T19:25:33-05:00,2025-01-31T19:25:33-05:00,2025-02-09T16:07:55,2025-01-31T19-23-26-05-00_lab-bench_UKg9m9QThJJSSCpDRqQXWg.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.36363636363636365,0.08503766788122595,325411,197419,127992,cub76ShBK5FPmptJJ9A7A9,2025-01-31T19:23:25-05:00,2025-01-31T19:23:25-05:00,2025-02-09T16:07:55,2025-01-31T19-21-52-05-00_lab-bench_F7apovn2qZmrMPxvLx5uzv.json,False
openai/o3-mini-2025-01-31,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.5454545454545454,0.08802234877744129,311915,197420,114495,C2WnSZTeH5ZTLj6mqJeWgW,2025-01-31T20:09:51-05:00,2025-01-31T20:09:51-05:00,2025-02-09T16:07:55,2025-01-31T19-49-30-05-00_lab-bench_8GSBoxZrZqnMfTQcwA9BiS.json,False
