inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-2.0,lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.3417085427135678,0.03370578394675522,24773,22938,1835,PXhWHreEjn7eJTGEF5KMx8,2024-10-31T17:13:57-04:00,2024-10-31T17:13:57-04:00,2025-01-28T12:06:45,2024-10-31T17-12-38-04-00_lab-bench_eUjhJiqbD9BrA5kug8eqHo.json,False
anthropic/claude-2.0,lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.38190954773869346,0.034528179465409925,24672,22938,1734,Jga7uMuJwxUWbEzkze5dKm,2024-10-31T17:28:21-04:00,2024-10-31T17:28:21-04:00,2025-01-28T12:06:45,2024-10-31T17-27-25-04-00_lab-bench_Rc5CAHUj2hFWB98kgavRfc.json,False
anthropic/claude-2.0,lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.32663316582914576,0.033329086154389904,24722,22938,1784,cQC8ki5whVbVKRdogaiCfv,2024-10-31T17:15:52-04:00,2024-10-31T17:15:52-04:00,2025-01-28T12:06:45,2024-10-31T17-14-56-04-00_lab-bench_mHs6AvHhLwHuRD5VjHHafe.json,False
anthropic/claude-2.0,lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.35678391959798994,0.034044619734995264,24637,22938,1699,YessLNxMRLGWfMXNHJELib,2024-10-31T17:31:22-04:00,2024-10-31T17:31:22-04:00,2025-01-28T12:06:46,2024-10-31T17-30-21-04-00_lab-bench_TVWGYU7PY9e2kiuUDKdfdA.json,False
anthropic/claude-2.0,lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.39195979899497485,0.03469399527170516,25016,22938,2078,kWY68oQeTS6WhtVx35FwHX,2024-10-31T17:29:21-04:00,2024-10-31T17:29:21-04:00,2025-01-28T12:06:46,2024-10-31T17-28-22-04-00_lab-bench_nyWmHLxmUC3WSEmYqMmBQZ.json,False
anthropic/claude-2.0,lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.39195979899497485,0.03469399527170516,24688,22938,1750,TugYiWeTbX8mPkCSPmSkxW,2024-10-31T17:14:55-04:00,2024-10-31T17:14:55-04:00,2025-01-28T12:06:46,2024-10-31T17-13-58-04-00_lab-bench_Sfvn3bBoZBzzP7orM3UTG3.json,False
anthropic/claude-2.0,lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.4371859296482412,0.03525193544123143,24626,22938,1688,D7ffB2PRRmZYU4CYRce9DL,2024-10-31T17:26:26-04:00,2024-10-31T17:26:26-04:00,2025-01-28T12:06:46,2024-10-31T17-15-53-04-00_lab-bench_Xj3GNBqh2nCGoLppF5QSfZ.json,False
anthropic/claude-2.0,lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.36180904522613067,0.03414934964098813,24883,22938,1945,oDb7MBoNuqe5G6dgFrWNvg,2024-10-31T17:12:36-04:00,2024-10-31T17:12:36-04:00,2025-01-28T12:06:46,2024-10-31T17-11-29-04-00_lab-bench_KQVRYTkpKmuBpytx7SBmBr.json,False
anthropic/claude-2.0,lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.3316582914572864,0.03345893526874067,24877,22938,1939,EvjDksNBwgvyjpS9FBSun5,2024-10-31T17:27:25-04:00,2024-10-31T17:27:25-04:00,2025-01-28T12:06:46,2024-10-31T17-26-28-04-00_lab-bench_bdBpFhLx5GrnmiiE9zEwyQ.json,False
anthropic/claude-2.0,lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.32160804020100503,0.03319488739074453,24697,22938,1759,BtM7nvo3gz6hRAYYsjWFDQ,2024-10-31T17:30:20-04:00,2024-10-31T17:30:20-04:00,2025-01-28T12:06:46,2024-10-31T17-29-22-04-00_lab-bench_Hn8XYVRzsbKiw5pbewJEzq.json,False
