inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.37185929648241206,0.03434671408143737,26815,24501,2314,aqe5RtTf2evcV8os9EvbkK,2024-11-07T21:11:06-05:00,2024-11-07T21:11:06-05:00,2025-01-28T12:06:49,2024-11-07T21-10-08-05-00_lab-bench_NpvraQLHVpfckSmFBR96vi.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3768844221105528,0.03443941793177597,26924,24501,2423,6KXTMjLMZank6GFJfqRtSs,2024-11-07T21:09:08-05:00,2024-11-07T21:09:08-05:00,2025-01-28T12:06:49,2024-11-07T21-08-07-05-00_lab-bench_aw4Le6ERhga9qjCvcYb6Pz.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.38190954773869346,0.034528179465409925,26868,24501,2367,EFA7STgRFZof8nu5w4CkqS,2024-11-07T21:08:06-05:00,2024-11-07T21:08:06-05:00,2025-01-28T12:06:49,2024-11-07T21-07-10-05-00_lab-bench_9F25SCSe4Xg9Rc5VkVrdv8.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4321608040201005,0.03520487250258459,26839,24501,2338,jhVRV72oMFH66j2mGnRF5e,2024-11-07T21:04:17-05:00,2024-11-07T21:04:17-05:00,2025-01-28T12:06:49,2024-11-07T21-03-15-05-00_lab-bench_Fe2T75eZyejwVKUMooSgSB.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.36180904522613067,0.03414934964098813,26830,24501,2329,4DwfaEAV6ipBMVqffUUTTL,2024-11-07T21:10:07-05:00,2024-11-07T21:10:07-05:00,2025-01-28T12:06:49,2024-11-07T21-09-09-05-00_lab-bench_fUfktmrXR9vKWsBtw7cQNx.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4120603015075377,0.034979547374003786,26832,24501,2331,n6VoBMmSXxn8oVSk3e5qXf,2024-11-07T21:03:13-05:00,2024-11-07T21:03:13-05:00,2025-01-28T12:06:49,2024-11-07T21-02-16-05-00_lab-bench_TcFmGBwvbjwqndHbaqT6x5.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3969849246231156,0.03477110537378155,26939,24501,2438,Mx9Zyduh7o6cJLGveMiKVj,2024-11-07T21:07:08-05:00,2024-11-07T21:07:08-05:00,2025-01-28T12:06:49,2024-11-07T21-06-13-05-00_lab-bench_g4c6ttJNnRhPveLtpWvQdJ.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.35678391959798994,0.034044619734995264,26866,24501,2365,PPpdyXUfpXHJnr5rTqDa5P,2024-11-07T21:05:15-05:00,2024-11-07T21:05:15-05:00,2025-01-28T12:06:49,2024-11-07T21-04-18-05-00_lab-bench_SJ37urVvhcTokaGZCVsHjP.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.41708542713567837,0.035041474244182316,26863,24501,2362,CDiAZqPrbftztvgXfEABNX,2024-11-07T21:15:55-05:00,2024-11-07T21:15:55-05:00,2025-01-28T12:06:49,2024-11-07T21-15-01-05-00_lab-bench_HrpzCU4NDRCEBqPesgjPmZ.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4371859296482412,0.03525193544123144,26813,24501,2312,eJ4BHzVetRWSuJNKhN9EJN,2024-11-07T21:06:12-05:00,2024-11-07T21:06:12-05:00,2025-01-28T12:06:49,2024-11-07T21-05-16-05-00_lab-bench_Tr9in6WwaAbtdLZfPswLgm.json,False
