inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3065326633165829,0.0327656500995723,22438,21534,904,96XnjogR4p4w2w9JwmgLVn,2024-11-07T21:02:05-05:00,2024-11-07T21:02:05-05:00,2025-01-28T12:06:50,2024-11-07T21-01-55-05-00_lab-bench_2PDzvbqf4XSUvZKjcsjJvh.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3015075376884422,0.03261349587454655,22432,21536,896,ZYG9TxwxQD4sNHeJRrntd8,2024-11-07T21:01:13-05:00,2024-11-07T21:01:13-05:00,2025-01-28T12:06:50,2024-11-07T21-01-02-05-00_lab-bench_BiPFwTHAc8sBzQGkX43QXy.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.27638190954773867,0.03178168502681788,22460,21534,926,JrdPFax3AHaBpjUDwjiQXW,2024-11-07T21:01:33-05:00,2024-11-07T21:01:33-05:00,2025-01-28T12:06:50,2024-11-07T21-01-23-05-00_lab-bench_mVL9t8x7eCGVt7XwBBxxDd.json,False
openai/gpt-3.5-turbo,benchmarks/run,"{'cls': 'LABBenchBenchmark', 'subset': 'LitQA2'}",zero_shot,199,0.2613065326633166,0.031223002774824933,22379,21533,846,HrNAffmhMScv72SMmUo78J,2024-09-11T21:16:19-04:00,2024-09-11T21:16:19-04:00,2025-01-28T12:06:50,2024-09-11T21-16-09-04-00_benchmarks-run_673U2SQWfxrJt4Jrs3YKVo.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.35175879396984927,0.03393580874720538,22485,21534,951,EHx3hcDoKb7w3qKZEJzi4Z,2024-11-07T21:01:53-05:00,2024-11-07T21:01:53-05:00,2025-01-28T12:06:50,2024-11-07T21-01-45-05-00_lab-bench_ePBYExbJr4anRGFwj6fTyk.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3417085427135678,0.03370578394675522,22527,21533,994,mLJ2aeUiA267sE7866dgdo,2024-11-07T21:01:44-05:00,2024-11-07T21:01:44-05:00,2025-01-28T12:06:50,2024-11-07T21-01-35-05-00_lab-bench_Fyx2RpjCkiN7U5FXqib48j.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3015075376884422,0.03261349587454655,22464,21535,929,Uu9qGogod9cVatwDnwydU6,2024-11-07T21:02:14-05:00,2024-11-07T21:02:14-05:00,2025-01-28T12:06:50,2024-11-07T21-02-06-05-00_lab-bench_TgNeLU637WaiMdyDd7KDLH.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.31155778894472363,0.032913226371242305,22482,21534,948,6YzHA7NtXDkhbB6NnJjgdc,2024-11-07T21:01:01-05:00,2024-11-07T21:01:01-05:00,2025-01-28T12:06:50,2024-11-07T21-00-52-05-00_lab-bench_jZoqrTRXnDgkYGhHrtjU7s.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.31155778894472363,0.032913226371242305,22480,21535,945,Cs4Nc84W8Yi49KNVBas9YG,2024-11-07T21:00:51-05:00,2024-11-07T21:00:51-05:00,2025-01-28T12:06:50,2024-11-07T21-00-43-05-00_lab-bench_gxH9QDZAjBd4A2LyhjJScx.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.39195979899497485,0.034693995271705164,22469,21534,935,ivLGm6BU9UBNBxfxHKPTkJ,2024-11-07T21:01:22-05:00,2024-11-07T21:01:22-05:00,2025-01-28T12:06:50,2024-11-07T21-01-14-05-00_lab-bench_5yHU3kggpotf66T6Eio4An.json,False
