inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,benchmarks/run,"{'cls': 'LABBenchBenchmark', 'subset': 'LitQA2'}",zero_shot,199,0.3768844221105528,0.03443941793177597,23318,22323,995,4MXdm7WCJeqzHCwh2Fsuuu,2024-09-16T14:49:48-04:00,2024-09-16T14:49:48-04:00,2025-01-28T12:06:46,2024-09-16T14-49-25-04-00_benchmarks-run_HXnf2hGkDoPddhfBdfUoXL.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.38190954773869346,0.034528179465409925,23317,22322,995,BuKSb3HwhzDK89jbqDk3xE,2024-11-07T22:06:29-05:00,2024-11-07T22:06:29-05:00,2025-01-28T12:06:46,2024-11-07T22-06-20-05-00_lab-bench_MoR9B3zJr59oXxZXBnYUVf.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3969849246231156,0.03477110537378155,23317,22322,995,iE5mvU7FpNNgzBVwpRMF2W,2024-11-07T22:05:21-05:00,2024-11-07T22:05:21-05:00,2025-01-28T12:06:46,2024-11-07T22-05-10-05-00_lab-bench_cXaSjNHjEFwXJ5jbyramZH.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.36683417085427134,0.034250035902652465,23319,22324,995,MLXKj6heRXjyHcX4ihvKGE,2024-11-07T22:05:32-05:00,2024-11-07T22:05:32-05:00,2025-01-28T12:06:46,2024-11-07T22-05-22-05-00_lab-bench_gdv2xaKmsWbVYAdP8rqXQq.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4271356783919598,0.03515411887563423,23318,22323,995,HTfFoQqZdwfZ3tDVtmaBWS,2024-11-07T22:06:53-05:00,2024-11-07T22:06:53-05:00,2025-01-28T12:06:46,2024-11-07T22-06-43-05-00_lab-bench_SZzwyALaY5X7i2YmvamgwD.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.35678391959798994,0.034044619734995264,23316,22321,995,GwTLVDnBUnrLoLrz7ox4aL,2024-11-07T22:06:08-05:00,2024-11-07T22:06:08-05:00,2025-01-28T12:06:46,2024-11-07T22-05-56-05-00_lab-bench_hQTtywTGoj5X76XuR8uiud.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.36180904522613067,0.03414934964098813,23316,22321,995,gdBwM7rtjxJJ6ekfEiWgW7,2024-11-07T22:05:55-05:00,2024-11-07T22:05:55-05:00,2025-01-28T12:06:46,2024-11-07T22-05-45-05-00_lab-bench_Eouec2L3fuLVJkbgxSVWMK.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4221105527638191,0.03509965855032934,23316,22321,995,6HXwAKvGhaA9guDefKNHMc,2024-11-07T22:06:42-05:00,2024-11-07T22:06:42-05:00,2025-01-28T12:06:46,2024-11-07T22-06-30-05-00_lab-bench_Er4DaMpQeVngez3nGN6yVL.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.36683417085427134,0.034250035902652465,23317,22322,995,NphVZQfGYeUNh9c5H8J7Aw,2024-11-07T22:05:44-05:00,2024-11-07T22:05:44-05:00,2025-01-28T12:06:46,2024-11-07T22-05-33-05-00_lab-bench_GkeEDZGXmm3iJWiDzWDbcP.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3869346733668342,0.03461302901134309,23318,22323,995,LQyx3G4XnuWuaGtCYuygRw,2024-11-07T22:06:19-05:00,2024-11-07T22:06:19-05:00,2025-01-28T12:06:46,2024-11-07T22-06-09-05-00_lab-bench_ERYtSFG7AxQ2vPZ9CMk3UQ.json,False
