inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.3869346733668342,0.03461302901134309,28394,27298,1096,G8cgtaHEugTGpdTG8C2bXY,2024-10-03T11:11:46-04:00,2024-10-03T11:11:46-04:00,2025-01-28T12:06:47,2024-10-03T11-11-26-04-00_benchmarks-lab-bench_idWkryKfzBmdWFgwSVnkub.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.39195979899497485,0.034693995271705164,28502,27296,1206,dqZjvrcUSGS5vCygseKXGT,2024-10-03T11:10:17-04:00,2024-10-03T11:10:17-04:00,2025-01-28T12:06:47,2024-10-03T11-09-35-04-00_benchmarks-lab-bench_f35Vq74ZoSMiYoXAZgmegc.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.40703517587939697,0.03491385802519048,28546,27299,1247,FmVrxjTXTpSkpYCMkcbhXp,2024-10-03T11:09:35-04:00,2024-10-03T11:09:35-04:00,2025-01-28T12:06:47,2024-10-03T11-09-13-04-00_benchmarks-lab-bench_WRj85AAmMjfqjTC9v4iGRn.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.34673366834170855,0.033822877290110485,28627,27296,1331,msuH97zAwXEhqd9pheiQun,2024-10-03T11:09:13-04:00,2024-10-03T11:09:13-04:00,2025-01-28T12:06:47,2024-10-03T11-08-52-04-00_benchmarks-lab-bench_Z32ZtrXaVZqbEXqmHkd89S.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.38190954773869346,0.034528179465409925,28415,27298,1117,HGF5GMB5UGctWVxQBETE88,2024-10-03T11:08:51-04:00,2024-10-03T11:08:51-04:00,2025-01-28T12:06:47,2024-10-03T11-08-12-04-00_benchmarks-lab-bench_iYVP9gxXyHoMFJ2Np6PXtJ.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.4020100502512563,0.03484438491844332,28612,27296,1316,8gdc3E3hSmGjeUkooN4DEm,2024-10-03T11:12:09-04:00,2024-10-03T11:12:09-04:00,2025-01-28T12:06:47,2024-10-03T11-11-47-04-00_benchmarks-lab-bench_dnVVxDLzbNRv233SpUZ86K.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.37185929648241206,0.03434671408143737,28680,27298,1382,HwihDTdUYHMmVuz92jP4tf,2024-10-03T11:11:25-04:00,2024-10-03T11:11:25-04:00,2025-01-28T12:06:47,2024-10-03T11-11-03-04-00_benchmarks-lab-bench_7zSVY7nYrKjokyxWbgjTZT.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.3869346733668342,0.03461302901134309,28510,27297,1213,4aDrCmPjL5XJd872VoPZu5,2024-10-03T11:11:02-04:00,2024-10-03T11:11:02-04:00,2025-01-28T12:06:47,2024-10-03T11-10-40-04-00_benchmarks-lab-bench_iQCvQe9B8xJKUUFWdSgpxp.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/run,"{'cls': 'LABBenchBenchmark', 'subset': 'LitQA2'}",zero_shot,199,0.38190954773869346,0.034528179465409925,28624,27296,1328,3ED5f3Usx7fscuqTSUR57D,2024-09-16T14:46:44-04:00,2024-09-16T14:46:44-04:00,2025-01-28T12:06:47,2024-09-16T14-46-24-04-00_benchmarks-run_DKbdUzXgT88cikRDmZXwsD.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.35678391959798994,0.034044619734995264,28543,27298,1245,GFVvUUTGVp3AygrFYjCEda,2024-10-03T11:10:39-04:00,2024-10-03T11:10:39-04:00,2025-01-28T12:06:47,2024-10-03T11-10-18-04-00_benchmarks-lab-bench_EKTB7QaCdPdSKQSyUztmZZ.json,False
