inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3165829145728643,0.033056286002970385,51593,25596,25997,NUi3TfFbCpzV4V4tf2uEpC,2025-01-21T15:54:52-05:00,2025-01-21T15:54:52-05:00,2025-01-28T12:06:46,2025-01-21T15-51-39-05-00_lab-bench_PtVLY7ZqvNtP8AnAzyZ7xz.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.31155778894472363,0.032913226371242305,52521,25596,26925,PHXa7gJQTfQhrT8ZkGUsLt,2025-01-21T16:02:17-05:00,2025-01-21T16:02:17-05:00,2025-01-28T12:06:46,2025-01-21T15-58-05-05-00_lab-bench_3nTeqCevjJv9Ca8WsHJeRQ.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3015075376884422,0.03261349587454655,52699,25596,27103,LXNbrVyxMwcP9S6aYPqcRg,2025-01-21T16:20:16-05:00,2025-01-21T16:20:16-05:00,2025-01-28T12:06:46,2025-01-21T16-16-52-05-00_lab-bench_ffoR7W3DpSsCyp5ogxvssP.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3316582914572864,0.03345893526874067,50653,25596,25057,Bf4ePMPHZDDUbPfo33MSLB,2025-01-21T15:48:48-05:00,2025-01-21T15:48:48-05:00,2025-01-28T12:06:46,2025-01-21T15-43-55-05-00_lab-bench_A95zKfQ8oABb9Nmy5Tw4kj.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.32663316582914576,0.033329086154389904,52240,25596,26644,VrHKvWevk8pZkpzqxkDa5m,2025-01-21T15:58:04-05:00,2025-01-21T15:58:04-05:00,2025-01-28T12:06:46,2025-01-21T15-54-53-05-00_lab-bench_L4SqipzUgdfRinJnvXdM2y.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3015075376884422,0.03261349587454655,54640,25596,29044,kPbGqTWhCprHYdfKVin2hk,2025-01-21T15:51:38-05:00,2025-01-21T15:51:38-05:00,2025-01-28T12:06:46,2025-01-21T15-48-49-05-00_lab-bench_dGheoX4EXdLUpcPqCKtnQq.json,False
mistral/open-mixtral-8x7b,benchmarks/run,"{'cls': 'LABBenchBenchmark', 'subset': 'LitQA2'}",zero_shot,199,0.27638190954773867,0.031781685026817885,53359,25795,27564,DJDfMviFncEhXiAVzzAVVr,2024-09-11T22:40:36-04:00,2024-09-11T22:40:36-04:00,2025-01-28T12:06:46,2024-09-11T22-21-00-04-00_benchmarks-run_ZqNcKqucPz7mcqKMWG4mG6.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.2864321608040201,0.03212890530137068,51272,25596,25676,2fCf3QtZSc7ts2fLAGQDLC,2025-01-21T16:16:51-05:00,2025-01-21T16:16:51-05:00,2025-01-28T12:06:46,2025-01-21T16-11-59-05-00_lab-bench_LGSjiVjmWowQmDRiFRYnTq.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3768844221105528,0.03443941793177597,50810,25596,25214,5xwpxQj7PRwJhjzdUNmE6q,2025-01-21T16:07:09-05:00,2025-01-21T16:07:09-05:00,2025-01-28T12:06:46,2025-01-21T16-02-18-05-00_lab-bench_SbLPsDU4qnnFVoZKaiXWdh.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.2864321608040201,0.03212890530137067,50955,25596,25359,AM3EHyhRaRsoAmdtZgiSbD,2025-01-21T16:11:58-05:00,2025-01-21T16:11:58-05:00,2025-01-28T12:06:46,2025-01-21T16-07-10-05-00_lab-bench_dYUt8eFdfp2GCwyQTrzFcU.json,False
