inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-2.0,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.46296296296296297,0.04820403072760629,197837,195202,2635,MMC5Nuh9kBwxBDfySsKhUY,2024-10-31T15:36:51-04:00,2024-10-31T15:36:51-04:00,2025-01-28T12:07:02,2024-10-31T15-34-49-04-00_lab-bench_fzRN56LrJ6Gyk4fL9ffmXJ.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.4351851851851852,0.04792898170907059,198235,195202,3033,5Kj79ekJ44fVT9Q9swNhbv,2024-10-31T15:48:08-04:00,2024-10-31T15:48:08-04:00,2025-01-28T12:07:02,2024-10-31T15-45-58-04-00_lab-bench_h4uD9Y4Eaty5nTQktxqdUj.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.42592592592592593,0.04780343626936791,198246,195208,3038,NYxykZg7CBxLLAPDuDSZs8,2024-10-31T15:41:25-04:00,2024-10-31T15:41:25-04:00,2025-01-28T12:07:02,2024-10-31T15-39-13-04-00_lab-bench_HJ357pKXLUv5qYCk7LLuE9.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5,0.04833682445228318,198201,195202,2999,nXPDt9fCBc2fwrhJgenFEp,2024-10-31T15:32:36-04:00,2024-10-31T15:32:36-04:00,2025-01-28T12:07:02,2024-10-31T15-30-30-04-00_lab-bench_ddyQqnNWQEJPsLjyUDZoDv.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.48148148148148145,0.04830366024635331,198874,195206,3668,UBan9FyHE9w87SuPcJ2Pvz,2024-10-31T15:43:47-04:00,2024-10-31T15:43:47-04:00,2025-01-28T12:07:02,2024-10-31T15-41-26-04-00_lab-bench_FSfqiopNowyGRDzgMjbhpr.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.4444444444444444,0.04803752235190188,199081,195200,3881,iNXjEpwtjtuhZfY2nahJmm,2024-10-31T15:39:12-04:00,2024-10-31T15:39:12-04:00,2025-01-28T12:07:02,2024-10-31T15-36-52-04-00_lab-bench_87b9tvYs3fR4czCKzKMwfb.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.37037037037037035,0.046684080330249296,198057,195202,2855,FtPbcgpVvghEpRkdgZTycW,2024-10-31T15:52:17-04:00,2024-10-31T15:52:17-04:00,2025-01-28T12:07:02,2024-10-31T15-50-10-04-00_lab-bench_cr6Z8drGBVv8QnsSsotALN.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.4351851851851852,0.04792898170907059,198163,195198,2965,aP9qA7pwocXKqjFBFgfr7U,2024-10-31T15:45:57-04:00,2024-10-31T15:45:57-04:00,2025-01-28T12:07:02,2024-10-31T15-43-49-04-00_lab-bench_Z345Ykmom2yoG2gfC6iM3p.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.4351851851851852,0.04792898170907059,198179,195201,2978,D5QrpJWiGfkVukgypicZ2p,2024-10-31T15:34:48-04:00,2024-10-31T15:34:48-04:00,2025-01-28T12:07:02,2024-10-31T15-32-38-04-00_lab-bench_b38tCDMRz2nxfoXMNdyab3.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5185185185185185,0.04830366024635331,197641,195202,2439,U6FnH3VX88xR7Hd4KExaFi,2024-10-31T15:50:09-04:00,2024-10-31T15:50:09-04:00,2025-01-28T12:07:02,2024-10-31T15-48-09-04-00_lab-bench_3bSgw6ohfPZNpbU5CVpN8Z.json,False
