inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.3611111111111111,0.0464345460890627,199082,198625,457,YgA6X6LMcghSUaiYsyYLEC,2024-11-07T22:56:24-05:00,2024-11-07T22:56:24-05:00,2025-01-28T12:07:06,2024-11-07T22-56-19-05-00_lab-bench_oBNJsU2F9jkU3fAiRm8N5X.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.3055555555555556,0.044531975073749855,199082,198628,454,j8sBNsqoe6nWegN7PUFbuz,2024-11-07T22:55:58-05:00,2024-11-07T22:55:58-05:00,2025-01-28T12:07:06,2024-11-07T22-55-52-05-00_lab-bench_hVoKnwgyvB2FR4MwnnScq7.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.24074074074074073,0.041331194402438355,199098,198623,475,2rw9ZQuFMcfmekva7VMjc8,2024-11-07T22:56:44-05:00,2024-11-07T22:56:44-05:00,2025-01-28T12:07:06,2024-11-07T22-56-38-05-00_lab-bench_5iFTfGnPHj3eRHEJRSWuBJ.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.37962962962962965,0.04691521224077745,199084,198629,455,UMqd4HjNghR9RZTvTsKTP4,2024-11-07T22:56:52-05:00,2024-11-07T22:56:52-05:00,2025-01-28T12:07:06,2024-11-07T22-56-46-05-00_lab-bench_9GSbiXy3WA85iBfzhCQNRD.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.25925925925925924,0.04236511258094633,199069,198625,444,hD3LpTVUhRYxgtr6Do4VQn,2024-11-07T22:56:36-05:00,2024-11-07T22:56:36-05:00,2025-01-28T12:07:06,2024-11-07T22-56-31-05-00_lab-bench_QsFWrS3shKnKhghyiXfYsD.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.26851851851851855,0.04284467968052193,199062,198626,436,cdnRj8jS4sPhZ4zE3T29xh,2024-11-07T22:56:05-05:00,2024-11-07T22:56:05-05:00,2025-01-28T12:07:06,2024-11-07T22-55-59-05-00_lab-bench_N6TpkoUgX5UTuofAmfuRN5.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.35185185185185186,0.04616631111801715,199089,198628,461,d492gfucA8qLcwokerU5gV,2024-11-07T22:56:30-05:00,2024-11-07T22:56:30-05:00,2025-01-28T12:07:06,2024-11-07T22-56-25-05-00_lab-bench_hrnXQdiTQauTxmhvzuPexr.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.3333333333333333,0.04557239513497755,199065,198626,439,Du4vmEYwpEqqQZ5Nxy9rYM,2024-11-07T22:56:18-05:00,2024-11-07T22:56:18-05:00,2025-01-28T12:07:06,2024-11-07T22-56-13-05-00_lab-bench_X3fibiu79bMqs6UpXXzhxG.json,False
openai/gpt-3.5-turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.3425925925925926,0.04587904741301815,199074,198633,441,o5uk6zMxd3pkkgYGbxrD4H,2024-09-20T13:18:24-04:00,2024-09-20T13:18:24-04:00,2025-01-28T12:07:06,2024-09-20T13-18-18-04-00_benchmarks-lab-bench_fyzvp79B4xCgkEcVMh7MhT.json,False
openai/gpt-3.5-turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.26851851851851855,0.04284467968052193,199068,198630,438,iLrXq2JgPZpuAzns7K5ky3,2024-11-07T22:56:11-05:00,2024-11-07T22:56:11-05:00,2025-01-28T12:07:07,2024-11-07T22-56-06-05-00_lab-bench_FVNZY8oykyLHHgc6qXCBCd.json,False
