inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5277777777777778,0.04826217294139892,199548,198966,582,93sWh5yRPQgZ4CHWpcwVZ3,2024-11-07T23:56:14-05:00,2024-11-07T23:56:14-05:00,2025-01-28T12:07:02,2024-11-07T23-56-07-05-00_lab-bench_R6htLQRa5cQ6ExFfdxFKri.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5277777777777778,0.04826217294139892,199521,198958,563,abUKddKSzbgKWcj6cyCXQP,2024-11-07T23:55:23-05:00,2024-11-07T23:55:23-05:00,2025-01-28T12:07:02,2024-11-07T23-55-15-05-00_lab-bench_c6eE2qpBBvzuJQLDT4oeWT.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5092592592592593,0.048328535534370526,199542,198962,580,mKGHdRScu74G2v2feTX3ve,2024-11-07T23:55:57-05:00,2024-11-07T23:55:57-05:00,2025-01-28T12:07:02,2024-11-07T23-55-50-05-00_lab-bench_anFyjMXKncRKMKLQ9GZ28u.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.49074074074074076,0.048328535534370526,199529,198963,566,JUKywV95MrALKKFgJfa7YX,2024-11-07T23:55:49-05:00,2024-11-07T23:55:49-05:00,2025-01-28T12:07:02,2024-11-07T23-55-41-05-00_lab-bench_HbDpP2bwXK3uMohusDxqMN.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.4722222222222222,0.04826217294139892,199584,198962,622,PxRNv97KtnZ96ZP3YSZ2XU,2024-09-20T13:33:51-04:00,2024-09-20T13:33:51-04:00,2025-01-28T12:07:02,2024-09-20T13-33-39-04-00_benchmarks-lab-bench_i7yCVMnHfNJRLb2VvGEYsN.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.48148148148148145,0.04830366024635331,199526,198966,560,Mau2i9qTucn8V2FwZiiY8m,2024-11-07T23:55:40-05:00,2024-11-07T23:55:40-05:00,2025-01-28T12:07:02,2024-11-07T23-55-32-05-00_lab-bench_DVjnwsqP59PJ3ByRVfum8v.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.46296296296296297,0.04820403072760628,199525,198961,564,bL3TWECUKSob64dfPeDcSw,2024-11-07T23:55:31-05:00,2024-11-07T23:55:31-05:00,2025-01-28T12:07:03,2024-11-07T23-55-24-05-00_lab-bench_6W9HrF5wr8EhDeVYUuc83V.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.4722222222222222,0.04826217294139892,199593,198956,637,6VrZk9QwD7BWqJnQDHtRnu,2024-11-07T23:56:06-05:00,2024-11-07T23:56:06-05:00,2025-01-28T12:07:03,2024-11-07T23-55-58-05-00_lab-bench_3L8PMLysVpdbpakCKLnhk6.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.4722222222222222,0.04826217294139894,199553,198964,589,AuNU44VsWz9SdypyKmMFaV,2024-11-07T23:56:23-05:00,2024-11-07T23:56:23-05:00,2025-01-28T12:07:03,2024-11-07T23-56-14-05-00_lab-bench_Z3pFjscRaRGPpgrerKcRWL.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5092592592592593,0.048328535534370526,199528,198965,563,Wh8Fi86En6KWWWt3WyeL3c,2024-11-07T23:55:14-05:00,2024-11-07T23:55:14-05:00,2025-01-28T12:07:03,2024-11-07T23-55-06-05-00_lab-bench_KuvqcgyJdUQnTHPpdEdRRd.json,False
