inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
mistral/mistral-large-2407,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5740740740740741,0.04780343626936791,243890,243318,572,4CZvyrPLWwhxdt5H8LzmMP,2024-09-20T13:26:45-04:00,2024-09-20T13:26:45-04:00,2025-01-28T12:07:05,2024-09-20T13-24-10-04-00_benchmarks-lab-bench_QtKgDXZQ25VTJFVhrirZko.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5925925925925926,0.04750077341199985,243893,243305,588,dxvgyTcfY8W2HTU5FEXkU9,2024-11-07T23:44:12-05:00,2024-11-07T23:44:12-05:00,2025-01-28T12:07:05,2024-11-07T23-42-41-05-00_lab-bench_YWPJb6diQZ4uHuCJee4gVH.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5648148148148148,0.04792898170907059,243855,243301,554,XK75eugo5JWBe3uE8nounT,2024-11-07T23:52:13-05:00,2024-11-07T23:52:13-05:00,2025-01-28T12:07:05,2024-11-07T23-50-45-05-00_lab-bench_7NbRtVKnA8usqHPpLw2Wco.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.6018518518518519,0.047323326159788126,243909,243308,601,gQhehDEwcP3xgQ3rkZFQT4,2024-11-07T23:54:45-05:00,2024-11-07T23:54:45-05:00,2025-01-28T12:07:05,2024-11-07T23-52-14-05-00_lab-bench_2w6pk4Qijy3japTLk43XbV.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5925925925925926,0.04750077341199985,243896,243309,587,fNsCyFsn23GnGNNJ3v3kL8,2024-11-07T23:50:44-05:00,2024-11-07T23:50:44-05:00,2025-01-28T12:07:05,2024-11-07T23-48-09-05-00_lab-bench_JHbQzMWe6UHk7M7k8posF6.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.6018518518518519,0.047323326159788126,243864,243306,558,7NM9HgiZXv5GMHEFSphzYU,2024-11-07T23:38:40-05:00,2024-11-07T23:38:40-05:00,2025-01-28T12:07:05,2024-11-07T23-36-02-05-00_lab-bench_TFeHkMyPWCtEgoSfdvAiNa.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.6018518518518519,0.047323326159788126,243848,243308,540,TZzkjMGPzZN9aDXEgX5BHJ,2024-11-07T23:40:15-05:00,2024-11-07T23:40:15-05:00,2025-01-28T12:07:05,2024-11-07T23-38-41-05-00_lab-bench_cEB7WYcovnGVBuihATJZ2X.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5833333333333334,0.04766075165356461,243860,243306,554,bPmRLyQDWyqYNaYMcBgLkY,2024-11-07T23:46:46-05:00,2024-11-07T23:46:46-05:00,2025-01-28T12:07:05,2024-11-07T23-44-13-05-00_lab-bench_Wq6CNLCREWthwGGYZCDgT4.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5462962962962963,0.048129173245368216,243846,243306,540,6PcGVp5nUeeGYh3rz82mxh,2024-11-07T23:42:40-05:00,2024-11-07T23:42:40-05:00,2025-01-28T12:07:05,2024-11-07T23-40-16-05-00_lab-bench_MiYGTjV4YY7Jnh2HvYBzYy.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5833333333333334,0.04766075165356461,243857,243303,554,62NBdshgJGaqDqjUV8aVej,2024-11-07T23:48:08-05:00,2024-11-07T23:48:08-05:00,2025-01-28T12:07:05,2024-11-07T23-46-47-05-00_lab-bench_DyvwdmRVD3znb2AEgydW29.json,False
