inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
google/gemini-1.0-pro,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7330769230769231,0.012273353975390356,183666,179766,3900,TtzxRdNuNgt7tZRijpgV94,2024-11-08T09:10:22-05:00,2024-11-08T09:10:22-05:00,2025-01-28T12:07:10,2024-11-08T09-06-49-05-00_mmlu_h4mkhk5q7q4wuAzLjUJj3P.json,False
google/gemini-1.0-pro,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7215384615384616,0.012436774978668385,183666,179766,3900,eyysCjGdvQxkSTLcMRRKKN,2024-11-08T09:14:04-05:00,2024-11-08T09:14:04-05:00,2025-01-28T12:07:10,2024-11-08T09-10-30-05-00_mmlu_jdWu7jd4A3T3Tqf8Qf2K2s.json,False
google/gemini-1.0-pro,benchmarks/run,"{'cls': 'MMLUBenchmark', 'subset': 'all', 'split': 'test'}",zero_shot,1300,0.7384615384615385,0.012193465313939472,183666,179766,3900,cRGyDnjuSSpUkivPGE3GG3,2024-09-10T14:11:26-04:00,2024-09-10T14:11:26-04:00,2025-01-28T12:07:10,2024-09-10T14-08-02-04-00_benchmarks-run_hfGFCMutQ9Dpo9TgKzGcEH.json,False
google/gemini-1.0-pro,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7361538461538462,0.012227990737025327,183666,179766,3900,UNCnd3MjgM4PqEdwSTVh8q,2024-11-08T09:45:54-05:00,2024-11-08T09:45:54-05:00,2025-01-28T12:07:10,2024-11-08T09-42-26-05-00_mmlu_juPTdr3X76HXXqcAcyF5wJ.json,False
google/gemini-1.0-pro,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7276923076923076,0.012350918938604698,183668,179766,3902,U4hoKMGmWuUofxmXZFsukq,2024-11-08T09:56:41-05:00,2024-11-08T09:56:41-05:00,2025-01-28T12:07:10,2024-11-08T09-53-13-05-00_mmlu_LULMNhd7ZqPF5KWZT8Ccku.json,False
google/gemini-1.0-pro,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7361538461538462,0.012227990737025327,183666,179766,3900,48HVpt2cJqFC38cEzDSTMT,2024-11-08T09:53:05-05:00,2024-11-08T09:53:05-05:00,2025-01-28T12:07:10,2024-11-08T09-49-45-05-00_mmlu_GDBbDbcjDAvfGh3r84WM2F.json,False
google/gemini-1.0-pro,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7276923076923076,0.012350918938604696,183666,179766,3900,XFCeHd6JGDhmfTuhL8eaMS,2024-11-08T09:41:40-05:00,2024-11-08T09:41:40-05:00,2025-01-28T12:07:10,2024-11-08T09-23-29-05-00_mmlu_NJKdb4a4q5rzbD5pSmMCWn.json,False
google/gemini-1.0-pro,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.73,0.012317958500361503,183666,179766,3900,FWhe2ktvUyz8PjfqE4cwTB,2024-11-08T10:03:47-05:00,2024-11-08T10:03:47-05:00,2025-01-28T12:07:10,2024-11-08T10-00-17-05-00_mmlu_G5y358F7aaegkwyUC74jGa.json,False
google/gemini-1.0-pro,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7284615384615385,0.012339978821859115,183666,179766,3900,PhdMuJS88KLmv7vjPvVvpR,2024-11-08T09:49:36-05:00,2024-11-08T09:49:36-05:00,2025-01-28T12:07:10,2024-11-08T09-46-08-05-00_mmlu_HkYNT9rmfB3vKTFumH3W5y.json,False
google/gemini-1.0-pro,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7292307692307692,0.012328992050723887,183666,179766,3900,3cxJvKAKg3q2uho4o922F5,2024-11-08T10:00:08-05:00,2024-11-08T10:00:08-05:00,2025-01-28T12:07:10,2024-11-08T09-56-49-05-00_mmlu_kkZcxuMe6rVtBBFd3PimZR.json,False
