inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8838461538461538,0.00888997541921275,185170,181207,3963,eouxf2mcpnxt4fQ3m5Svk2,2024-10-07T14:58:52-04:00,2024-10-07T14:58:52-04:00,2025-01-28T12:07:11,2024-10-07T14-48-26-04-00_benchmarks-mmlu_K5xiuTDTzi9bd4C4xm2SAM.json,False
openai/gpt-4o,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8846153846153846,0.008864344416693619,185258,181207,4051,5qTjya7ggGFVVsu2C6PEpD,2024-10-07T14:48:16-04:00,2024-10-07T14:48:16-04:00,2025-01-28T12:07:11,2024-10-07T14-47-11-04-00_benchmarks-mmlu_NTqCxb3Bquu6KqthaHr2WE.json,False
openai/gpt-4o,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8776923076923077,0.009090619005070535,185209,181207,4002,WedSSNryHCRhQDpSkgLdz3,2024-10-07T15:01:31-04:00,2024-10-07T15:01:31-04:00,2025-01-28T12:07:11,2024-10-07T15-00-16-04-00_benchmarks-mmlu_3iPtQNJyXYLBHHtH8ZnzFB.json,False
openai/gpt-4o,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8792307692307693,0.009041177874506154,185221,181207,4014,5Gag8TitHeTE3kNGZwkVX9,2024-10-07T14:45:48-04:00,2024-10-07T14:45:48-04:00,2025-01-28T12:07:11,2024-10-07T14-44-44-04-00_benchmarks-mmlu_cLXyXkpRojS8vXh6kk4TrA.json,False
openai/gpt-4o,benchmarks/run,"{'cls': 'MMLUBenchmark', 'subset': 'all', 'split': 'test'}",zero_shot,1300,0.8853846153846154,0.008838587550523094,185118,181207,3911,khSYcWRxMrsuJZ3ykZ4fHC,2024-09-11T09:30:13-04:00,2024-09-11T09:30:13-04:00,2025-01-28T12:07:11,2024-09-11T09-28-39-04-00_benchmarks-run_9xS52k7PSbpD5YXfzYvFAM.json,False
openai/gpt-4o,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8853846153846154,0.008838587550523094,185225,181207,4018,725UEzwmr2sZ8JSt8zktY4,2024-10-07T14:43:21-04:00,2024-10-07T14:43:21-04:00,2025-01-28T12:07:11,2024-10-07T14-42-16-04-00_benchmarks-mmlu_jDTJ6m9ncDuun8REyJRVQU.json,False
openai/gpt-4o,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8846153846153846,0.008864344416693619,185223,181207,4016,BRSvKTBYuxeKGCmQWCcdwz,2024-10-07T14:42:05-04:00,2024-10-07T14:42:05-04:00,2025-01-28T12:07:11,2024-10-07T14-40-55-04-00_benchmarks-mmlu_AkhAbdTRG4wwn6YLqAc3LY.json,False
openai/gpt-4o,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8830769230769231,0.00891548164361189,185238,181207,4031,GujQNgsNTYjBVcAawC9Pyg,2024-10-07T15:00:07-04:00,2024-10-07T15:00:07-04:00,2025-01-28T12:07:11,2024-10-07T14-59-03-04-00_benchmarks-mmlu_ThqKAT8t8rbB5XpCFurNLR.json,False
openai/gpt-4o,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8853846153846154,0.008838587550523094,185245,181207,4038,7H4yEim578uNhVwQ6BjFaH,2024-10-07T14:47:02-04:00,2024-10-07T14:47:02-04:00,2025-01-28T12:07:11,2024-10-07T14-45-57-04-00_benchmarks-mmlu_6yrLZEodJ2d4oHqs28acT9.json,False
openai/gpt-4o,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8807692307692307,0.008991262241159793,185171,181207,3964,GnhvsQSHNRMa4oT6AV3tD2,2024-10-07T14:44:34-04:00,2024-10-07T14:44:34-04:00,2025-01-28T12:07:11,2024-10-07T14-43-31-04-00_benchmarks-mmlu_a4NAhDcTc5nwGQL4BP7AXC.json,False
