inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Llama-2-13b-chat-hf,benchmarks/run,"{'cls': 'MMLUBenchmark', 'subset': 'all', 'split': 'test'}",zero_shot,1300,0.4876923076923077,0.013868638107199549,241131,226968,14163,jpjEnDfqziRVZGioaggPiy,2024-09-11T18:10:12-04:00,2024-09-11T18:10:12-04:00,2025-01-28T12:07:16,2024-09-11T17-44-01-04-00_benchmarks-run_buCcSucMjPWxPU6ZSAQySy.json,False
together/meta-llama/Llama-2-13b-chat-hf,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.4869230769230769,0.01386809615278461,239856,225668,14188,ESCwXzgYDC8YnMwZAew5Jn,2024-11-08T15:25:28-05:00,2024-11-08T15:25:28-05:00,2025-01-28T12:07:16,2024-11-08T15-23-33-05-00_mmlu_PkS996jAvkh7KwL2sBrK9a.json,False
together/meta-llama/Llama-2-13b-chat-hf,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.4876923076923077,0.013868638107199547,239701,225668,14033,TMncki84g2yzd2wSszm8NG,2024-11-08T15:23:24-05:00,2024-11-08T15:23:24-05:00,2025-01-28T12:07:16,2024-11-08T15-21-28-05-00_mmlu_TdgmbLYMNs97suuaB85XhE.json,False
together/meta-llama/Llama-2-13b-chat-hf,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.4869230769230769,0.01386809615278461,239584,225668,13916,EPDyVbKrbMmJhJKZjD2Z2E,2024-11-08T15:27:31-05:00,2024-11-08T15:27:31-05:00,2025-01-28T12:07:16,2024-11-08T15-25-38-05-00_mmlu_eaD6Qd8RrxbNA9KBssAtPM.json,False
together/meta-llama/Llama-2-13b-chat-hf,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.4869230769230769,0.01386809615278461,239703,225668,14035,kSw8vJjbajLgyTxBuSSi3b,2024-11-08T15:21:19-05:00,2024-11-08T15:21:19-05:00,2025-01-28T12:07:16,2024-11-08T15-19-23-05-00_mmlu_L6Gf2Vy2Mt3Acyka9zxcb3.json,False
together/meta-llama/Llama-2-13b-chat-hf,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.4869230769230769,0.01386809615278461,239623,225668,13955,A9aQj9KsgfhBZwRSqTg4yh,2024-11-08T15:19:13-05:00,2024-11-08T15:19:13-05:00,2025-01-28T12:07:17,2024-11-08T15-17-18-05-00_mmlu_mBDGjKf8Dp6EQjP6EGmG5y.json,False
together/meta-llama/Llama-2-13b-chat-hf,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.48615384615384616,0.013867521329503169,239596,225668,13928,ds7bPqeXKaHweNgMHz6nSk,2024-11-08T15:10:52-05:00,2024-11-08T15:10:52-05:00,2025-01-28T12:07:17,2024-11-08T15-08-58-05-00_mmlu_WWqUAujWU4D5SzaBEvQaDV.json,False
together/meta-llama/Llama-2-13b-chat-hf,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.4869230769230769,0.01386809615278461,239785,225668,14117,dTDcxqG3MdirjdanrcyH9f,2024-11-08T15:15:02-05:00,2024-11-08T15:15:02-05:00,2025-01-28T12:07:17,2024-11-08T15-13-06-05-00_mmlu_dkxLgx2nZvh366LBRkQ5Up.json,False
together/meta-llama/Llama-2-13b-chat-hf,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.4876923076923077,0.013868638107199547,239771,225668,14103,MBfFRy9FWiayxSE3mMXhzv,2024-11-08T15:12:57-05:00,2024-11-08T15:12:57-05:00,2025-01-28T12:07:17,2024-11-08T15-11-02-05-00_mmlu_8zHKsqAwFxcAtD6zRUctFx.json,False
together/meta-llama/Llama-2-13b-chat-hf,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.4869230769230769,0.01386809615278461,239746,225668,14078,YV8cMDJpMZR4Eu4MpDQoa2,2024-11-08T15:17:07-05:00,2024-11-08T15:17:07-05:00,2025-01-28T12:07:17,2024-11-08T15-15-12-05-00_mmlu_RgDRo9NkLEMtbreSgS6Nz2.json,False
