inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
mistral/open-mixtral-8x7b,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.6523076923076923,0.013213540972133547,386537,217355,169182,ecdz2NsgiWyeyDbmCZ5Lnc,2025-01-22T14:04:00-05:00,2025-01-22T14:04:00-05:00,2025-01-28T12:07:08,2025-01-22T13-43-48-05-00_mmlu_dTwNcFE875WM6ZjSCUaELu.json,False
mistral/open-mixtral-8x7b,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.6523076923076923,0.013213540972133547,386380,217355,169025,SSffZ9CAzxcarcWogpehwH,2025-01-22T14:54:42-05:00,2025-01-22T14:54:42-05:00,2025-01-28T12:07:08,2025-01-22T14-32-13-05-00_mmlu_CjJRWWUdQGReCKXfqUroKK.json,False
mistral/open-mixtral-8x7b,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.6561538461538462,0.013178936010681666,385925,217355,168570,6dRHbsFKtxHRmPjNCem4of,2025-01-22T14:32:03-05:00,2025-01-22T14:32:03-05:00,2025-01-28T12:07:08,2025-01-22T14-04-11-05-00_mmlu_8ZpBMyq6YFpGQkigKFnhdL.json,False
mistral/open-mixtral-8x7b,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.6476923076923077,0.013253813553442186,382430,217355,165075,2MNiP8Ed4nV5BjoWtbYZhh,2025-01-24T13:15:54-05:00,2025-01-24T13:15:54-05:00,2025-01-28T12:07:08,2025-01-24T12-42-42-05-00_mmlu_idca9FuL2CVPYaUF5MXTvP.json,False
mistral/open-mixtral-8x7b,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.6538461538461539,0.013199813402544969,385737,217355,168382,59fziork8nhQiBpr3avXck,2025-01-24T11:10:55-05:00,2025-01-24T11:10:55-05:00,2025-01-28T12:07:08,2025-01-24T10-43-04-05-00_mmlu_VvWSPtBrM6SYEwaANyWbKP.json,False
mistral/open-mixtral-8x7b,benchmarks/run,"{'cls': 'MMLUBenchmark', 'subset': 'all', 'split': 'test'}",zero_shot,1300,0.6292307692307693,0.013401463970562723,385691,218655,167036,c877wUhjPcvekkzP38mvBT,2024-09-17T10:53:10-04:00,2024-09-17T10:53:10-04:00,2025-01-28T12:07:08,2024-09-17T08-51-30-04-00_benchmarks-run_mtZbkfbdYMPvLweQWRMwqx.json,False
mistral/open-mixtral-8x7b,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.6523076923076923,0.013213540972133547,388276,217355,170921,KcFp7R5MNcrc7z6B3bFm6y,2025-01-22T15:15:40-05:00,2025-01-22T15:15:40-05:00,2025-01-28T12:07:08,2025-01-22T14-54-52-05-00_mmlu_CC7Fhr6Fp5ph8K9Vtie8wm.json,False
mistral/open-mixtral-8x7b,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.65,0.013233847475871356,387368,217355,170013,M858ERbrKhpwPPeGezAYBD,2025-01-24T13:40:33-05:00,2025-01-24T13:40:33-05:00,2025-01-28T12:07:08,2025-01-24T13-16-05-05-00_mmlu_9uHTMZbS4AvUMyLgmsAiYz.json,False
mistral/open-mixtral-8x7b,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.6515384615384615,0.013220347728133937,385586,217355,168231,kUdz9tPtyJLzMm5pBJVCW2,2025-01-22T15:42:32-05:00,2025-01-22T15:42:32-05:00,2025-01-28T12:07:08,2025-01-22T15-15-49-05-00_mmlu_a62ijn9kYFtiPtLXLumiac.json,False
mistral/open-mixtral-8x7b,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.6553846153846153,0.013185933359815523,384447,217355,167092,bee6VppbxbaAWLZAUudzQE,2025-01-24T11:39:13-05:00,2025-01-24T11:39:13-05:00,2025-01-28T12:07:08,2025-01-24T11-11-05-05-00_mmlu_F9v3KFqneukgEx29Ruu8LX.json,False
