inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/o3-mini-2025-01-31,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8892307692307693,0.008707875983541849,543698,179907,363791,JyPEhe3PYatKVgUpsPYb5R,2025-02-01T11:43:49-05:00,2025-02-01T11:43:49-05:00,2025-02-09T16:08:39,2025-02-01T11-37-09-05-00_mmlu_Bn3gUgmgbESdH7eMES5dvR.json,False
openai/o3-mini-2025-01-31,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8923076923076924,0.00860092349429667,535841,179907,355934,T2pjZZqY44imBXPYGNQ2r5,2025-02-01T11:51:00-05:00,2025-02-01T11:51:00-05:00,2025-02-09T16:08:39,2025-02-01T11-43-59-05-00_mmlu_9iMsho3MusfQKZbjXS2A6y.json,False
openai/o3-mini-2025-01-31,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8907692307692308,0.008654670219937705,541455,179907,361548,EemqBnX5GNvnrAbGcAtdAB,2025-02-02T12:52:12-05:00,2025-02-02T12:52:12-05:00,2025-02-09T16:08:39,2025-02-02T12-32-06-05-00_mmlu_aeKquvGY2D94PzerPJEmDC.json,False
openai/o3-mini-2025-01-31,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8961538461538462,0.00846412208815894,544705,179907,364798,53Aernkcik8ccMQiKSuB3Z,2025-02-01T11:21:39-05:00,2025-02-01T11:21:39-05:00,2025-02-09T16:08:39,2025-02-01T11-12-23-05-00_mmlu_LrFo58iXf7KVQsRoDhEVt9.json,False
openai/o3-mini-2025-01-31,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8961538461538462,0.00846412208815894,550646,179907,370739,hkcHZZq87yGWDWgfrMS6S9,2025-02-01T12:11:44-05:00,2025-02-01T12:11:44-05:00,2025-02-09T16:08:39,2025-02-01T12-05-00-05-00_mmlu_JXxGG7SvDAVveexNL3Uuis.json,False
openai/o3-mini-2025-01-31,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8938461538461538,0.008546625600864268,557951,179907,378044,TvPKhDM9ZyoA5Pag8TWqoM,2025-02-01T11:12:14-05:00,2025-02-01T11:12:14-05:00,2025-02-09T16:08:39,2025-02-01T11-03-11-05-00_mmlu_HsvdusuiVcdhHn56C7LmZh.json,False
openai/o3-mini-2025-01-31,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8961538461538462,0.00846412208815894,552109,179907,372202,PMLRWgyvvyt86Sq5HzdJd3,2025-02-01T11:57:50-05:00,2025-02-01T11:57:50-05:00,2025-02-09T16:08:39,2025-02-01T11-51-12-05-00_mmlu_XTPKJHguRjhgWsTKDuWzbE.json,False
openai/o3-mini-2025-01-31,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8892307692307693,0.008707875983541849,531160,179907,351253,BcNtL9QKdpcVGcAxtUx3LP,2025-02-01T12:04:51-05:00,2025-02-01T12:04:51-05:00,2025-02-09T16:08:40,2025-02-01T11-58-00-05-00_mmlu_jkmPnuc7h67b7XVvbcrb5D.json,False
openai/o3-mini-2025-01-31,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8930769230769231,0.00857384409553728,536998,179907,357091,2WR7WyxwycrqtTW9GVuquY,2025-02-01T11:29:07-05:00,2025-02-01T11:29:07-05:00,2025-02-09T16:08:40,2025-02-01T11-21-48-05-00_mmlu_PAMEyThK3mpBALSS4SfG9t.json,False
openai/o3-mini-2025-01-31,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8923076923076924,0.00860092349429667,543695,179907,363788,3jnEjRxrtssRgtnd5SsQXj,2025-02-01T11:36:59-05:00,2025-02-01T11:36:59-05:00,2025-02-09T16:08:40,2025-02-01T11-29-16-05-00_mmlu_M7cExyHLKQcjQ35eWH44Y5.json,False
