inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-3.5-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.704,0.02043534209189623,194562,192048,2514,UA6gbUvXS7s7zwyPRo3McS,2025-01-21T16:24:33-05:00,2025-01-21T16:24:33-05:00,2025-01-28T12:07:31,2025-01-21T16-24-12-05-00_pubmedqa_2BobpoE4QPKwnZgha9ZyXF.json,False
openai/gpt-3.5-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.69,0.020704041021724684,194555,192048,2507,gRGGovgCGkkybtP2GzzzF4,2025-01-21T16:23:24-05:00,2025-01-21T16:23:24-05:00,2025-01-28T12:07:31,2025-01-21T16-23-03-05-00_pubmedqa_aK3wQnaARrmDv2vL6kcZBP.json,False
openai/gpt-3.5-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.686,0.020776701920308976,194563,192048,2515,kLaYexdjiXK6Mw5p5okaQW,2025-01-21T16:22:39-05:00,2025-01-21T16:22:39-05:00,2025-01-28T12:07:31,2025-01-21T16-22-16-05-00_pubmedqa_V4T5BtLpKfger3nEd8pjFy.json,False
openai/gpt-3.5-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.7,0.020514426225627987,194559,192048,2511,4N89JR7pSRoS9PhQTBMGhz,2025-01-21T16:24:55-05:00,2025-01-21T16:24:55-05:00,2025-01-28T12:07:31,2025-01-21T16-24-35-05-00_pubmedqa_MjDvYsuGXTAyRVy5WqJ6BE.json,False
openai/gpt-3.5-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.7,0.020514426225627987,194563,192048,2515,LiKsTTsPCG5n7RTP83J8H8,2025-01-21T16:23:01-05:00,2025-01-21T16:23:01-05:00,2025-01-28T12:07:31,2025-01-21T16-22-41-05-00_pubmedqa_YcrGRh73hk7bGzXCLyViGK.json,False
openai/gpt-3.5-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.696,0.02059164957122494,194553,192048,2505,8h7jz6yMxqpyF2cSroFx6m,2025-01-21T16:25:19-05:00,2025-01-21T16:25:19-05:00,2025-01-28T12:07:31,2025-01-21T16-24-57-05-00_pubmedqa_domgaeg4V5EcTa9EHDcQMz.json,False
openai/gpt-3.5-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.7,0.020514426225627987,194559,192048,2511,iiN2F4tXyt3jsVG2yNBKco,2025-01-21T16:23:48-05:00,2025-01-21T16:23:48-05:00,2025-01-28T12:07:31,2025-01-21T16-23-25-05-00_pubmedqa_6Ri6oaAfvFVtQ9rJVRU2J2.json,False
openai/gpt-3.5-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.71,0.020313179231745138,194551,192048,2503,NQBaUzEZrWVJKR6Aa4k4GX,2025-01-21T16:25:42-05:00,2025-01-21T16:25:42-05:00,2025-01-28T12:07:31,2025-01-21T16-25-20-05-00_pubmedqa_QtWhdPEL9EtfddbmkS5ryT.json,False
openai/gpt-3.5-turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.706,0.02039509548493655,194064,192048,2016,cxThrWJh2FVKkc6kFugqSz,2024-09-19T17:06:23-04:00,2024-09-19T17:06:23-04:00,2025-01-28T12:07:31,2024-09-19T17-06-01-04-00_benchmarks-pubmedqa_mWU6GV2kdAj4Rt2VQU4MyV.json,False
openai/gpt-3.5-turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.708,0.020354375480530096,194553,192048,2505,b3rSVnGLQ3WGS9bKvQUXKx,2025-01-21T16:24:11-05:00,2025-01-21T16:24:11-05:00,2025-01-28T12:07:31,2025-01-21T16-23-49-05-00_pubmedqa_cGrSgmmJAWw3oeAuu8HZ2y.json,False
