inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.808,0.017632180454361008,208816,206316,2500,5BBgCgjKWG9YYXGDfLs6kh,2024-10-02T21:22:59-04:00,2024-10-02T21:22:59-04:00,2025-01-28T12:07:27,2024-10-02T21-22-02-04-00_benchmarks-pubmedqa_4DEmtNviEnkRDvmK5aJwVL.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.81,0.01756180041075899,208816,206316,2500,VdLW9gfaEGN2QkpFggHyL7,2024-10-02T21:26:56-04:00,2024-10-02T21:26:56-04:00,2025-01-28T12:07:27,2024-10-02T21-25-57-04-00_benchmarks-pubmedqa_cj9YYyVYAvWEo68MYMb49h.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.81,0.01756180041075899,208816,206316,2500,U4gwgRM4C28Qfoya7qzmDA,2024-10-02T21:22:01-04:00,2024-10-02T21:22:01-04:00,2025-01-28T12:07:27,2024-10-02T21-21-05-04-00_benchmarks-pubmedqa_aqNTLPxjmTZiMeaK7GGyHM.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.808,0.017632180454361008,208816,206316,2500,9MYvHftYtGXnnfW3Mv9Fzj,2024-10-02T21:23:59-04:00,2024-10-02T21:23:59-04:00,2025-01-28T12:07:27,2024-10-02T21-23-04-04-00_benchmarks-pubmedqa_bvxmVgwGTTqmMTVCqF5fCb.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.81,0.01756180041075899,208816,206316,2500,ETCHVEK7dQNukipyndtm9E,2024-10-02T21:27:54-04:00,2024-10-02T21:27:54-04:00,2025-01-28T12:07:27,2024-10-02T21-27-00-04-00_benchmarks-pubmedqa_MafexRisoUQgAFsraXmfPo.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.81,0.01756180041075899,208816,206316,2500,f66ACSbEeSH5rGuotA5Kyh,2024-09-19T17:26:42-04:00,2024-09-19T17:26:42-04:00,2025-01-28T12:07:27,2024-09-19T17-25-48-04-00_benchmarks-pubmedqa_hbJpyTAatnfxPaKwLoJtcq.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.81,0.01756180041075899,208816,206316,2500,VzH8CVp7HsdtLfWxS44LDW,2024-10-02T21:20:03-04:00,2024-10-02T21:20:03-04:00,2025-01-28T12:07:27,2024-10-02T21-19-08-04-00_benchmarks-pubmedqa_ncfBNfXprYgPtxMgUNqVZJ.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.808,0.017632180454361008,208816,206316,2500,SxufNU2pKS9ixEXvwxtHDd,2024-10-02T21:25:56-04:00,2024-10-02T21:25:56-04:00,2025-01-28T12:07:27,2024-10-02T21-24-57-04-00_benchmarks-pubmedqa_ev3JSeNxwC8Jb7MBtMs4cs.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.81,0.01756180041075899,208816,206316,2500,FpD9rQfstbaDjb5P8pybgo,2024-10-02T21:24:56-04:00,2024-10-02T21:24:56-04:00,2025-01-28T12:07:27,2024-10-02T21-24-00-04-00_benchmarks-pubmedqa_VrCDTJsYJsBMEin7ppL64b.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.81,0.01756180041075899,208816,206316,2500,WMXHy7QkrzhTRnACU8Y7C6,2024-10-02T21:21:04-04:00,2024-10-02T21:21:04-04:00,2025-01-28T12:07:27,2024-10-02T21-20-04-04-00_benchmarks-pubmedqa_A397SQY7bngDY9cG6VFTMv.json,False
