inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/o3-mini-2025-01-31,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.78,0.01854421137582028,277415,187952,89463,gzyZBahBX8GByFrGFcPqzw,2025-02-02T13:20:18-05:00,2025-02-02T13:20:18-05:00,2025-02-09T16:09:00,2025-02-02T13-15-45-05-00_pubmedqa_hVsjfzCVPt3NUisqXpqRhe.json,False
openai/o3-mini-2025-01-31,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.778,0.018604414758250098,277118,187952,89166,jfxV2oKoG3BGdakxGCW3du,2025-02-02T13:39:36-05:00,2025-02-02T13:39:36-05:00,2025-02-09T16:09:00,2025-02-02T13-35-47-05-00_pubmedqa_MNztWkQoetw3KaYtK445Bv.json,False
openai/o3-mini-2025-01-31,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.776,0.01866399446471086,275567,187952,87615,9kcGgKx3WCgm9NoKGgPqcy,2025-02-02T13:35:46-05:00,2025-02-02T13:35:46-05:00,2025-02-09T16:09:00,2025-02-02T13-32-30-05-00_pubmedqa_EYSXDFezahTTWXnjRuGjo9.json,False
openai/o3-mini-2025-01-31,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.782,0.01848337822317885,284335,187952,96383,QMN5HHrZqrExtBokDsTnMW,2025-02-02T13:44:52-05:00,2025-02-02T13:44:52-05:00,2025-02-09T16:09:00,2025-02-02T13-39-37-05-00_pubmedqa_EZJ8rEyaqLuhqEnbGPuPYB.json,False
openai/o3-mini-2025-01-31,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.776,0.01866399446471086,278683,187952,90731,F7skQV6evh6EDFpjioMbwV,2025-02-02T13:28:44-05:00,2025-02-02T13:28:44-05:00,2025-02-09T16:09:00,2025-02-02T13-24-40-05-00_pubmedqa_HYW4SHPhmFqroTdkiqSHCw.json,False
openai/o3-mini-2025-01-31,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.782,0.01848337822317885,281841,187952,93889,DdduwstCUGxRru4ormcqWQ,2025-02-02T13:53:12-05:00,2025-02-02T13:53:12-05:00,2025-02-09T16:09:00,2025-02-02T13-49-07-05-00_pubmedqa_ButmsQ2PhGyy2u2ocwtdoh.json,False
openai/o3-mini-2025-01-31,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.78,0.018544211375820276,282393,187952,94441,VHkvTJU33qjs8v6nsu69Ax,2025-02-02T13:07:31-05:00,2025-02-02T13:07:31-05:00,2025-02-09T16:09:00,2025-02-02T13-02-45-05-00_pubmedqa_dPkUjEW3wQ8yxNqEMnyPzS.json,False
openai/o3-mini-2025-01-31,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.782,0.01848337822317885,280136,187952,92184,Y7npSStaTVau7cnzQYEpbp,2025-02-02T13:24:39-05:00,2025-02-02T13:24:39-05:00,2025-02-09T16:09:00,2025-02-02T13-20-19-05-00_pubmedqa_WoxJnr8kMU9UBQLMstmGeB.json,False
openai/o3-mini-2025-01-31,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.784,0.01842190906141201,278680,187952,90728,SmcGwBgmJ9uZBhJ8BAJTB6,2025-02-02T13:32:29-05:00,2025-02-02T13:32:29-05:00,2025-02-09T16:09:00,2025-02-02T13-28-45-05-00_pubmedqa_GxJ7pYcfnwVjuD4PSuLbgs.json,False
openai/o3-mini-2025-01-31,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.776,0.01866399446471086,278084,187952,90132,3QePtr8HLN4PA2vwk22tvJ,2025-02-02T13:49:05-05:00,2025-02-02T13:49:05-05:00,2025-02-09T16:09:00,2025-02-02T13-44-54-05-00_pubmedqa_A8pP6n2eiF8ERZ5k5QxGfR.json,False
