inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/deepseek-ai/DeepSeek-V3,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.2871287128712871,0.045242216470478665,35320,34380,940,ESViYpZ6AGJDHnuhWzDgNv,2025-02-08T16:25:01-05:00,2025-02-08T16:25:01-05:00,2025-02-09T16:08:31,2025-02-08T16-20-23-05-00_vct_gBDDmsu8Mx556ASKdLd7kk.json,False
together/deepseek-ai/DeepSeek-V3,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.27722772277227725,0.044762988338444824,35661,34380,1281,JVX5vsyVMxwCWjZWtny9mr,2025-02-08T16:25:34-05:00,2025-02-08T16:25:34-05:00,2025-02-09T16:08:31,2025-02-08T16-25-01-05-00_vct_UGkuTx5AbF77g5YFWwtzSP.json,False
together/deepseek-ai/DeepSeek-V3,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.26732673267326734,0.04425642898738022,35895,34380,1515,62q3nxiZMoD8aybWziQTQg,2025-02-08T15:14:30-05:00,2025-02-08T15:14:30-05:00,2025-02-09T16:08:31,2025-02-08T15-13-58-05-00_vct_JVCKNrUp96m86UF3LbvHAc.json,False
together/deepseek-ai/DeepSeek-V3,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.2376237623762376,0.0425627430895142,35404,34380,1024,LRb9tFYbDsbBt25uqpppcr,2025-02-08T15:25:13-05:00,2025-02-08T15:25:13-05:00,2025-02-09T16:08:31,2025-02-08T15-15-12-05-00_vct_k4XNT4nYjzQZVFUX3unrTM.json,False
together/deepseek-ai/DeepSeek-V3,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.2079207920792079,0.04058198323152317,35917,34380,1537,9n3T2BVWY3CVCYuaivKbd5,2025-02-08T15:15:12-05:00,2025-02-08T15:15:12-05:00,2025-02-09T16:08:31,2025-02-08T15-14-38-05-00_vct_bJxkM92WXUjick5ebLeCZy.json,False
together/deepseek-ai/DeepSeek-V3,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.21782178217821782,0.041276561555793734,35292,34380,912,iZ9R4pX8dgt8gkpdsgbc6B,2025-02-08T16:20:23-05:00,2025-02-08T16:20:23-05:00,2025-02-09T16:08:31,2025-02-08T16-17-41-05-00_vct_Ty2kSNBHJGWDSSrDSDfrxb.json,False
together/deepseek-ai/DeepSeek-V3,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.24752475247524752,0.043157415282580935,35059,34380,679,BwffF6TJh3QFsGDqcJWCUS,2025-02-08T15:14:38-05:00,2025-02-08T15:14:38-05:00,2025-02-09T16:08:31,2025-02-08T15-14-30-05-00_vct_hzBEyrEoHTbytjJY8PCHj7.json,False
together/deepseek-ai/DeepSeek-V3,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.21782178217821782,0.041276561555793734,35713,34380,1333,QLvZKDWeUPTbtxfshAZEnx,2025-02-08T16:13:46-05:00,2025-02-08T16:13:46-05:00,2025-02-09T16:08:31,2025-02-08T15-56-06-05-00_vct_7KrmzXr4Eos3N4ZE6SN7rm.json,False
together/deepseek-ai/DeepSeek-V3,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.24752475247524752,0.043157415282580935,35226,34380,846,V5ALVig7AGehUdXf2TGV3K,2025-02-08T15:56:06-05:00,2025-02-08T15:56:06-05:00,2025-02-09T16:08:31,2025-02-08T15-25-13-05-00_vct_aaQUNwj9ahjoUeJtq3BfGz.json,False
together/deepseek-ai/DeepSeek-V3,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.26732673267326734,0.04425642898738022,35048,34380,668,MSgc66baUyYXDgq6tyTsaK,2025-02-08T16:17:41-05:00,2025-02-08T16:17:41-05:00,2025-02-09T16:08:31,2025-02-08T16-13-46-05-00_vct_aznnRFH4RVkhoV3MRWoCfg.json,False
