inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
google/gemini-1.0-pro,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1188118811881188,0.03235670225419444,35859,35380,479,j8BD4grR33v3UNBjqTE5tW,2025-02-08T13:51:23-05:00,2025-02-08T13:51:23-05:00,2025-02-11T12:07:30,2025-02-08T13-51-15-05-00_vct_7XinMxmMEHFpHTgvrSpwSa.json,False
google/gemini-1.0-pro,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1188118811881188,0.03235670225419444,35868,35380,488,euGxStZrdtBqG5Xff79XTX,2025-02-08T13:49:06-05:00,2025-02-08T13:49:06-05:00,2025-02-11T12:07:30,2025-02-08T13-48-59-05-00_vct_SvcucXTGt5q8pskLzRVhdE.json,False
google/gemini-1.0-pro,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1485148514851485,0.035560960388253404,35843,35380,463,CQUWd8uDMDXZuLL73DLaUp,2025-02-08T13:50:10-05:00,2025-02-08T13:50:10-05:00,2025-02-11T12:07:30,2025-02-08T13-49-14-05-00_vct_QWb3T8r7LVX97MGGGA953E.json,False
google/gemini-1.0-pro,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.13861386138613863,0.03455431359725772,35851,35380,471,bVk3naAkweksh6fedBP6Uj,2025-02-08T13:50:24-05:00,2025-02-08T13:50:24-05:00,2025-02-11T12:07:30,2025-02-08T13-50-17-05-00_vct_WpwnFQYjGjYNyJznTvx2Yj.json,False
google/gemini-1.0-pro,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.15841584158415842,0.0365130473556154,35849,35380,469,AWfj2yZjZDgNBxEZTRpK9c,2025-02-08T13:51:07-05:00,2025-02-08T13:51:07-05:00,2025-02-11T12:07:30,2025-02-08T13-51-00-05-00_vct_F7TvY5SsRYUhri44qm2YPH.json,False
google/gemini-1.0-pro,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.10891089108910891,0.03115273806445995,35846,35380,466,brAXmhGKD2YDuvAY5frDLA,2025-02-08T13:50:17-05:00,2025-02-08T13:50:17-05:00,2025-02-11T12:07:30,2025-02-08T13-50-10-05-00_vct_Zb6PkUibutifoUHbXAeD7g.json,False
google/gemini-1.0-pro,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.16831683168316833,0.03741473985681423,35827,35380,447,9k7dAwci9xWC6gvxzV5GvW,2025-02-08T13:48:59-05:00,2025-02-08T13:48:59-05:00,2025-02-11T12:07:30,2025-02-08T13-48-51-05-00_vct_dsC3jdpsGCJmWkpA9gYdS7.json,False
google/gemini-1.0-pro,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.15841584158415842,0.0365130473556154,35856,35380,476,EzP5Tg5k7kyMjMgPUBNZ7A,2025-02-08T13:49:14-05:00,2025-02-08T13:49:14-05:00,2025-02-11T12:07:30,2025-02-08T13-49-06-05-00_vct_eBfTHSPfg4dNTEJ5wFZGNY.json,False
google/gemini-1.0-pro,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.13861386138613863,0.03455431359725772,35833,35380,453,oDjmY5a237ijeYUbCg4gBP,2025-02-08T13:51:00-05:00,2025-02-08T13:51:00-05:00,2025-02-11T12:07:30,2025-02-08T13-50-24-05-00_vct_P42TzaxMG25uXzzqFmYP8A.json,False
google/gemini-1.0-pro,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.10891089108910891,0.031152738064459947,35810,35380,430,EmSSvjD8LcggjhXER5eErV,2025-02-08T13:51:15-05:00,2025-02-08T13:51:15-05:00,2025-02-11T12:07:30,2025-02-08T13-51-08-05-00_vct_73ZnPFZGzPoiFkvcBAxhik.json,False
