inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-3.5-turbo-0125,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.12871287128712872,0.03348818717878765,36534,35867,667,G2yRnQmViuabY6KHvVGVLx,2025-02-08T14:19:24-05:00,2025-02-08T14:19:24-05:00,2025-02-09T16:08:33,2025-02-08T14-19-20-05-00_vct_PedNRjsRzL39SdhszW2rR4.json,False
openai/gpt-3.5-turbo-0125,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.0891089108910891,0.028490088257303283,36543,35867,676,593tdUskjENDbWxcT7TsTb,2025-02-08T14:18:53-05:00,2025-02-08T14:18:53-05:00,2025-02-09T16:08:33,2025-02-08T14-18-46-05-00_vct_NP5Ad2oveRBWpb5hJkLNjt.json,False
openai/gpt-3.5-turbo-0125,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.09900990099009901,0.029867530948511595,36542,35867,675,UeqbH3UTZNhPq2zkoWTwP9,2025-02-08T14:19:20-05:00,2025-02-08T14:19:20-05:00,2025-02-09T16:08:33,2025-02-08T14-19-14-05-00_vct_HQF3Pb4n7KhRZxAXqe5bX8.json,False
openai/gpt-3.5-turbo-0125,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1485148514851485,0.035560960388253404,36530,35867,663,9CPon66JN4xaWNc5cst6Yt,2025-02-08T14:18:36-05:00,2025-02-08T14:18:36-05:00,2025-02-09T16:08:33,2025-02-08T14-18-31-05-00_vct_goNgerKYPnkFd95uqtXAGN.json,False
openai/gpt-3.5-turbo-0125,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.0891089108910891,0.028490088257303283,36531,35867,664,Vo3P76fiyJ87BQKyTpuKau,2025-02-08T14:19:04-05:00,2025-02-08T14:19:04-05:00,2025-02-09T16:08:33,2025-02-08T14-19-00-05-00_vct_eqe3pLkXMyYunxYLE6uZBe.json,False
openai/gpt-3.5-turbo-0125,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.12871287128712872,0.03348818717878765,36525,35867,658,9MVBuSsQNUkVYY2AsVyeyN,2025-02-08T14:18:45-05:00,2025-02-08T14:18:45-05:00,2025-02-09T16:08:33,2025-02-08T14-18-40-05-00_vct_5FsSRtrtKSwvNJXng4xNB3.json,False
openai/gpt-3.5-turbo-0125,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.09900990099009901,0.029867530948511595,36532,35867,665,PNxrGGBPnTFqBK8L3dmFuS,2025-02-08T14:19:00-05:00,2025-02-08T14:19:00-05:00,2025-02-09T16:08:33,2025-02-08T14-18-53-05-00_vct_F8iicAr8sa3wFf6gsmpCU8.json,False
openai/gpt-3.5-turbo-0125,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.12871287128712872,0.03348818717878765,36541,35867,674,6UQ5mNPvzj9DQWhB62RNFQ,2025-02-08T14:19:13-05:00,2025-02-08T14:19:13-05:00,2025-02-09T16:08:33,2025-02-08T14-19-09-05-00_vct_F7pB92TmmpCtwR8SX3Zeaa.json,False
openai/gpt-3.5-turbo-0125,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.12871287128712872,0.03348818717878765,36527,35867,660,NpNodgN8TWQoMNHVnnZu8D,2025-02-08T14:19:09-05:00,2025-02-08T14:19:09-05:00,2025-02-09T16:08:33,2025-02-08T14-19-04-05-00_vct_VnDhmG4NRB67BxdgnQrLKz.json,False
openai/gpt-3.5-turbo-0125,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.09900990099009901,0.029867530948511595,36541,35867,674,NEmNewoh2BTEbEQ4YjmV9v,2025-02-08T14:18:40-05:00,2025-02-08T14:18:40-05:00,2025-02-09T16:08:33,2025-02-08T14-18-36-05-00_vct_2JfEK4NNubJBztEBQdJGHj.json,False
