inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4-0613,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.15841584158415842,0.0365130473556154,36671,35867,804,ZQ86ZFQJq9G7fQPqunmhJK,2025-02-08T14:17:24-05:00,2025-02-08T14:17:24-05:00,2025-02-09T16:08:32,2025-02-08T14-17-14-05-00_vct_SAPPn8R7ogMe4dGesp9qWx.json,False
openai/gpt-4-0613,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1485148514851485,0.035560960388253404,36707,35867,840,EiTAMzgdTEaFN2ZQCgd92s,2025-02-08T14:17:33-05:00,2025-02-08T14:17:33-05:00,2025-02-09T16:08:32,2025-02-08T14-17-24-05-00_vct_aiNTugjspJgMBCTwRpLggq.json,False
openai/gpt-4-0613,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.15841584158415842,0.0365130473556154,36714,35867,847,mfW8MRLyxMqkAs6W2Mpucd,2025-02-08T14:18:10-05:00,2025-02-08T14:18:10-05:00,2025-02-09T16:08:32,2025-02-08T14-18-02-05-00_vct_hDqRY6VXcXpwEUPg6DQFcf.json,False
openai/gpt-4-0613,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.16831683168316833,0.03741473985681423,36683,35867,816,LcE8LLn7ypoVJ72XpcDcck,2025-02-08T14:18:01-05:00,2025-02-08T14:18:01-05:00,2025-02-09T16:08:32,2025-02-08T14-17-53-05-00_vct_6W8a4GKsYTXJ5rmTfF2ysN.json,False
openai/gpt-4-0613,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.15841584158415842,0.0365130473556154,36666,35867,799,DaBKyzEx7jeuBpirjczJvS,2025-02-08T14:17:52-05:00,2025-02-08T14:17:52-05:00,2025-02-09T16:08:32,2025-02-08T14-17-44-05-00_vct_ecTwJy58BU9Z5oUcFpZtGY.json,False
openai/gpt-4-0613,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1782178217821782,0.03826960017839146,36694,35867,827,8E2ZYxMafueWkw3k3wS23m,2025-02-08T14:18:20-05:00,2025-02-08T14:18:20-05:00,2025-02-09T16:08:32,2025-02-08T14-18-10-05-00_vct_EAVQaCTMLMGXpMPpcbxNJr.json,False
openai/gpt-4-0613,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.16831683168316833,0.03741473985681423,36685,35867,818,ivUYXyRU3zriR4XNJpYLpL,2025-02-08T14:17:43-05:00,2025-02-08T14:17:43-05:00,2025-02-09T16:08:32,2025-02-08T14-17-34-05-00_vct_GYtqbBdmEwNmA59wLtFt47.json,False
openai/gpt-4-0613,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1485148514851485,0.035560960388253404,36672,35867,805,doSTotq283hZMNY4cgKcpo,2025-02-08T14:17:04-05:00,2025-02-08T14:17:04-05:00,2025-02-09T16:08:32,2025-02-08T14-16-51-05-00_vct_FRALQYaC8wGBzbMBt5sZmW.json,False
openai/gpt-4-0613,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.13861386138613863,0.03455431359725772,36699,35867,832,YeXKV5BaDEPnnGeNGSoxWm,2025-02-08T14:17:13-05:00,2025-02-08T14:17:13-05:00,2025-02-09T16:08:32,2025-02-08T14-17-04-05-00_vct_2UcP3ef9xyRmPvLYT6muzk.json,False
openai/gpt-4-0613,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.15841584158415842,0.0365130473556154,36698,35867,831,AuXouuh4FcP3bt8HkVGmoi,2025-02-08T14:18:31-05:00,2025-02-08T14:18:31-05:00,2025-02-09T16:08:32,2025-02-08T14-18-20-05-00_vct_a2LkCmehCimnmAC82XERsn.json,False
