inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.22772277227722773,0.041936274424846286,35951,35317,634,JK69NrhLjCQ2tc9jSH3RpT,2025-02-08T14:16:07-05:00,2025-02-08T14:16:07-05:00,2025-02-09T16:08:30,2025-02-08T14-15-58-05-00_vct_6NCSPgrJzZUYa2DmfBKMUB.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.18811881188118812,0.03908070169503079,35937,35317,620,AdwY3wUVSkpPzCNh9MgUVY,2025-02-08T14:16:28-05:00,2025-02-08T14:16:28-05:00,2025-02-09T16:08:30,2025-02-08T14-16-16-05-00_vct_CNkyh99AvzZA3F64v9kjGq.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1782178217821782,0.03826960017839146,35949,35317,632,9xyUbSfbzT7SktW9EC8LKw,2025-02-08T14:15:46-05:00,2025-02-08T14:15:46-05:00,2025-02-09T16:08:30,2025-02-08T14-15-37-05-00_vct_cvuskrBYH9kJg8NDAAJFdk.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.19801980198019803,0.03985071643068932,35958,35317,641,oUXRkNCX36Fh674zjxMmr4,2025-02-08T14:16:51-05:00,2025-02-08T14:16:51-05:00,2025-02-09T16:08:30,2025-02-08T14-16-39-05-00_vct_jZtKBwSK795hu5G42ZCu6w.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.22772277227722773,0.041936274424846286,35933,35317,616,jnhVSkhoKWWpspTng834hq,2025-02-08T14:16:16-05:00,2025-02-08T14:16:16-05:00,2025-02-09T16:08:30,2025-02-08T14-16-07-05-00_vct_Mjs7ciYPgudffgzer9YFhn.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.21782178217821782,0.041276561555793734,35939,35317,622,58Yv2fZdNBoM6nzLYsSVsy,2025-02-08T14:15:37-05:00,2025-02-08T14:15:37-05:00,2025-02-09T16:08:30,2025-02-08T14-15-25-05-00_vct_oXaTCbJjdCAkrTCCYZrPyu.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.25742574257425743,0.04372158844716756,35961,35317,644,JRRBsg96qrZGhiGrt2SgDF,2025-02-08T14:16:38-05:00,2025-02-08T14:16:38-05:00,2025-02-09T16:08:30,2025-02-08T14-16-28-05-00_vct_gSCeE9aVQDxUeYr9Js7pra.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.27722772277227725,0.044762988338444824,35974,35317,657,kFsFoyEwhqEdNP6BgLzw8J,2025-02-08T14:15:18-05:00,2025-02-08T14:15:18-05:00,2025-02-09T16:08:30,2025-02-08T14-15-11-05-00_vct_TY4Ko6U8rmujJ3YMZfaTUM.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.2079207920792079,0.040581983231523164,35963,35317,646,buCkesJa8xhpBDeF8HLXUp,2025-02-08T14:15:58-05:00,2025-02-08T14:15:58-05:00,2025-02-09T16:08:30,2025-02-08T14-15-47-05-00_vct_VncFzj7Nac8qg4HYUmEhYB.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.2079207920792079,0.04058198323152317,35961,35317,644,M5ZKAz3tpKPn5GP8dZYXWt,2025-02-08T14:15:25-05:00,2025-02-08T14:15:25-05:00,2025-02-09T16:08:30,2025-02-08T14-15-19-05-00_vct_bfuFLFStG8RiGhuv3rhR8z.json,False
