inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.19801980198019803,0.03985071643068932,40931,38773,2158,ntkMg43h6gKb3Mr3nhKLHP,2025-02-08T14:33:37-05:00,2025-02-08T14:33:37-05:00,2025-02-09T16:08:30,2025-02-08T14-33-18-05-00_vct_mzXjB9fbHwwuNfUodJXddL.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.19801980198019803,0.03985071643068932,40853,38773,2080,BAiVgYtpiCorgb5doFPELx,2025-02-08T14:33:17-05:00,2025-02-08T14:33:17-05:00,2025-02-09T16:08:30,2025-02-08T14-33-01-05-00_vct_2cowcHXi4rA7c7PxqEkP5i.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.19801980198019803,0.03985071643068932,40871,38773,2098,hYHNHsXAdr3a5C7kqDp8tZ,2025-02-08T14:33:54-05:00,2025-02-08T14:33:54-05:00,2025-02-09T16:08:30,2025-02-08T14-33-38-05-00_vct_NCLhCEkLJkhVQMDsGCa7p5.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.2079207920792079,0.040581983231523164,40854,38773,2081,eQgDC7w8msqdtPmnxa32So,2025-02-08T14:32:19-05:00,2025-02-08T14:32:19-05:00,2025-02-09T16:08:30,2025-02-08T14-31-59-05-00_vct_iVdTrmWcpkKtDHrHsAJwuG.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.16831683168316833,0.03741473985681423,40815,38773,2042,WsjBYG4tVuJvwQXhDtJzMu,2025-02-08T14:34:13-05:00,2025-02-08T14:34:13-05:00,2025-02-09T16:08:30,2025-02-08T14-33-54-05-00_vct_2BonhdGfB3kRUwZa9BCQJG.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.18811881188118812,0.03908070169503079,40915,38773,2142,mwUm9b7EcvjhxNhdG7dFcd,2025-02-08T14:31:59-05:00,2025-02-08T14:31:59-05:00,2025-02-09T16:08:30,2025-02-08T14-31-40-05-00_vct_mugkd5i4gxf6FxAUjQC4Tc.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1782178217821782,0.03826960017839146,40863,38773,2090,j8RfdgosFcXrNcoiz5Tsmj,2025-02-08T14:31:40-05:00,2025-02-08T14:31:40-05:00,2025-02-09T16:08:30,2025-02-08T14-27-20-05-00_vct_H63dgVdSseJmYyYdzLcRKc.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.18811881188118812,0.03908070169503079,40936,38773,2163,8jrNoVXg7M7gd67GBA7p9r,2025-02-08T14:33:01-05:00,2025-02-08T14:33:01-05:00,2025-02-09T16:08:30,2025-02-08T14-32-42-05-00_vct_BkHgyHhSbfChMh2pjh3G7C.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.19801980198019803,0.03985071643068932,40900,38773,2127,DEa6tCPQXckGhBjoCu9o54,2025-02-08T14:32:41-05:00,2025-02-08T14:32:41-05:00,2025-02-09T16:08:30,2025-02-08T14-32-20-05-00_vct_jtyp23vFjhhaJ5cTmguMVE.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1782178217821782,0.03826960017839146,40886,38773,2113,3yfPorggaiNgPjrDX7fnew,2025-02-08T14:34:31-05:00,2025-02-08T14:34:31-05:00,2025-02-09T16:08:30,2025-02-08T14-34-14-05-00_vct_HuVMDDdh3EZDkeofkZVbw7.json,False
