inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
mistral/mistral-large-2407,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.15841584158415842,0.0365130473556154,46225,41490,4735,7z6bfKX5wA3AUzn96uByiV,2025-02-08T14:54:33-05:00,2025-02-08T14:54:33-05:00,2025-02-09T16:08:31,2025-02-08T14-52-04-05-00_vct_AK5DvSFtTJCmonucsAd4xf.json,False
mistral/mistral-large-2407,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.15841584158415842,0.0365130473556154,45853,41490,4363,cZhK3tMfvnX8jkdRGhHyuK,2025-02-08T14:50:21-05:00,2025-02-08T14:50:21-05:00,2025-02-09T16:08:31,2025-02-08T14-47-58-05-00_vct_PNAxasAj4rqTYF6zVYkKgb.json,False
mistral/mistral-large-2407,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.22772277227722773,0.041936274424846286,46055,41490,4565,8j9hNGDFsAmz5gt7JmEAWJ,2025-02-08T14:37:57-05:00,2025-02-08T14:37:57-05:00,2025-02-09T16:08:31,2025-02-08T14-36-17-05-00_vct_JxRW9yeGFUchTd9tnNSJnW.json,False
mistral/mistral-large-2407,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.12871287128712872,0.03348818717878765,45732,41490,4242,g7vkRbt24KzBqtb3N4dxs9,2025-02-08T14:52:04-05:00,2025-02-08T14:52:04-05:00,2025-02-09T16:08:31,2025-02-08T14-50-21-05-00_vct_jWu2deMLpXKFNJkED9ad7b.json,False
mistral/mistral-large-2407,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1782178217821782,0.03826960017839146,44970,41490,3480,bUmFR3VtZMEmPJQEwg5JqM,2025-02-08T14:45:32-05:00,2025-02-08T14:45:32-05:00,2025-02-09T16:08:31,2025-02-08T14-43-46-05-00_vct_BLbbCnEhJxLVxy4StNgdmQ.json,False
mistral/mistral-large-2407,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1485148514851485,0.035560960388253404,45948,41490,4458,k7FTUFjsiKdf8mCkufvADx,2025-02-08T14:47:57-05:00,2025-02-08T14:47:57-05:00,2025-02-09T16:08:31,2025-02-08T14-45-32-05-00_vct_kZP5a9BHbH9dpKNNwcr2Gn.json,False
mistral/mistral-large-2407,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1485148514851485,0.035560960388253404,46022,41490,4532,YYq7SSnQawEEXeoyAGJn9L,2025-02-08T14:43:46-05:00,2025-02-08T14:43:46-05:00,2025-02-09T16:08:31,2025-02-08T14-41-58-05-00_vct_MoZWEVW2fYRzHeGzKoLwko.json,False
mistral/mistral-large-2407,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.16831683168316833,0.03741473985681423,45820,41490,4330,oXxXA47GfDPL98ZmizMBHm,2025-02-08T14:39:28-05:00,2025-02-08T14:39:28-05:00,2025-02-09T16:08:31,2025-02-08T14-37-57-05-00_vct_AkNig69YFcWcQU9ms6yadB.json,False
mistral/mistral-large-2407,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.15841584158415842,0.0365130473556154,45216,41490,3726,h4piq5cwUX7qEbG3o22mT8,2025-02-08T14:41:58-05:00,2025-02-08T14:41:58-05:00,2025-02-09T16:08:31,2025-02-08T14-39-28-05-00_vct_mweuVQzfnCpPJwSPqgcLYc.json,False
mistral/mistral-large-2407,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1782178217821782,0.03826960017839146,45275,41490,3785,cL7EK9ciHYKB2CKcpJ5itN,2025-02-08T14:56:02-05:00,2025-02-08T14:56:02-05:00,2025-02-09T16:08:32,2025-02-08T14-54-33-05-00_vct_iP3SEo9ADa22d3GUp9ERsZ.json,False
