inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/o1-2024-12-17,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.3564356435643564,0.047894600484941874,236624,35216,201408,jZZ4Zi8i6f7iXtHM7et3wd,2025-02-08T17:35:40-05:00,2025-02-08T17:35:40-05:00,2025-02-09T16:08:32,2025-02-08T17-32-41-05-00_vct_87YBf9Matkb8pnz3ihAW6b.json,False
openai/o1-2024-12-17,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.37623762376237624,0.048444078505841856,239845,35216,204629,CuRWYVyzBKjajmAAjDjniW,2025-02-08T17:53:30-05:00,2025-02-08T17:53:30-05:00,2025-02-09T16:08:32,2025-02-08T17-50-29-05-00_vct_TCYAuNGbFToG6zLdjfemup.json,False
openai/o1-2024-12-17,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.39603960396039606,0.04890728330783553,242167,35216,206951,JkXgifv8NiZLSaSUfBEyfA,2025-02-08T17:50:29-05:00,2025-02-08T17:50:29-05:00,2025-02-09T16:08:32,2025-02-08T17-47-27-05-00_vct_kpkWeMdR5CLHf7H6LBjCVN.json,False
openai/o1-2024-12-17,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.37623762376237624,0.048444078505841856,229603,35216,194387,ZZAbeddmUyQFBGsxPHyw2c,2025-02-08T17:44:21-05:00,2025-02-08T17:44:21-05:00,2025-02-09T16:08:32,2025-02-08T17-41-30-05-00_vct_hbcWQHEK3xcJRDopqirhcS.json,False
openai/o1-2024-12-17,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.4158415841584158,0.04928664738476691,222048,35216,186832,nFUwtLYVCTsyWZF2mesCVe,2025-02-08T17:38:35-05:00,2025-02-08T17:38:35-05:00,2025-02-09T16:08:32,2025-02-08T17-35-40-05-00_vct_AofWWLCb5et6LJG3FQ2iTb.json,False
openai/o1-2024-12-17,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.38613861386138615,0.04868630040849207,238029,35216,202813,WByPkobtJquGEzaGR6ggSs,2025-02-08T17:41:30-05:00,2025-02-08T17:41:30-05:00,2025-02-09T16:08:32,2025-02-08T17-38-35-05-00_vct_e9EwHmL4ZmGLvhFhUiznRL.json,False
openai/o1-2024-12-17,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.3564356435643564,0.047894600484941874,240355,35216,205139,VvhHbxJSFTDb8Kcu8tnUVZ,2025-02-08T17:56:31-05:00,2025-02-08T17:56:31-05:00,2025-02-09T16:08:32,2025-02-08T17-53-31-05-00_vct_ZjRBmKSw9BtZn4DhLWZ2Yz.json,False
openai/o1-2024-12-17,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.44554455445544555,0.04970257583370746,232364,35216,197148,deNNaSNNmhM8Hv97cQwGyL,2025-02-08T18:02:19-05:00,2025-02-08T18:02:19-05:00,2025-02-09T16:08:32,2025-02-08T17-59-23-05-00_vct_Ju2GhafJqzDAaXvxh3c4Xe.json,False
openai/o1-2024-12-17,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.40594059405940597,0.04910731393123661,249629,35216,214413,25znSbR6qdZc5kvnaDUysf,2025-02-08T17:47:27-05:00,2025-02-08T17:47:27-05:00,2025-02-09T16:08:32,2025-02-08T17-44-21-05-00_vct_ZydLNBtg3qgMJV2rYp3ohH.json,False
openai/o1-2024-12-17,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.39603960396039606,0.04890728330783553,228577,35216,193361,Zdxv5cUctpWik4nPdaYr9u,2025-02-08T17:59:23-05:00,2025-02-08T17:59:23-05:00,2025-02-09T16:08:32,2025-02-08T17-56-31-05-00_vct_ZEBQKpHEqCzy4GD6FVMR2S.json,False
