inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4-turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8295365278868814,0.01054362294927269,178363,171997,6366,G7ofiaErDNSuCJjFouJPSR,2025-01-21T17:29:33-05:00,2025-01-21T17:29:33-05:00,2025-01-28T12:07:00,2025-01-21T17-27-54-05-00_wmdp_KYUNTgP8GDzzS4H5qxSSk7.json,False
openai/gpt-4-turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8397486252945797,0.010285655564210218,178362,171997,6365,bxRVicbdQnS8iZr5UKDcvK,2025-01-21T17:34:32-05:00,2025-01-21T17:34:32-05:00,2025-01-28T12:07:00,2025-01-21T17-32-55-05-00_wmdp_7bPPHZKCFhTVKjPun8UBZF.json,False
openai/gpt-4-turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8334642576590731,0.010446087591159305,178363,171997,6366,LifeN8YWg3UPPk9G4t2fDf,2025-01-21T20:52:18-05:00,2025-01-21T20:52:18-05:00,2025-01-28T12:07:00,2025-01-21T20-48-44-05-00_wmdp_TTtEt9Lk9wMJbF9j2uXgn4.json,False
openai/gpt-4-turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8318931657501963,0.010485349412496115,178363,171997,6366,QWFCubs4UJGCrvZRFnaAki,2025-01-21T20:48:07-05:00,2025-01-21T20:48:07-05:00,2025-01-28T12:07:00,2025-01-21T17-37-50-05-00_wmdp_QVyKWUgWLGygkVUtQzB6Qn.json,False
openai/gpt-4-turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.828750981932443,0.01056288416660071,178362,171997,6365,jD8BN6MrRPmz9sDjEFZHNQ,2025-01-21T17:31:14-05:00,2025-01-21T17:31:14-05:00,2025-01-28T12:07:00,2025-01-21T17-29-34-05-00_wmdp_dBVb59h94WHQwwQXB5tAv9.json,False
openai/gpt-4-turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8318931657501963,0.010485349412496115,178362,171997,6365,NNAbpjXkYZZwHRJJhSihBu,2025-01-21T17:32:54-05:00,2025-01-21T17:32:54-05:00,2025-01-28T12:07:00,2025-01-21T17-31-16-05-00_wmdp_ToUYDJwy36expP7aXH7WfF.json,False
openai/gpt-4-turbo,benchmarks/run,"{'cls': 'WMDPBenchmark', 'subset': ""['wmdp-bio']""}",zero_shot,1273,0.8342498036135114,0.010426331445386905,177090,171996,5094,BAjBwTerRc9zHoGSRey4it,2024-09-11T15:47:51-04:00,2024-09-11T15:47:51-04:00,2025-01-28T12:07:00,2024-09-11T15-46-16-04-00_benchmarks-run_B563bBY8w5sXbZVB2RxXy5.json,False
openai/gpt-4-turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8326787117046347,0.010465760089924767,178362,171997,6365,hSXiy7YQB6vqVgLpqKCLcp,2025-01-21T17:27:52-05:00,2025-01-21T17:27:52-05:00,2025-01-28T12:07:00,2025-01-21T17-26-15-05-00_wmdp_6EbWekPfHgN5ccJeCFqpjV.json,False
openai/gpt-4-turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8318931657501963,0.010485349412496115,178362,171997,6365,8zFLFtYoNLg464t9jzKAsQ,2025-01-21T17:36:09-05:00,2025-01-21T17:36:09-05:00,2025-01-28T12:07:00,2025-01-21T17-34-34-05-00_wmdp_hLrSPGy2HgkidZXaj64XgA.json,False
openai/gpt-4-turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8334642576590731,0.010446087591159305,178362,171997,6365,WxJwAkJvXbR9Rq8Qn3UVTH,2025-01-21T17:37:47-05:00,2025-01-21T17:37:47-05:00,2025-01-28T12:07:00,2025-01-21T17-36-11-05-00_wmdp_V4g44dYwBPXwdF4XP33Tof.json,False
