inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.4221105527638191,0.035011357382642085,112602,30679,81923,P298dWrqPVRjs23ccrAKJF,2024-11-07T16:30:48-05:00,2024-11-07T16:30:48-05:00,2025-01-28T12:15:48,2024-11-07T16-26-51-05-00_lab-bench_4hkfkL3kTZLMfVuTicfK2g.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.36180904522613067,0.034063439191325616,112009,30680,81329,PeDkzPDiW8yfUtEfwrujbj,2024-11-07T16:47:00-05:00,2024-11-07T16:47:00-05:00,2025-01-28T12:15:48,2024-11-07T16-42-37-05-00_lab-bench_eNuTuAHfSghTCYj2XK2Hkv.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.35175879396984927,0.03385043550818959,111169,30682,80487,GLEMBDycsVoXPHMmJ3q8Va,2024-11-07T16:12:59-05:00,2024-11-07T16:12:59-05:00,2025-01-28T12:15:48,2024-11-07T16-09-19-05-00_lab-bench_W6skoobogaZ2YPYqpwQJad.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.41708542713567837,0.03495331945233989,112305,30680,81625,mZScJmb37LV7PrzWexi2Sj,2024-11-07T16:22:34-05:00,2024-11-07T16:22:34-05:00,2025-01-28T12:15:48,2024-11-07T16-13-00-05-00_lab-bench_We5jivKHyGY6YmNg8izM8R.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.3969849246231156,0.034683630756275535,112474,30681,81793,jbJS5JnAaGKSPJkiuLNW77,2024-11-07T16:38:23-05:00,2024-11-07T16:38:23-05:00,2025-01-28T12:15:48,2024-11-07T16-34-47-05-00_lab-bench_DY5DqQBZL8uAwUdePTBtwx.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.3969849246231156,0.034683630756275535,111771,30680,81091,Mrei8SV9abU9sYBihTVJH9,2024-11-07T16:42:36-05:00,2024-11-07T16:42:36-05:00,2025-01-28T12:15:48,2024-11-07T16-38-25-05-00_lab-bench_82TzhAYeRSqc3qAVDpFhTB.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.4020100502512563,0.03475672594958949,110784,30679,80105,572L6Laeo4T7Q4eZhwfaZu,2024-11-07T16:34:46-05:00,2024-11-07T16:34:46-05:00,2025-01-28T12:15:48,2024-11-07T16-30-49-05-00_lab-bench_kTuq7yWXwYqfaUFazydpKu.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.3869346733668342,0.034525952070850574,111314,30681,80633,Z76ZVmSBhxDVrXt5YvURPw,2024-11-07T16:26:49-05:00,2024-11-07T16:26:49-05:00,2025-01-28T12:15:48,2024-11-07T16-22-34-05-00_lab-bench_nF87utF6RfHtmEZtkgbaQF.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.4371859296482412,0.03516325118641929,112078,30682,81396,aDakLMD42SMsuXGVfSjhnf,2024-11-07T16:09:17-05:00,2024-11-07T16:09:17-05:00,2025-01-28T12:15:48,2024-11-07T16-05-06-05-00_lab-bench_F9zYKhpeKuihZobeyh9KFH.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.39195979899497485,0.03460671464218464,109603,30680,78923,aaMy3heSMV6PFjLB9eCwNi,2024-11-07T16:51:21-05:00,2024-11-07T16:51:21-05:00,2025-01-28T12:15:48,2024-11-07T16-47-01-05-00_lab-bench_KhRUBbiXZrj97UY5cCH6cB.json,True
