inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5370370370370371,0.04798034492329637,244218,199607,44611,Rw29HUSK44eMdZEqubW5LR,2024-09-26T16:49:22-04:00,2024-09-26T16:49:22-04:00,2025-01-28T12:15:49,2024-09-26T16-47-57-04-00_benchmarks-lab-bench_JGQfpDK6ZM7AQgXBd6vPe7.json,True
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5555555555555556,0.04781460921243724,243659,199610,44049,oKc8RoDXtYFX8FVu5zBjgk,2024-09-26T16:54:12-04:00,2024-09-26T16:54:12-04:00,2025-01-28T12:15:49,2024-09-26T16-52-43-04-00_benchmarks-lab-bench_XLANsia6reMAGJQo5FrD35.json,True
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5462962962962963,0.04790583480943956,245496,199617,45879,AB9G7GqRHPhb76QQjBLYTd,2024-09-26T16:46:19-04:00,2024-09-26T16:46:19-04:00,2025-01-28T12:15:49,2024-09-26T16-44-28-04-00_benchmarks-lab-bench_EF5Ce4WtsmE6WeG4L2n5g5.json,True
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5462962962962963,0.04790583480943956,244646,199606,45040,Q3w8aUq9qDzqqDySjDBvD2,2024-09-26T16:57:04-04:00,2024-09-26T16:57:04-04:00,2025-01-28T12:15:49,2024-09-26T16-55-40-04-00_benchmarks-lab-bench_VfuHJpdRrZ7Jwec2wRnRgR.json,True
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5555555555555556,0.04781460921243724,245002,199611,45391,grcXbYYLWJpyqomvD62xHs,2024-09-26T16:58:30-04:00,2024-09-26T16:58:30-04:00,2025-01-28T12:15:49,2024-09-26T16-57-05-04-00_benchmarks-lab-bench_cdD8sQpRipkuuc3GV6osou.json,True
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5092592592592593,0.04810427197841991,244683,199608,45075,Y5PVs67BdX2Byjng7q8FQn,2024-09-26T16:51:00-04:00,2024-09-26T16:51:00-04:00,2025-01-28T12:15:49,2024-09-26T16-49-23-04-00_benchmarks-lab-bench_VQoPAEnPKar2YaHxjtE8VN.json,True
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5370370370370371,0.04798034492329637,246062,199613,46449,QG5pyD6tYC2zo42RVPukXF,2024-09-26T16:52:42-04:00,2024-09-26T16:52:42-04:00,2025-01-28T12:15:49,2024-09-26T16-51-01-04-00_benchmarks-lab-bench_YpEbQMnwxjpHyijETgZpXq.json,True
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5185185185185185,0.04807951212159639,244073,199606,44467,WzZ6yhPzMcqRgvcTRhGpfQ,2024-09-26T16:47:56-04:00,2024-09-26T16:47:56-04:00,2025-01-28T12:15:49,2024-09-26T16-46-20-04-00_benchmarks-lab-bench_2hYiXULQdZYGao8dtCX977.json,True
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5648148148148148,0.04770657224119992,245373,199611,45762,3SzJZLN2WBNqybdJ2VT4Pc,2024-09-26T16:59:49-04:00,2024-09-26T16:59:49-04:00,2025-01-28T12:15:49,2024-09-26T16-58-31-04-00_benchmarks-lab-bench_B4vhJUD5tL97F6ZYZtjYh7.json,True
openai/gpt-4o,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5,0.048112522432468816,243954,199613,44341,mEiJTMa3XYd7r4QjcwSi7t,2024-09-26T16:55:38-04:00,2024-09-26T16:55:38-04:00,2025-01-28T12:15:49,2024-09-26T16-54-13-04-00_benchmarks-lab-bench_8dZYA5f4jcDjW6bj5rYPh3.json,True
