inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5092592592592593,0.04810427197841991,241626,203480,38146,fTmxnpHUcGwD8WtC3ehoHg,2024-09-26T11:58:36-04:00,2024-09-26T11:58:36-04:00,2025-01-28T12:15:50,2024-09-26T11-56-31-04-00_benchmarks-lab-bench_2QZpFVPDKPcDMstJJ6HgX4.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5648148148148148,0.04770657224119992,242248,203482,38766,KJfga2N2rAqXfCUbxBAthT,2024-09-26T11:47:14-04:00,2024-09-26T11:47:14-04:00,2025-01-28T12:15:50,2024-09-26T11-45-36-04-00_benchmarks-lab-bench_T3YSc4S3nBkmDwEemPDHW2.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.49074074074074076,0.04810427197841991,242032,203485,38547,ZyFNhCq2nUXN7LYGDsyhwk,2024-09-26T12:02:45-04:00,2024-09-26T12:02:45-04:00,2025-01-28T12:15:50,2024-09-26T12-00-18-04-00_benchmarks-lab-bench_S8K554nSibxxtrPeU6EQK2.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5462962962962963,0.04790583480943956,241864,203482,38382,iUHdgDmjjtXch9xxKk5Gc2,2024-09-26T11:49:04-04:00,2024-09-26T11:49:04-04:00,2025-01-28T12:15:50,2024-09-26T11-47-15-04-00_benchmarks-lab-bench_ESSoj2ApAngnrsTWnfcm9F.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.48148148148148145,0.04807951212159639,242126,203482,38644,Vu7dYsvSYy4wUq9Psy4Y72,2024-09-26T11:54:14-04:00,2024-09-26T11:54:14-04:00,2025-01-28T12:15:50,2024-09-26T11-52-27-04-00_benchmarks-lab-bench_kqzwkG3E6gGXM9dqyJ8XxN.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5555555555555556,0.04781460921243724,241829,203485,38344,SoynfwHVVVqsAEmcXiJweZ,2024-09-26T11:45:34-04:00,2024-09-26T11:45:34-04:00,2025-01-28T12:15:50,2024-09-26T11-43-24-04-00_benchmarks-lab-bench_fKJrmoU4H5TBCwax2sRbuN.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.49074074074074076,0.04810427197841991,241188,203487,37701,kVoQVAbyhzY7nKnkjsr6kj,2024-09-26T12:00:16-04:00,2024-09-26T12:00:16-04:00,2025-01-28T12:15:50,2024-09-26T11-58-37-04-00_benchmarks-lab-bench_bNzTjuQK4emEG2atej4bCB.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5092592592592593,0.04810427197841991,241920,203484,38436,86FDvpu5spLCMy9bqoHimc,2024-09-26T11:52:26-04:00,2024-09-26T11:52:26-04:00,2025-01-28T12:15:50,2024-09-26T11-50-45-04-00_benchmarks-lab-bench_RnesC92TBi6t2PbZttxYPm.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5462962962962963,0.04790583480943956,242270,203479,38791,diwLAG8Y5754SYaE6jKD8B,2024-09-26T11:50:44-04:00,2024-09-26T11:50:44-04:00,2025-01-28T12:15:50,2024-09-26T11-49-05-04-00_benchmarks-lab-bench_9gXyT3Ya2X3hDvhxuT8niq.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA', 'cot': 'True'}",zero_shot_cot,108,0.5,0.048112522432468816,241612,203479,38133,FKs4YM3PjtPntsofGUABPt,2024-09-26T11:56:30-04:00,2024-09-26T11:56:30-04:00,2025-01-28T12:15:50,2024-09-26T11-54-16-04-00_benchmarks-lab-bench_4kyHEBm8XKSBKg2tRwA6dP.json,True
