inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-5-sonnet-20241022,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.5148514851485149,0.04997793847177806,76563,42760,33803,myBMa2aMUkMceQ2ut3ANBq,2025-02-09T09:26:57-05:00,2025-02-09T09:26:57-05:00,2025-02-09T16:24:52,2025-02-09T09-25-19-05-00_vct_dQxoU45Ws9RQUrpo9zph59.json,False
anthropic/claude-3-5-sonnet-20241022,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.4752475247524752,0.04993869391254849,76626,42760,33866,AACEeQR8H5XYKLY8459DDx,2025-02-09T09:25:18-05:00,2025-02-09T09:25:18-05:00,2025-02-09T16:24:52,2025-02-09T09-23-41-05-00_vct_DSG3h4edDFdjQywCxm52KD.json,False
anthropic/claude-3-5-sonnet-20241022,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.4158415841584158,0.04928664738476691,76927,42760,34167,NaorofpQDSCJRP5tpjoCep,2025-02-09T09:16:54-05:00,2025-02-09T09:16:54-05:00,2025-02-09T16:24:52,2025-02-09T09-15-34-05-00_vct_hLbi3JLi6Mti8fmXYPujq3.json,False
anthropic/claude-3-5-sonnet-20241022,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.46534653465346537,0.04987976917944554,76714,42760,33954,N67YTmh4wwhKuSTwvBg5LH,2025-02-09T09:23:41-05:00,2025-02-09T09:23:41-05:00,2025-02-09T16:24:52,2025-02-09T09-22-01-05-00_vct_JBHhxnYQzWvLnjL5vmkfpz.json,False
anthropic/claude-3-5-sonnet-20241022,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.44554455445544555,0.04970257583370746,76683,42760,33923,EhdpDWud9JYCVVbQEEPyPE,2025-02-09T09:28:27-05:00,2025-02-09T09:28:27-05:00,2025-02-09T16:24:52,2025-02-09T09-26-57-05-00_vct_EcvUuvPkFivF7mnBx3KfxE.json,False
anthropic/claude-3-5-sonnet-20241022,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.48514851485148514,0.04997793847177807,76829,42760,34069,cBpobV9Upmocho8KFhkVXp,2025-02-09T09:18:39-05:00,2025-02-09T09:18:39-05:00,2025-02-09T16:24:53,2025-02-09T09-16-54-05-00_vct_GDFDb9usp3ZALsTJKY7b9V.json,False
anthropic/claude-3-5-sonnet-20241022,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.40594059405940597,0.04910731393123661,76588,42760,33828,792PTcTobm6MPQZZRuoWQv,2025-02-09T09:29:47-05:00,2025-02-09T09:29:47-05:00,2025-02-09T16:24:53,2025-02-09T09-28-28-05-00_vct_B5zcQBn26BEDYkMVrLujmp.json,False
anthropic/claude-3-5-sonnet-20241022,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.49504950495049505,0.049997549199812266,76706,42760,33946,eVUvRkBffR8EicNBXMCuvQ,2025-02-09T09:31:05-05:00,2025-02-09T09:31:05-05:00,2025-02-09T16:24:53,2025-02-09T09-29-47-05-00_vct_5XCeo3yHjV9WsES9RmgmwS.json,False
anthropic/claude-3-5-sonnet-20241022,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.504950495049505,0.049997549199812266,76708,42760,33948,JSxftrFgdXkKUDjx5GjRks,2025-02-09T09:22:01-05:00,2025-02-09T09:22:01-05:00,2025-02-09T16:24:53,2025-02-09T09-20-21-05-00_vct_TKgZvs24CcdPVB7bLuqyxS.json,False
anthropic/claude-3-5-sonnet-20241022,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.504950495049505,0.049997549199812266,76668,42760,33908,HFRvQK8HHG6ATQBN55UzmL,2025-02-09T09:20:21-05:00,2025-02-09T09:20:21-05:00,2025-02-09T16:24:53,2025-02-09T09-18-39-05-00_vct_iMYjuHRsXirovx62wjskae.json,False
