model,benchmark,five_shot_ratio,five_shot_ci_low,five_shot_ci_high,cot_ratio,cot_ci_low,cot_ci_high,zero_shot_accuracy,five_shot_accuracy,cot_accuracy
Claude 3.5 Sonnet,vct,1.0410022779043278,0.9936766426305856,1.0905818815798367,1.082004555808656,1.0228030063289446,1.1446327900351967,0.4346534653465346,0.4524752475247523,0.4702970297029702
Claude 3.5 Sonnet,lab-bench-protocolqa,1.103988603988604,1.0566073244496357,1.1534945949494992,1.0242165242165242,0.9819867674274527,1.068262346575538,0.65,0.7175925925925927,0.6657407407407407
Claude 3.5 Sonnet,lab-bench-cloningscenarios,1.0061349693251533,0.8864630762137573,1.141962484013067,0.9754601226993863,0.8691522151809018,1.0947707827893596,0.4939393939393939,0.4969696969696969,0.4818181818181817
Claude 3.5 Sonnet,lab-bench-litqa2,0.9605095541401273,0.9091770396190522,1.014740323821892,1.0471337579617832,0.993541861822447,1.1036164143621325,0.3944723618090452,0.378894472361809,0.4130653266331657
Claude 3.5 Sonnet,wmdp,0.9400960723368182,0.9327738954477047,0.947475727543729,1.0227936328529719,1.016414148437515,1.0292131578576607,0.8340141398271799,0.7840534171249017,0.8530243519245877
Claude 3.5 Sonnet,gpqa,1.0234833659491194,0.9925456542776048,1.055385408076714,1.054794520547945,1.0137805646253455,1.0974677552524796,0.6551282051282052,0.6705128205128206,0.691025641025641
Claude 3.5 Sonnet,mmlu,1.0005311614730878,0.9963051996885472,1.0047750482398627,1.024610481586402,1.0222229645753944,1.0270035749126318,0.868923076923077,0.8693846153846154,0.8903076923076924
Claude 3.5 Sonnet,pubmedqa,1.0038550501156516,0.994579803306602,1.0132167959699088,0.9041377537907993,0.8962208864681988,0.9121245556453328,0.7782,0.7812,0.7036
Gemini 1.5 Pro,vct,0.8144329896907215,0.7582028911725349,0.8748332437387497,1.0103092783505156,0.9536711167572965,1.0703111586223157,0.288118811881188,0.2346534653465345,0.291089108910891
Gemini 1.5 Pro,lab-bench-protocolqa,1.2542372881355932,1.2029645067566097,1.3076954192032595,0.8813559322033899,0.836426402339003,0.9286988993387547,0.4916666666666666,0.6166666666666666,0.4333333333333333
